,success,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub,Aero|Cruise|f_total,Aero|Cruise|total_drag
1,True,10.0,80.0,0.21388888888888888,1271.0000015165006,2.2179487919979435,872.5688076463092,0.0792376572962813,0.10962819257332852,6.834607333582269,11.999998880999957,7.7729785180021675,6.0528719633396067e-05,600.0,234.69747500249542,227.92367430789568,148.69428866594313,59.69234356070829,185.96532902063925,105.93751001522774,163.51518257420534,201.52308883573156,201.54344775895393,201.52308883573156,63.837713200678756,0.7430318383620341,0.9921784838345511,247.0755949386516
2,True,20.0,80.0,0.3388888888888889,1372.437568899007,2.2731761999092845,848.3023897735228,0.0820427305528767,0.11002715280197445,6.752787987155964,11.999977150141673,7.6664715695861405,7.940669778367774e-05,600.0,306.79235258973796,248.6897078483194,152.3613674088199,64.60305209571524,203.2401389632594,114.38982127651782,179.01815149796417,207.16132836107207,207.17738490743415,207.16132836107207,83.44751990440871,0.7430318383620341,1.0052642739759357,250.33426204049138
3,True,30.0,80.0,0.4638888888888889,1492.0398063850973,2.3374103840736407,821.0409790109961,0.08516918681992702,0.11055885154491542,6.671116593110186,11.99999125909193,7.5605517815721015,7.698758508606032e-05,600.0,391.55884376458226,273.47072262302066,156.58245156324728,70.43656269120063,223.65668258984564,124.35550826745103,197.34535910748704,213.00645358020736,213.01822692770486,213.00645358020736,106.50400550396637,0.7430318383620341,1.0202861338640665,254.07505568741743
4,True,40.0,80.0,0.5888888888888889,1635.4149840579119,2.42521001390445,789.2936383607758,0.08715973267516651,0.11084458144516922,6.6187157796643366,11.99993336493198,7.492799209012652,9.003195599183232e-05,600.0,492.45595696301234,304.03717523566166,161.442300492342,77.48903988395551,247.08947150784752,136.30305292441318,218.26488852000284,216.87603109196428,216.88347305023333,216.87603109196428,133.94802029393938,0.7430318383620341,1.0377747199645937,258.4301217222339
5,True,50.0,80.0,0.7138888888888889,1810.4383550072878,2.482083249976482,755.5409144571622,0.09597461812082121,0.11314532749710719,6.459889371638618,12.00000007534367,7.288416807619959,3.4205627928118995e-05,600.0,616.6966302761721,340.04056417505365,167.52488695177556,86.1821221620513,280.2584147889287,150.88650747322282,248.39939904568774,229.20988546873232,229.2132475471397,229.20988546873232,167.7414834351188,0.7430318383620341,1.05844550325226,263.57762911315183
6,True,60.0,80.0,0.8388888888888889,2030.0452436155554,2.6064441215651124,715.6894430426547,0.0986299559125884,0.11374856002671084,6.412541381153659,12.000094168332776,7.227769402192284,4.5527074671685555e-05,600.0,769.9985586787377,388.25139887243824,174.58889802447345,97.2131354152973,316.57421339717524,169.18466429987927,280.8674614051486,233.07257252488628,233.07170742316535,233.07257252488628,209.43960796061663,0.7430318383620341,1.0834623584001348,269.80740981275625
7,True,70.0,80.0,0.9638888888888889,2314.612605766178,2.7397909192973353,668.9684090393313,0.1054231531244542,0.1157719453567325,6.324389659957914,11.999995860577174,7.115198048036238,5.148146630229933e-06,600.0,968.2282334971089,451.0608950613074,183.626603914023,111.69914224649949,365.98197299904837,192.89888786426516,325.30543635464943,240.50591405091916,240.5009095787216,240.50591405091916,263.3580795112136,0.7430318383620341,1.1145758102430805,277.55538535338763
8,True,80.0,80.0,1.0888888888888888,2699.343614824658,2.8767945554379164,599.7954837042205,0.12581955258537897,0.12297623056955044,6.169231780704246,11.999995973891597,6.918126360958083,5.153377843844025e-05,600.0,1236.054281735374,535.9091248385356,195.78388638680306,131.60350056706199,437.5493920114175,224.95866358233258,390.1842021935588,254.40331473592298,254.39400610281558,254.40331473592298,336.2067646320217,0.7430318383620341,1.1546837388013755,287.5431954820642
9,True,90.0,80.0,1.2138888888888888,3287.16767540986,3.3043111445227926,570.3090837159725,0.0973649622085497,0.11260263970449155,6.3914277584875485,11.999677685982434,7.200766601925013,4.994988040003419e-09,600.0,1625.0563702621077,687.9479324300898,211.50313766313573,162.66016437929719,514.3088210681312,273.9500280033061,456.5024610756148,234.82388956164797,234.8117400818433,234.82388956164797,442.0153327112933,0.7430318383620341,1.21246372036201,301.93175918530477
10,False,100.0,80.0,1.3388888888888888,3717.8917035062937,3.6618558278471216,508.2493112151036,0.0919306165935493,0.1140157673459173,6.626969628154048,12.543399313968495,7.5034605226318325,3.931134460256784e-10,600.0,1895.4000017610351,814.6163734065647,222.0079995866081,185.86734857917446,561.0244066475249,296.41310496631087,495.4902730936534,216.2601710522517,216.2474090565591,216.2601710522517,515.5488004790016,0.7430318383620341,1.25262371968042,311.9325361483201
