,success,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub,Aero|Cruise|f_total,Aero|Cruise|total_drag
1,True,10.0,80.0,0.21388888888888888,1296.6802566222334,2.853893870674688,679.99739053914,0.048557446407828664,0.10932794450811598,8.407600930176462,11.99998535163768,9.90216360754314,9.382998581355058e-05,600.0,227.76222311634436,260.8050621812182,147.17099931210535,60.932285424630976,154.22714129641952,108.0773787090354,130.9491852502281,124.17653888721505,124.18828462075933,124.17653888721505,61.951324687645666,0.7430318383620341,0.9955232491724804,247.9085195578241
2,True,20.0,80.0,0.3388888888888889,1393.6017481721678,2.807813053892001,700.2978038762408,0.05251456994457478,0.10790326552899661,8.045298555334856,12.000011525582162,9.397397027935146,5.940313379557379e-05,600.0,300.6197851977599,276.5174615849546,150.82484921091805,65.63194483568607,173.21939497796106,116.1529772503337,148.29657021295168,137.87470455878184,137.88479533122555,137.87470455878184,81.76858157379067,0.7430318383620341,1.0079532934555644,251.00389063913138
3,True,30.0,80.0,0.4638888888888889,1509.2855044822102,2.7793553349080136,713.5050593107109,0.057065208004308594,0.10699251881108902,7.710302978626164,11.999999998783398,8.938550570591897,4.95495158043315e-05,600.0,386.060897238133,296.86938988875255,155.0807743643429,71.28148213267681,195.74918244667182,125.7924224207043,168.85125754591638,152.39318399679874,152.4011785875503,152.39318399679874,105.00856404877219,0.7430318383620341,1.0224184629648603,254.60605539136935
4,True,40.0,80.0,0.5888888888888889,1649.7475593191414,2.7760065797296707,716.8464709840533,0.062093332325368795,0.10662439323893805,7.41435005634848,11.99999337275188,8.539264619932952,5.315557274510718e-05,600.0,487.97994192553995,323.4904984723942,160.08690667432032,78.1975030337268,222.5073737793858,137.4966576136629,193.19550719486836,166.97782592966985,166.98325098013558,166.97782592966985,132.73054420374683,0.7430318383620341,1.0394942745718239,258.85833094520444
5,True,50.0,80.0,0.7138888888888889,1822.2649252395383,2.7887066986254454,712.188123044649,0.0682282460300141,0.10683508147875963,7.131005714283788,12.000000649514794,8.162173270309065,9.920167004834634e-05,600.0,612.0044259292025,357.40407663156793,166.0936426635639,86.77274001872047,255.54108329901402,151.87198260388635,223.25731945292767,182.76293601686504,182.76540758990188,182.76293601686504,166.46520385274306,0.7430318383620341,1.059817624839706,263.919319406854
6,True,60.0,80.0,0.8388888888888889,2033.817174699079,2.7278028459299706,710.6382539139821,0.08354274398798728,0.10946051677351543,6.668592198702565,11.999749564586233,7.557284136233873,1.4217862882578135e-05,600.0,767.4501005947667,395.09068472998865,173.87640175038328,97.4037582820902,304.98448759466453,169.50384026179228,269.1201148502297,213.190694375807,213.18984563622212,213.190694375807,208.7464273617765,0.7430318383620341,1.0838839198223655,269.9123884440185
7,True,70.0,80.0,0.9638888888888889,2314.0009547884783,2.7066696708777935,661.3875183247409,0.11320070341964476,0.11853185953060387,6.2575304471975475,11.999966899370039,7.0301115740224285,2.06364387750695e-05,600.0,969.2575107247069,449.2057598870088,183.8744432674383,111.66778364404861,369.7945977753589,192.84838447865462,329.155651432211,246.36290171907334,246.35778295584672,246.36290171907334,263.63804291712023,0.7430318383620341,1.114510352134826,277.53908475696875
8,True,80.0,80.0,1.0888888888888888,2698.9003569770066,2.8622358055155432,591.9980013036701,0.13178211544906326,0.12522976318498713,6.142002436484333,11.999994241796147,6.8836806304762765,9.636267769125153e-05,600.0,1236.487888749839,534.9389695580454,195.9029472200799,131.5803678983847,439.4170117786294,224.92175902627335,392.0722796214722,256.95573796672113,256.946339740567,256.95573796672113,336.32470573995613,0.7430318383620341,1.154638672801241,287.5319729964166
9,False,90.0,80.0,1.2138888888888888,3169.4139117817645,3.7718099936898692,518.3474667901606,0.06693665342722799,0.10853453373442237,7.288260782915085,12.458471688342392,8.370840271255755,0.01938718997241975,600.0,1494.6506703699079,714.4820509166694,204.0404078007429,156.38002058430337,434.865601847207,254.41008692421207,378.62553926217777,173.76473249332105,173.7561676542119,173.76473249332105,406.5449823406149,0.7430318383620341,1.201184960063082,299.1230846812397
10,False,100.0,80.0,1.3388888888888888,5339.241232465588,3.8679662832452726,454.7206610168957,0.13248754774494056,0.12064851378494663,5.927534242531027,11.353760771411636,6.6138088081697415,33.12707910774464,600.0,3012.764865841134,1185.1350716562981,270.9165437848427,276.18036401842846,900.7524906656226,470.27222404747306,807.2869034058351,278.35336363924546,278.3328427965167,278.35336363924546,819.4720435087884,0.7430318383620341,1.3916827591326209,346.5614819116504
