,mission_range,cruise_speed,duration,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission
1,10,36,0.36666666666666664,1221.3275220987919,3.356514981177313,480.25212740604826,0.047912381,0.059239450059989825,9.845693131115482,11.999999999654403,12.000000000000933,1.1542370859998851e-07,600,223.88718839533783,146.7871037480553,179.02811187254224,71.62545782350551,124.04688078678923,101.7778739018871,101.77729350822474,84.55460284509772,84.54699719894582,84.55460284509772,38.06082202720743
2,10,72,0.22777777777777777,1094.796989675139,3.177893329,570.2269376,0.037915934986512155,0.1053851759836928,9.845693131,12.000000030070936,12.000000000003894,9.667178003576253e-08,600,126.16058414390172,130.7810771569495,173.79706163003567,64.05795582339398,111.1955222548039,91.24039466,91.23308247289864,84.55460284505598,84.55329155051773,84.55460284505598,21.44729930446329
3,10,108,0.18148148148148147,1058.2643744701718,3.124421842391964,575.3850190747893,0.038536127311450466,0.1592945274413298,9.845694209720609,11.99999879864384,12.000001633728239,7.389075141725234e-07,600,97.94648088954925,126.18741244186197,172.24320427565985,61.88641726580303,107.48499312779308,88.22192686751563,88.18868586615211,84.55457982,84.57834021208123,84.55457982,16.650901751223373
4,10,144,0.15833333333333333,1040.9985614772654,3.0988287936075825,538.4511726,0.044767617,0.2286634333849924,9.845693131115631,12.000000000001917,12.000000000001153,4.441304693585737e-07,600,84.55838386902032,124.07592296593722,171.50133448979844,60.86225372,105.7313637,86.84796102944023,86.74988012309711,84.55460284509462,84.64210481162436,84.55460284509462,14.374925257733453
5,10,180,0.14444444444444443,1031.0829543790253,3.0840351661788614,452.14039904393695,0.064198733,0.3415057949158543,9.845693129167229,11.999999983334533,11.999999997049978,2.993013914336997e-07,600,76.76786940901327,122.96680118503656,171.0730267789683,60.27470992156082,104.72426276668209,86.15153817886286,85.92357955270849,84.55460288668388,84.77082023257853,84.55460288668388,13.050537799532256
6,10,216,0.13518518518518519,1030.5499392133343,3.0832379425706775,369.6550256744311,0.096351211,0.5000524174030596,9.845693182333154,10.254416393402822,12.000000077578633,1.142206724856771e-06,600,76.10296608468614,123.15494696809506,171.04995554956207,60.243139351710155,104.67012531555679,101.03260198067204,85.87916104591218,84.55460175,84.99612956525947,84.55460175,12.937504234396645
7,10,252,0.1285714285714286,1058.3358368089089,2.7864854037301936,476.3250680343282,0.089502427,0.5000000234320334,8.968399253996164,7.853029999161132,10.701724078336111,1.2444720337161968e-06,600,87.1435821,136.16100521999826,173.14170596015535,61.89065908856065,118.00721698884367,135.74549716849847,98.89395662436641,106.31443788201437,107.07544576615831,106.31443788201437,14.814408956874608
8,10,288,0.12361111111111112,1092.0608802232812,2.5519414989869404,593.0217845432447,0.08489434,0.5000000619115912,8.226278935,6.207458824950909,9.648415936919758,9.251585176156524e-06,600,99.29652513656646,153.3253466830409,175.5408594992578,63.89510726256068,132.75271710159964,177.6163543673761,113.18551017732348,130.7939667561747,132.0371427200985,130.7939667561747,16.880409273216294
9,10,324,0.11975308641975307,1130.8473687812923,2.362235936011337,718.7190959,0.081744781,0.5000000242060922,7.590821000949308,5.026481191987366,8.776674745357454,2.9124188263742237e-07,600,112.6707784501176,173.75451306152354,178.21583866663482,66.20677827,148.97563368176756,227.7725270393664,128.84690404865123,158.0664639,160.0145980786456,158.0664639,19.15403233651999
10,10,360,0.11666666666666667,1172.1752142731173,1.7642541400575824,1070.2125437693576,0.12269976328397092,0.5000465577426252,5.787000365926119,4.965233037125814,6.438335536,0.00037174,600,138.22860700822707,181.15577741694943,184.13277194828999,68.67733845835396,202.55316055877407,238.77159218250426,182.06184001865827,293.7328596850935,297.05765500197526,293.7328596850935,23.49886319
