,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
0,10,229.4382491085501,0.13247360084887633,1213.9117207775164,2.177126952409182,666.5913036496793,0.140000312,0.41831283323620955,6.860881692,12.00000222180507,7.807265166,9.739487131232152e-05,600,193.9719928440291,216.36940248157697,146.63620456843756,56.94398976746804,176.9323208498522,101.41352842338765,155.48488426090097,199.75694434938293,200.23982544792514,199.75694434938293,52.76038205357591,0.027671512,843.9990878048592
1,20,229.79151685543533,0.17592430374531395,1244.4124133999912,2.195186084353563,663.8468945732604,0.1400000073892416,0.41723885829441687,6.836123039352705,12.000000048032252,7.774955315024868,2.7626285789997386e-05,600,215.66475613069383,222.58341043555123,147.75854046428665,58.41096244078609,182.03481801547878,103.95896396484954,160.05396339644574,201.4206266137163,201.90229504876828,201.4206266137163,58.660813667548716,0.027671872131162463,860.7145640817644
2,30,230.15277995516493,0.21923708631602476,1276.4045814430988,2.2148559001944808,660.4293451080338,0.14000001760190794,0.4163369837595409,6.813672022632927,12.000000113652822,7.745688490357312,5.176331455254148e-05,600,238.3866917214651,229.1497490713289,148.9222239738611,59.953111349094485,187.32991215357512,106.62901090027235,164.7890414173134,202.94562444746566,203.4259841944876,202.94562444746566,64.84118014823851,0.027656973,878.4923795713112
3,40,230.5220873159203,0.2624080534328997,1310.0155358541454,2.235685978782243,656.6509383993841,0.14000002346372098,0.41550679159663434,6.792090201121702,11.999999966526227,7.717582986749855,7.06377327690929e-05,600,262.2292864,236.08429089586042,150.13331840032433,61.577044733887504,192.8736952930629,109.43421492383467,169.7442759090873,204.42647021410482,204.9054511967552,204.42647021410482,71.32636591433202,0.027634394823049906,897.2358023
4,50,230.89961860041518,0.30543320499937937,1345.3692262080704,2.257528414736901,652.6298425380135,0.1400001323639427,0.4147098160688303,6.770819082427255,12.000000722368009,7.689909143997946,9.473149356862636e-05,600,287.28266214879557,243.41077442214964,151.39624291811057,63.28927972952359,198.70110393287487,112.38486931893314,174.95255158614518,205.90046564052446,206.37800669209796,205.90046564052446,78.14088410447239,0.027607025494160005,916.9432161213338
5,60,231.28593559880235,0.3483080353435109,1382.6081898591945,2.2804331676010747,648.3689964171882,0.14000021559526502,0.41394357910376284,6.749812948601385,12.000001238936465,7.662606337,9.000733811749027e-05,600,313.6425815,251.16275333656026,152.71503064972873,65.09731163126281,204.83651923208953,115.49287719208282,180.43575893345226,207.37037697893388,207.8464163129253,207.37037697893388,85.31078215749208,0.027574934988679203,937.6863358
6,70,231.68646364065583,0.39102134367299546,1421.8800344923525,2.3052874237447525,643.3761105290724,0.14001246233956272,0.4133821262285171,6.731171469139039,12.000086931562272,7.638398834493973,5.8327522830896e-05,600,341.3863585241647,259.4031495754518,154.0891924684184,67.00897117007975,211.2381241528854,118.76990229609264,186.1489646326577,208.6868501288498,209.1613211678736,208.6868501288498,92.85708951857278,0.027526492504383326,959.8697456127488
7,80,232.10037373345614,0.433567352,1463.3704843728608,2.3333963831901077,637.0723381286826,0.1400066457416426,0.41318790720593196,6.717873511,12.000045840022247,7.621142862784043,3.863688551211594e-05,600,370.60477799471073,268.2210363546007,155.51683760693294,69.03404827420104,217.83239620314134,122.23377825210294,192.01457192449007,209.6329473975806,210.10570617974105,209.6329473975806,100.80449961456132,0.027445258,984.0246722335276
8,90,232.52928520280253,0.47593691134122507,1507.257963282198,2.3639206194986095,629.9712461240243,0.140001716,0.4132189466532786,6.707433433,12.000011724546795,7.607602690789102,6.97948455810285e-05,600,401.4410599394715,277.63593322460923,157.0072263505786,71.18209809848626,224.71456158399403,125.8979365233251,198.12522085401608,210.37982976251598,210.8507993523653,210.37982976251598,109.19196830353624,0.027344876288656665,1009.9665668427281
9,100,232.9492750032916,0.5181668937188545,1553.756566,2.3890505476652417,626.2234226,0.14000045585384066,0.4120740288800937,6.680389021738824,12.000003019398973,7.572557474657337,3.596570610885061e-05,600,434.2729185294088,287.41360801367864,158.61148061939872,73.46455606064856,232.58474334735914,129.77826867854438,205.1825385652749,212.33157909442164,212.8008709654137,212.33157909442164,118.1222338399992,0.027330678390780044,1034.7460067542283
10,110,233.38452873388474,0.5602140474019744,1603.1061346376762,2.416826854193882,621.5460295205866,0.1400001783180116,0.4111810965371865,6.656600842264424,12.000001147040724,7.5417672953348625,4.33053253803705e-05,600,469.0363409383167,297.89047518382193,160.2916160990154,75.89428309470757,240.82954237831933,133.89672598948536,212.56372304530203,214.0688570219832,214.53636442828932,214.0688570219832,127.57788473522211,0.027294597,1061.504471417543
11,120,233.83122104297152,0.6020795546381277,1655.5821224848928,2.445925392,616.6895897,0.1400000514103006,0.4102835648297586,6.632521114813179,12.00000031148929,7.510633492,6.0225129261381486e-05,600,505.9585097,309.08191789495993,162.06337133836286,78.48608404322668,249.61580880417992,138.2760313790962,220.4317550912812,215.8472932739429,216.31293986347475,215.8472932739429,137.62071463662136,0.027255605,1089.8260454366011
12,130,234.29300372554755,0.6437496740290329,1711.501214889306,2.4771327656432276,611.3109387806576,0.14000000835988152,0.40949680616353357,6.609707520213486,12.000000045955774,7.481167974423174,4.117920715461644e-05,600,545.2274946746338,321.09175877502986,163.93135042097606,81.25702812137354,258.93751117659536,142.94277062697756,228.77460053572307,217.55092488949643,218.0146222317225,217.55092488949643,148.30187855150035,0.027204918819950567,1120.1458809513301
13,140,234.77049422483103,0.685215955,1771.1987106497622,2.510432333916137,605.4848022599044,0.14000000062902063,0.40879482869313055,6.587776528764059,12.000000006149493,7.452871001398398,7.093032794735968e-05,600,587.0769166370276,333.99962700472344,165.90521598935393,84.22537303314002,268.8613833387058,147.9248973637182,237.65320912134783,219.2060506063292,219.6677137989309,219.2060506063292,159.68492132527152,0.027144368875125266,1152.5871155682182
14,150,235.2669105,0.7264626118386562,1835.0880643230928,2.5463740408953304,599.0256571,0.14000000656223455,0.4082417427197732,6.567561368080572,12.000000031912215,7.426812693338075,7.736360843897376e-05,600,631.7625557710926,347.92727958464354,167.99344748941854,87.41357713643757,279.4169649090639,153.25701489591623,247.08958473790312,220.74699692201327,221.2065386090944,220.74699692201327,171.83941516973715,0.027069083518911553,1187.5436750606814
15,160,235.77756791566006,0.767494582,1903.6308602354839,2.583792130778348,592.5596650678805,0.13999999999760462,0.4076130119027095,6.5459900823282045,11.999999999884587,7.399032431767134,5.363992753323543e-05,600,679.6410478,362.9331948274692,170.2170534477039,90.84688810965196,290.80869911101695,158.97731537840545,257.2810536770189,222.40773342609623,222.86507174072335,222.40773342609623,184.862365,0.026995379399095853,1224.6711546341398
16,170,236.26235844522222,0.8084279687436883,1977.4225574826394,2.614795999058925,589.6875638391314,0.1399996860332099,0.4055897406326353,6.5053563152918095,11.999996800374827,7.346775986426534,8.841647198304264e-05,600,731.4330375695579,378.77345737654167,172.64891910820813,94.55774042,303.9683703157678,165.13344010877552,269.1551452141739,225.5828870301629,226.03790950347263,225.5828870301629,198.9497862189197,0.027018696,1260.4888744730774
17,180,236.80110306315578,0.8490204831745509,2056.9485890900555,2.6553910618144316,583.1709683245947,0.14000009591711457,0.40478430234007046,6.480758085967067,12.000000587082212,7.315188110846013,7.670857054855182e-05,600,786.8587722408708,396.3142238087517,175.19324474618313,98.57358995133873,317.39320644355064,171.7697665693584,281.1887483850591,227.53528219693212,227.98788077251908,227.53528219693212,214.02558604951685,0.026948375488950713,1302.4676760638536
18,190,237.36149393893643,0.8893557078619754,2142.9897127342756,2.6988305804070665,576.2270143084569,0.14000028147723834,0.40403357534277823,6.456501687871873,12.000001556176672,7.284073299242387,3.8968436484056645e-05,600,846.6971010827289,415.43037377679445,177.9185523450814,102.93744305928777,331.9118953782271,178.94980851043027,294.2021070761557,229.48332365327664,229.93339004579602,229.48332365327664,230.30161149450225,0.026868977909812786,1347.8230165004097
19,200,238.01046171942147,0.9291880864752953,2236.309459798028,2.7569548762419083,564.0784547864242,0.13999999999129734,0.40514273498255055,6.456477199553593,11.999999999628589,7.284041904019079,6.889710657627199e-05,600,910.9065786131388,436.9619641,180.75693257396978,107.69228493528541,346.3668174887458,186.7404313,307.0149086545083,229.4853018669699,229.9328564841157,229.4853018669699,247.76658938277376,0.026651505736815483,1402.7591292311402
20,210,238.6233624458517,0.9689368349388195,2338.1028813548223,2.807133849302313,556.3298162615009,0.14000000043025426,0.4044928933121349,6.432542961741307,12.000000000266956,7.253373488441047,5.095690561369763e-05,600,981.3190062,459.97438796993765,183.91245952202172,112.90416610218028,363.4803366664016,195.23508243610198,322.34695829200245,231.4300050880707,231.8748313521431,231.4300050880707,266.91876967858354,0.026554506075561403,1456.4659495438477
21,220,239.24447195214012,1.0084503659206763,2449.5393171656483,2.857579570594834,549.4960413,0.1400003322872106,0.4033544597280803,6.4016309359860575,12.000001790143795,7.213812550925161,5.8657774465786536e-05,600,1058.3754300435312,485.15644999330743,187.36050841094251,118.63926988150216,382.64300795533757,204.53335074335223,339.56237424709605,233.97531459678297,234.41722814937947,233.97531459678297,287.8781169718405,0.026485433123176024,1513.2041063881688
