,battery_energy_density,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub_non_wing,Aero|Cruise|Cd0_wing,Aero|Cruise|f_total,Aero|Cruise|total_drag
0,250,96.56064,241.4016,0.4888888888888889,2314.342003724707,26.942176127341142,10.24282653663997,2.319004353,1.5947606963755478,420.4768395522963,0.37128304587329697,0.045206789,3.000000279821923,7.3980890597661855,1.453313314834224,8.517487815,2.6359892046912137e-10,3.910050569805271e-05,600,612.5429530052295,335.7984424262126,654.3215926396605,111.68526869332098,312.82970305278417,107.19447813085979,271.7165030369827,167.83274748915292,191.0914947878075,167.83274748915292,104.132302,0.2729121403446563,0.009153409,0.6733516338973906,1526.8004448329539
1,275,96.56064,241.4016,0.4888888888888889,2194.3495708312244,25.65190991564347,10.175754696959967,2.246833091691172,1.5708980023647272,426.86412419156215,0.3697399341014665,0.045222547,3.0000000001176903,7.3663551186429785,1.4533133098615219,8.475037538078967,3.2803981753204425e-11,6.700195749758082e-05,600,538.0481105020344,319.38418563958413,631.3738991324254,105.5515610295246,297.8881055133634,104.0468121304731,258.91915651958476,169.5182596740325,191.1581386203144,169.5182596740325,100.61499666388045,0.2729121403446563,0.009153409,0.653579288,1481.9673668896567
2,300,96.56064,241.4016,0.4888888888888889,2100.090071509995,24.63638703341651,10.119763382843738,2.188779581012259,1.5521358742671938,432.02403287899153,0.36844371712349716,0.045220299,3.0000000001025753,7.339607934067711,1.4533133098740754,8.439307153417161,1.3159606737644935e-09,4.2587919065956224e-07,600,479.6473521176187,306.48078473520235,613.2033804772245,100.75920677415004,286.1310972432415,101.57122369526286,248.84626585248142,170.95671297228174,191.14863473460403,170.95671297228174,97.84805983199422,0.2729121403446563,0.009153409,0.6380286596035754,1446.7068798222563
3,325,96.56064,241.4016,0.4888888888888889,2024.025998279804,23.818070758732436,10.071512718000188,2.1410414687016823,1.5368009934292834,436.33495947939406,0.3672990094020127,0.045220201571757664,3.000000003597625,7.316842006881101,1.4533133099871258,8.408930471363268,7.354003095372263e-08,2.179605611470766e-05,600,432.6421589590822,296.06130282658313,598.4181862867574,96.90901883203034,276.6256256970309,99.57390583447388,240.6995759059554,172.19408259652383,191.14822392089383,172.19408259652383,95.61391712995717,0.2729121403446563,0.009153409,0.6254823301785912,1418.2585322089708
4,350,96.56064,241.4016,0.4888888888888889,1961.6838104171004,23.140422513410627,10.035060827955508,2.1015263859700677,1.523879338003898,440.0348379047332,0.3664105545377987,0.045229032249442996,3.000000011252159,7.298035271243522,1.4533133089981154,8.383860996552546,2.3833397477801554e-09,7.107506891670804e-05,600,393.99601899687536,287.5005078540249,586.4307041630967,93.76501000622052,268.79615369176565,97.92559937081244,233.98334147283063,173.22541393711523,191.1855506947467,173.22541393711523,93.77105252125634,0.2729121403446563,0.009153409,0.6151283463634373,1394.7812488714817
5,375,96.56064,241.4016,0.4888888888888889,1916.0184564426957,22.55385812384886,10.116714091207005,2.0804220499851347,1.5229782135296177,440.29108612955685,0.3671885207478659,0.044635033,3.000028043450191,7.308636333621967,1.4533068599147272,8.397989551,1.6263185234066668e-06,2.5808018591131585e-05,600,361.56041609987966,280.77586537271003,582.2083076297303,91.46878718106805,262.1581330608042,96.52389310913524,228.1520410213797,172.6430445818667,188.67115603851056,172.6430445818667,92.19790610546931,0.2729121403446563,0.009153409,0.6063207134736379,1374.8102602570543
6,400,96.56064,241.4016,0.4888888888888889,1864.9060790009455,22.093164479428683,9.971882349319554,2.0388640450217457,1.5039582305202455,445.8634454949023,0.36484574893161337,0.045224565,3.0000000065310792,7.266787220851892,1.453313309882732,8.342255958611165,3.6845193562839995e-10,3.758950365020553e-05,600,334.2419394,274.21089017497366,567.5538428799878,88.90553753914006,256.6341936708477,95.37262480781722,223.5493718,174.9575644939015,191.1666700195577,174.9575644939015,90.91380752626233,0.2729121403446563,0.009153409,0.59909161,1358.418531
7,425,96.56064,241.4016,0.4888888888888889,1826.6864412935136,21.67911209434997,9.946345894462798,2.013755134891098,1.4961843903911582,448.1799837594074,0.3641939825361601,0.045211952,3.0000004662375988,7.254017360270748,1.4533133236950886,8.325271091687112,4.419788979248551e-10,8.761003283425548e-05,600,310.6679848216183,268.9562562923919,560.0779075477592,86.99365265486556,251.81721390660343,94.36286961,219.41464982653633,175.67217479681807,191.11329225908227,175.67217479681807,89.78304761344768,0.2729121403446563,0.009153409,0.5927487490724193,1344.0363224779187
8,450,96.56064,241.4016,0.4888888888888889,1793.4276693149218,21.31916667808441,9.92276007,1.9916375964688382,1.4890587780108375,450.32473491237846,0.3636000149233856,0.045221104308493944,3.000000002341264,7.242401116927368,1.4533133099691966,8.30982942,1.3191009173851853e-08,3.0016013713199276e-05,600,290.1963224317729,264.3854992802472,553.5180139,85.33331235793614,247.6288789256945,93.48515018440364,215.8200341646604,176.32566413348397,191.15203999772993,176.32566413348397,88.80007466,0.2729121403446563,0.009153409,0.5872352709646416,1331.5347105358667
9,475,96.56064,241.4016,0.4888888888888889,1764.5007284169471,21.052876544252914,9.903468623616419,1.9749850900065014,1.4588713123723602,459.60359583028566,0.3622602227239195,0.04674753,3.000257265170202,7.240738573528584,1.4532745349103169,8.307620057533207,3.912145265516642e-06,1.7228321583617403e-06,600,272.25522108657236,260.30681567377786,548.0481930284345,83.89181119517328,243.69071062277894,92.74863452038899,212.3954533545294,176.41946213901213,197.57043586456928,176.41946213901213,87.93843641096286,0.2729121403446563,0.009153409,0.5825932381627669,1321.009069266076
