,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub_non_wing,Aero|Cruise|Cd0_wing,Aero|Cruise|f_total,Aero|Cruise|total_drag
0,10.0,124.18108815297984,0.16941644867062397,1419.1717604493683,29.999999999999996,5.53452333665495,1.7289464918427293,2.1,164.2606986150526,0.7726687072817223,0.0663363618736988,3.0000000000000013,7.091038906852218,2.8135442529964187,8.109382738285928,6.495845639165054e-09,3.5373424856611556e-05,600.0,187.19624853629688,193.29837477619682,371.806106837192,66.87697785589134,200.13594327877584,37.28242545190392,175.00367244342658,185.15018465311923,74.20275967407292,185.15018465311923,31.823362251170465,0.2729121403446563,0.009153409031417752,1.7133162200502856,1028.0364649865699
1,20.0,128.1639196797921,0.244939047544839,1455.8500043084196,29.999999999999996,5.690458730578161,1.7574884341950718,2.0999999999999996,169.52899428543924,0.744139494966346,0.06214404531137832,3.0000000000000013,7.113284009427383,2.729549180828862,8.138753319967622,1.264077750917636e-06,8.592209607101042e-05,600.0,208.97933253200742,198.2208807445628,379.9924837080583,68.66657674103652,204.6663682174016,38.347362223000005,178.87874801864757,183.81628096494285,74.04377773425057,183.81628096494285,35.52648653044126,0.2729121403446563,0.009153409031417752,1.6050382897729993,1025.8338618471503
2,30.0,131.5053872375842,0.31701642518366063,1493.4289489940118,29.999999999999996,5.851645082884046,1.7865830568630545,2.0999999999999996,173.9489249174395,0.7250480051106689,0.0592160751801934,2.999999999999999,7.135966134412499,2.662290130063161,8.16873211643504,6.119577093954831e-07,4.381681286563469e-05,600.0,231.04947648623553,203.29789895171874,388.58360669542907,70.50458628755722,209.28195578060507,39.44270239354623,182.82261282498357,182.46956546155573,74.28210354451144,182.46956546155573,39.278411002660036,0.2729121403446563,0.009153409031417752,1.529415530612149,1029.1357285778731
3,40.0,134.37026559716213,0.38657379575599854,1532.1283162794548,29.999999999999996,6.008741856515155,1.8145563609450637,2.099999999999999,177.73844655709289,0.7124560410492434,0.057146492703605965,2.9999999999999996,7.152936828749389,2.606836421505922,8.191182807538022,1.3954686295392094e-09,3.4079416599292414e-05,600.0,253.7757807395501,208.6289512060373,397.3273624969324,72.40205959477508,214.1957007255341,40.586115700208616,187.04604112479308,181.47069779248284,74.84338442888014,181.47069779248284,43.14188272572351,0.2729121403446563,0.009153409031417752,1.475962957608217,1036.9119517098077
4,50.0,136.95548928482168,0.45397100615997316,1572.1256665098977,29.999999999999996,6.162922128049592,1.8416570794438252,2.1,181.15805460955227,0.7037163732054811,0.0555790187193034,3.000000000000004,7.164948393272013,2.558512607552684,8.207083720312133,1.0644154002648065e-07,5.9468924317617326e-05,600.0,277.27317440665564,214.22153831392217,406.2705814213685,74.36808397766119,219.41897976350336,41.78087565377555,191.5571620914459,180.76819383043602,75.61835893277024,180.76819383043602,47.136439649131454,0.2729121403446563,0.009153409031417752,1.4354786963982658,1047.6487767677081
5,60.0,139.3495285771517,0.5194608514397392,1613.594345052659,29.999999999999996,6.318208978399999,1.868611736621404,2.0999999999999996,184.32477325020074,0.6976741643817612,0.05434118052110373,2.9999999999999996,7.1743260984182795,2.515184090778582,8.219504102944901,5.164046967820468e-10,2.321831580865672e-05,600.0,301.56583650433834,220.06317526753526,415.5585206240883,76.41163119545993,224.91232248397623,43.01952749344286,196.31285839671727,180.2222937971449,76.54160456632154,180.2222937971449,51.26619220573752,0.2729121403446563,0.009153409031417752,1.4035081721960052,1060.43981286393
6,70.0,141.68972881502796,0.5829261108203605,1656.6639535399845,29.999999999999996,6.469274739570939,1.8945181244407066,2.099999999999999,187.4202762103547,0.6928304551099472,0.05328905587883522,2.9999999999999973,7.178036573691385,2.4741225489695062,8.224419969969608,2.7940143461080424e-06,2.8735298284296028e-05,600.0,326.8760532143723,226.22455972836008,425.02909784293814,78.53960328584401,230.79625417512003,44.33930622440486,201.43231493394987,180.00691470377348,77.60188126589037,180.00691470377348,55.56892904644328,0.2729121403446563,0.009153409031417752,1.3763342035881807,1075.1293353954375
7,80.0,143.78737526870052,0.645265968938519,1701.4855900709351,29.999999999999996,6.626821378953734,1.9212147744073476,2.0999999999999996,190.19494083161445,0.6909649989585035,0.052530038092869116,3.000000000000001,7.182042680766306,2.43834354611656,8.229728461104093,1.0493068636208136e-07,5.4941010403272395e-05,600.0,353.0458962800082,232.6237465364116,435.06331526500355,80.7600442098541,236.9083094740661,45.671962129526904,206.7486914194816,179.77476684439858,78.77831974553365,179.77476684439858,60.01780236760139,0.2729121403446563,0.009153409031417752,1.356730513435885,1091.4282124344982
8,90.0,145.92341337676913,0.7056507773160953,1748.2195517878147,29.999999999999996,6.781272215554498,1.9470809159645552,2.0999999999999996,193.02038806450963,0.689311142019822,0.051834942238945074,2.999999999999998,7.1809593473063975,2.4029145461883155,8.22829283868624,2.419504596673505e-09,6.618442926716447e-05,600.0,380.40605079069246,239.3850303626971,445.355059823641,83.08154619210693,243.45208867441616,47.100941585566204,212.46443047923194,179.83750432965266,80.06266912100551,179.83750432965266,64.66902863441771,0.2729121403446563,0.009153409031417752,1.3387777803136638,1109.2221327356747
9,100.0,148.01786469831183,0.7644830153399005,1797.0233330096564,29.999999999999996,6.936666783260352,1.9728095276486355,2.1,195.7908263205182,0.6886439428411842,0.0512531311002639,3.0000000000000013,7.176989636064489,2.3691153515310717,8.22303283634427,3.3018565659403976e-09,8.245765071380937e-05,600.0,408.9610842896583,246.49442288381255,456.06424465947003,85.51266179622718,250.38678110660567,48.60240963243023,218.53534684516262,180.06765013057054,81.45282610230564,180.06765013057054,69.52338432924189,0.2729121403446563,0.009153409031417752,1.32375093179872,1128.4819564283446
