Unnamed: 0,mission_range,cruise_speed,endurance,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
1,10.0,80.0,0.5472222222222223,686.0459775380473,30.0,4.000000000000308,1.6316278950498382,2.1,100.00000157962069,0.9000000501847327,0.1215688085188046,3.1746031244564867,9.178336277538708,4.29941905597851,11.006981495117222,1.25056971370047,111285.3903435336,600.0,49.81363615704882,78.55239379798448,259.173188917609,32.10140841796562,74.74622380277611,16.571099489404308,62.328257555659775,100.49935474901784,50.39915448987163,100.49935474901784,13.549309034717275,0.0244818983801013,698.2512355020032
2,10.0,90.0,0.5333333333333333,868.2768919776712,29.99999999999969,4.01277370316967,1.525814870415309,2.0999999999998646,107.90636003399035,0.9000000000745428,0.1321436232229123,3.3097479799187055,7.864972998864588,3.824743006894184,9.149480745720476,0.5990882529389232,54600.36428619073,600.0,71.43561599644258,110.362440611525,279.5904946764761,40.55554910337376,110.39794950383408,23.57637142310592,94.899034831435,145.44769764270683,63.788350654452074,145.44769764270683,19.43048755103238,0.0246714566564166,883.7508308606922
3,10.0,100.0,0.5222222222222223,1071.9467802508304,30.0,4.503035692988279,1.5328549189498029,2.099999999999999,100.14207813344488,0.9000000001009668,0.1770447721983439,3.9626239461158894,7.214313371807973,3.4630180617688007,8.272526474068059,0.0229354310408336,15843.90562800518,600.0,92.5443325680761,144.1830886781895,310.9327371749625,50.15919877948912,148.5861127740547,30.046955765507818,129.5791296179068,177.91944481694202,73.60670605285225,177.91944481694202,25.172058458516695,0.0249328364656256,1019.7784856284744
4,10.0,110.0,0.5131313131313131,1297.0560212425955,29.999999999998938,4.872762875637183,1.603215683764925,2.0999999999997865,123.94660213055384,0.900000289545168,0.1340257457954606,3.5217418549982034,6.905573720024085,3.149432949014972,7.865680680933495,0.0007441204577229,11.239642769325474,600.0,116.4585713544202,180.92882678240315,342.0707353646486,60.95044538705983,187.82740925370524,38.31457783415373,164.90067088366237,196.80091934755663,85.3608164465547,196.80091934755663,31.67673140840229,0.0252539426627115,1182.62491009115
5,10.0,120.0,0.5055555555555555,1303.301904199263,29.999999996373596,4.791492676344331,1.5870604535325763,2.099999999936603,158.730158859554,0.7598919137793222,0.0781400674249701,2.9999999976449967,6.830590207459359,2.8995146041800792,7.767740008205369,5.849870543528368e-07,2.2024754114521597e-07,600.0,118.60976127656714,182.75725548296143,340.68299032710496,61.25236641801091,190.8037028448859,39.79296598107552,167.78392464507488,201.79499202659056,81.61946807594262,201.79499202659056,32.261855067226264,0.0250039864214712,1130.7906848527646
6,10.0,130.0,0.4991452991452991,1312.874275246949,29.99999999998924,4.782081545173267,1.5851998151817457,1.5333806720158747,352.65300935048134,0.6522374321002713,0.0543868787852104,2.003385505263044,6.80185560232341,2.583547150258303,7.730296814842702,2.7887259211212267e-05,2.8667389283095635e-05,600.0,124.12667988621791,185.64982212432477,341.387784991322,61.71534243870085,193.01707534021915,43.61487379719974,169.83491147793188,203.7545928538321,149.5036449179919,203.7545928538321,33.762456929051275,0.0247889424957797,1104.3370000374207
7,10.0,140.0,0.4936507936507936,1319.5081103294797,30.0,4.716780045605399,1.5722022891455096,1.4944657349194497,364.0688158741533,0.5652300958448111,0.056569693433812,2.1442595173366215,6.738271808026478,2.418151651179871,7.647616793351513,4.593281310860675e-07,3.3753991576151125e-06,600.0,128.59772915080558,188.4338951275232,340.4419489426776,62.03637433441415,195.82292729089843,46.60932901949448,172.53847126291677,208.1840771691848,157.42916751866144,208.1840771691848,34.97858232901912,0.0245878329950295,1104.6049767844936
8,10.0,150.0,0.4888888888888889,1328.813466169907,29.999999997746812,4.6789254794385045,1.564629135333144,1.5075966394720264,352.9696925687079,0.4958505369484284,0.0590948471311021,2.3490239006510945,6.689287628827517,2.2794995908900155,7.58408389782082,5.9817750752699794e-09,3.1031168911512436e-06,600.0,134.07045934585486,191.83059549001428,340.4272349106355,62.486937990004115,198.64797866418232,50.27907971632091,175.21080780128543,211.68665906295257,157.31033486222478,211.68665906295257,36.46716494207252,0.0244122078857377,1123.2526442561723
9,10.0,160.0,0.4847222222222222,1342.2498161404726,29.999999957238376,4.65397252213614,1.5596203519491774,1.4629985153544336,379.0937535452675,0.4402128075817563,0.0596228939618774,2.4040761652049163,6.64121636471782,2.1421871573896025,7.521872075565363,5.681794590373101e-09,2.921334800124432e-06,600.0,141.57371523166154,196.4189765605934,341.12079956021955,63.13803397926899,202.1090328078031,55.218701272583885,178.44624352237284,215.2027713809173,172.40766374161436,215.2027713809173,38.50805054301194,0.0242632180914577,1159.2956609296864
10,10.0,170.0,0.4810457516339869,1362.7136209664975,29.292542856129792,4.763582092589256,1.558647456066836,1.4776284513671298,459.9147337147281,0.4054527218565469,0.0402255249589515,2.0846113971160953,6.593709845913008,1.9970300358567223,7.460523839761473,-0.0025508628265136,0.0001923511749646,600.0,150.8783998738198,202.39712092482324,345.32115143298495,64.13081780747622,206.6687271371444,61.206070334474994,182.65656008011177,218.75656793897952,174.64225996016563,218.75656793897952,41.03892476567899,0.0242757924449415,1197.925210821248
