Unnamed: 0,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
1,10.0,80.0,0.2138888888888888,1619.3147432093592,2.57421637035185,777.4574339738273,0.0700683726406059,0.1060276398728583,7.002362095918722,11.999942586043332,7.992601144671463,5.622858746404133e-05,600.0,475.3869059186903,307.2381297842179,160.00326593727038,76.69394014154244,231.2526431835288,134.94916675121095,202.60172050358472,190.6002492871248,190.5899635169477,190.6002492871248,80.81577400617735,0.0279536996744918,144.91699110739535
2,10.0,90.0,0.2,1592.0550981210451,2.5528120912765795,811.9075991957085,0.0653136917770938,0.1151747505042431,7.003207772933913,11.999974394348657,7.993712590018079,5.853862113310053e-05,600.0,456.5376275078197,301.05264714121057,159.12293890715364,75.34953561845751,227.3322668326421,132.6802956317198,199.1634150205849,190.54725087605723,190.54159683759187,190.54725087605723,77.61139667632933,0.0277793140878826,179.24794161281326
3,10.0,100.0,0.1888888888888888,1570.9297796199962,2.548847813884508,830.6934118115818,0.0619511438339935,0.1252681277963259,7.034435678317736,11.999999998618131,8.034784761835809,5.743075117952949e-05,600.0,441.4101286082844,296.8467712427381,158.37122833226678,74.30922974464342,223.31994369670304,130.92396506305028,195.51609983153625,188.60415302810216,188.6050563539065,188.60415302810216,75.03972186340835,0.0274796983514172,218.2276197480504
4,10.0,110.0,0.1797979797979798,1554.1142621262038,2.539985707097056,843.4852308193695,0.0602798854397758,0.1361724873045165,7.046029944742915,12.000000103632134,8.050049073279958,3.371687185845808e-05,600.0,429.58246291507976,293.2546278701281,157.8008377317298,73.48214023236898,220.56594625825255,129.52844055581113,193.0564954299076,187.88957773978024,187.89905166392617,187.88957773978024,73.02901869556355,0.0272843949561126,260.35875559972817
5,10.0,120.0,0.1722222222222222,1540.3951378590707,2.532646889650606,849.8615950171735,0.0595432451701501,0.1478556843917121,7.055448476062009,11.999999998797907,8.062454962877489,9.746504343738522e-05,600.0,419.93427769107905,290.32805131677924,157.33468250636346,72.80799878342498,218.32703379315737,128.39264545666538,191.0578285338172,187.3118023513787,187.33238142507176,187.3118023513787,71.38882720748343,0.0271108320969078,306.1008739065573
6,10.0,130.0,0.1658119658119658,1529.0280664388274,2.5263991307586795,850.8862291698786,0.0595515169377656,0.1603676070418349,7.062999847366781,11.999999999676207,8.072405370350628,2.775597166482473e-05,600.0,411.9312757274082,287.9038260034483,156.94835517670347,72.24987792491874,216.484227591889,127.45484163381342,189.4141827979599,186.8503091648568,186.88498253378313,186.8503091648568,70.02831687365939,0.0269559257784476,355.4306098291621
7,10.0,140.0,0.1603174603174603,1519.4341187608638,2.520908280981936,847.185027394359,0.0602235617876141,0.1738194623205132,7.068951819651799,12.000000060811116,8.080250705827583,9.765135073932582e-05,600.0,405.1863033213017,285.8558569406691,156.6227093388763,71.77913102981648,214.9447552516644,126.66709897397044,188.0429424875429,186.48764920046565,186.53989572012705,186.48764920046565,68.88167156462127,0.0268172622092147,408.3142559621761
8,10.0,150.0,0.1555555555555555,1511.322278977794,2.502900444810183,845.3412929984406,0.0619207602843991,0.1879632319059882,7.041459917862573,12.00008792058178,8.044031475756901,8.259277247614744e-05,600.0,399.9637137949805,283.5538867356923,156.4142586249585,71.38133176557855,214.63195084643095,126.00397147781678,187.88119906450095,188.17079662072308,188.2444833780656,188.17079662072308,67.99383134514669,0.0268405348278354,462.4563830609728
9,10.0,160.0,0.1513888888888888,1504.271335983445,2.514292385734532,825.2179293278742,0.0635195277716974,0.2044226456796046,7.083593982275999,12.00000007071711,8.099559836863609,4.861069042129261e-05,600.0,394.4007373493859,282.73145499667015,156.09644542801846,71.03572607265194,212.3599037081053,125.43546822081196,185.7226029909724,185.59954607233504,185.6995240356205,185.59954607233504,67.04812534939559,0.0265495174869161,525.216186379421
10,10.0,170.0,0.1477124183006536,1498.1365942507125,2.507990826456056,809.27183079817,0.0664527759798946,0.221998063462383,7.080732285402317,12.000000001086342,8.095784988571475,3.271075134070238e-05,600.0,390.1839179134614,281.32208926823046,155.90115060493275,70.7351557954597,211.5793301971437,124.94486600873142,185.05143063527223,185.77266664517532,185.90390889232535,185.77266664517532,66.33126604528844,0.0264718600286108,588.2258846219817
