Unnamed: 0,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub,Aero|Cruise|f_total,Aero|Cruise|total_drag
1,10.0,80.0,0.2138888888888888,1619.4112740841094,2.5771223875794864,764.9423292215421,0.0720647752486947,0.1076310997694,7.009045008181308,12.000000086335817,8.001385457122588,5.32455224430699e-05,600.0,475.3304552564962,307.39806445942656,159.9913464055534,76.69870491558936,231.04592311703684,134.96876127549382,202.3913586918325,190.1819784533924,190.1889018613934,190.1819784533924,80.80617739360434,0.7430318383620341,1.035848723010261,257.9505035375071
2,10.0,90.0,0.2,1592.2197174075252,2.560120546650111,793.5945139751115,0.0676023951899919,0.1174790285105358,7.020298297992002,11.999999974778213,8.016183392014204,8.029879316443652e-05,600.0,456.3436810895162,301.43679980030913,159.0905498887971,75.3576475882914,226.80228813965695,132.71307889866128,198.62566006083512,189.48047181682367,189.50247511775655,189.48047181682367,77.57842578521775,0.7295437652903939,1.019073613034209,321.18159197246007
3,10.0,100.0,0.1888888888888888,1571.2082066396756,2.5493754848298305,809.2003349232212,0.0652577997068346,0.1285402361925605,7.035158438928062,11.999999990043069,8.03573606600032,3.294637777935905e-05,600.0,441.5503243433855,296.96200606553157,158.3786842993518,74.3229318249406,223.3365773179486,130.9762107286074,195.52760241685283,188.55950016879848,188.60222152493935,188.55950016879848,75.06355513837553,0.7178013163190394,1.0047783679236288,390.9582188982181
4,10.0,110.0,0.1797979797979798,1554.5012501271788,2.5406690439244497,815.3380781231712,0.0644812516038588,0.1407899371100212,7.046913347721217,11.999999999479304,8.05121244350495,2.875205675805335e-05,600.0,429.7796515888473,293.4142713893878,157.8115244139544,73.5011648294269,220.5932120096046,129.60267327423284,193.0766652892412,187.83528297374536,187.90561617603285,187.83528297374536,73.06254077010404,0.7074332496076273,0.9923723577003932,467.21857438578047
5,10.0,120.0,0.1722222222222222,1540.9240263838583,2.533589335328657,813.4366151926899,0.0649505331669752,0.1543485159041914,7.056674983579531,11.999999997787782,8.064070889969026,9.229365689380804e-05,600.0,420.20239816143265,290.54794179319504,157.34931648774645,72.83397690025876,218.36403546564048,128.49543841081135,191.08512901351455,187.23674053868604,187.3429087415793,187.23674053868604,71.43440768744355,0.698172701799541,0.9814502542025694,549.9090346888745
6,10.0,130.0,0.1658119658119658,1529.7253264881183,2.5274715755264996,804.273027635809,0.0666133877977367,0.1694838588646197,7.064203203051274,12.000000078283254,8.073991347573841,7.850481499384062e-05,600.0,412.2924957280993,288.1890013026697,156.96858810403293,72.28410164761159,216.5460537470634,127.592842785642,189.46333487808192,186.776910218386,186.92859828884067,186.776910218386,70.08972427377688,0.6898218409330498,0.9717252415434192,638.9844061896769
7,10.0,140.0,0.1603174603174603,1520.364985833735,2.5224952728909993,787.7615639576959,0.0695776560152219,0.1866572674093408,7.070932486118288,12.000000010228998,8.082861914838748,4.567765690217267e-05,600.0,405.6556635696936,286.2422643052254,156.64902315184025,71.82479333173393,215.0161932416309,126.85087810640564,188.09735980304276,186.3671771255877,186.5755580514078,186.3671771255877,68.9614628068479,0.6822302202470819,0.9629824729171236,734.4031399789969
8,10.0,150.0,0.1555555555555555,1512.5281346395363,2.5112407261178045,766.1989659343462,0.0745182798621606,0.2064621542177092,7.059367275081886,11.99929748379951,8.067618312856213,1.0448865476010157e-05,600.0,400.34280597025224,284.3249921614504,156.41665097250973,71.44045306483287,214.2583146195622,126.25175380686888,187.48137008777863,187.07211652126225,187.35155211105615,187.07211652126225,68.05827701494287,0.6752809437688733,0.95506759138632,836.1355666540603
9,10.0,160.0,0.1513888888888888,1505.7348052413854,2.514513367812314,730.5775508236129,0.081206940397256,0.2305587346041854,7.081148742338598,11.999999999111564,8.0963343034929,8.363706194729339e-05,600.0,395.2350284200717,283.25209036603974,156.1493858550038,71.10744593033237,212.6399063245925,125.73444102951068,185.9773508354003,185.74745912974353,186.10941795983,185.74745912974353,67.1899548314122,0.6688815025623904,0.9478297708500948,944.1269221169856
10,10.0,170.0,0.1477124183006536,1500.0052307194985,2.5109582270494974,686.9349545080727,0.0920729951139975,0.2607594802959906,7.084165309606058,12.000000001449664,8.100313531420928,5.949416519851758e-05,600.0,391.13161643179416,282.0991793866735,155.95545149621216,70.8266966509057,211.74057424740025,125.32396296808784,185.17866313458276,185.5650094190688,186.0274946869513,185.5650094190688,66.492374793405,0.6629575173633668,0.9411977060219155,1058.373052819907
