,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub,Aero|Cruise|f_total,Aero|Cruise|total_drag
0,10.0,191.657933145082,0.14106517940763386,1490.3775704174911,2.5582010980073435,535.3272750080001,0.14000058840258608,0.3697742761742495,7.219439823968127,12.000000839727264,8.279331198978237,7.088338312446036e-05,600.0,382.05810776652953,282.6018320402147,155.37087557330935,70.3551742644285,206.43950316886404,124.68665186001753,180.01183122151468,177.62710348670052,178.30873737010825,177.62710348670052,64.94987832031,0.6302766233350965,0.9073249602227812,1296.810535398151
1,20.0,195.17419212776431,0.1913614534321952,1581.3207217971176,2.6516798173076515,513.205392434333,0.1400001323770093,0.3789743587487211,7.258652783654356,12.000000307768731,8.331435378724464,4.8376793438200544e-05,600.0,443.8619508959817,304.41053695779004,158.23443396921866,74.82075531692529,217.85319795955363,132.28416355914828,189.80171482038386,175.41231726845322,176.07094438658618,175.41231726845322,75.45653165231688,0.6302766233350965,0.9184837074005572,1361.3704161322366
2,30.0,198.63769274372072,0.23991762661544683,1681.1342929232653,2.744266983563836,494.0269457212453,0.14000002340930315,0.3871927486411987,7.281965021534304,12.000000067912588,8.362456757634307,3.45813676951765e-05,600.0,511.61770985747864,328.42005029901554,161.35130326793913,79.75111009129324,230.86272564504188,140.62012800978093,201.0335409374181,174.11331168663804,174.74983053563116,174.11331168663804,86.97501067577136,0.6302766233350965,0.9304874024840987,1428.5448929393115
3,40.0,202.1095179988234,0.2868013889831836,1791.1763032076772,2.837794553618188,476.85423518700645,0.14000000005823127,0.3947392829244013,7.293348681776783,11.999999999577216,8.377617185189274,3.894579352080811e-05,600.0,586.173064217554,355.0383654235117,164.75007965783405,85.22103456527493,245.59038397315678,149.80827169551046,213.80498339960963,173.4837188550004,174.09884303745017,173.4837188550004,99.64942091698417,0.6302766233350965,0.9434490855382378,1499.5193404839627
4,50.0,205.60772860136632,0.33207040905898105,1913.0709445034843,2.932433104544721,461.48947637527806,0.13999999999569226,0.40159793439076635,7.292636147836807,11.999999999769853,8.376668016227438,3.476258184307196e-05,600.0,668.619581525234,384.661946804191,168.47453868183067,91.32077347237126,262.329136641618,159.98407708899035,228.38089569712537,173.5230363235222,174.11754137580925,173.5230363235222,113.66532885928977,0.6302766233350965,0.9575008077708702,1574.9910518736435
5,60.0,209.16177698388898,0.3757481844313129,2048.758212508373,3.029111145793848,447.54832312291387,0.14000000041533053,0.40787220881017744,7.281165270425716,12.000000004390104,8.361391975949518,9.23615959180236e-05,600.0,760.2158422636279,417.81985103938933,172.57291785033027,98.15921184907737,281.37779275934304,171.30948413604187,245.0259739528258,174.15765943885737,174.7322151082883,174.15765943885737,129.23669318481672,0.6302766233350965,0.97279600271242,1655.9472339120493
6,70.0,212.7995086096424,0.417837016905516,2200.6599361487315,3.1288410352720675,434.71609626278644,0.13999999999535828,0.4136526717784599,7.26003659022443,11.9999999997455,8.333275853645498,3.8813355629571895e-05,600.0,862.5062094983648,455.18074078582333,177.1059989897983,105.87321691131234,303.1196756104369,183.98657685970306,264.08101385315655,175.33484321737322,175.88999425026344,175.33484321737322,146.626055614722,0.6302766233350965,0.989523748542821,1743.5224116242903
7,80.0,216.5452182840719,0.458326739486232,2371.6947089667456,3.2326372695285324,422.7483850434623,0.1400000000896828,0.419009207207803,7.2300880861396815,12.000000000781718,8.293470636716078,8.22804738011368e-05,600.0,977.3662120228007,497.5607474558575,182.1470527378409,114.62976760873951,328.0312329131042,198.25882091863815,285.9713156114643,177.0219511863275,177.55812931588164,177.0219511863275,166.1522560438761,0.6302766233350965,1.007904343465045,1838.9782131711968
8,90.0,220.42384088653856,0.49719317955918346,2565.619801144728,3.341603516818942,411.4549433819087,0.14000000000353768,0.4239907168326496,7.1918000761463485,11.9999999997352,8.242662124152783,3.777001329627773e-05,600.0,1107.1773787332222,546.0117426086038,187.79151467414388,124.6453108600652,356.74236964043763,214.4395800051785,311.26106620662114,179.21103585163016,179.72856317860712,179.21103585163016,188.22015438464777,0.6302766233350965,1.0282184073846339,1943.849229853246
9,100.0,224.45970828472596,0.5344031451631174,2787.1417767391094,3.4569381071723093,400.68315226027,0.13999999999152404,0.4286305516698672,7.145446372838821,11.999999999524382,8.181271431547263,7.555692412006515e-05,600.0,1254.9322050571784,601.8650591454933,194.15891141142197,136.19429347361208,390.05845559677795,232.9213407784624,340.67342711449413,181.91065723475404,182.40975768584067,181.91065723475404,213.33847485972032,0.6302766233350965,1.0508070115980388,2059.964904210072
