,mission_range,cruise_speed,endurance,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
0,10,118.88271295266007,0.45555555555555555,1437.4313817110126,30,5.6310603299726045,1.7466629093632662,2.1,157.25226612902298,0.8539235535961522,0.080911683,2.9999999939213713,7.114438537251706,2.923640095059683,8.140278489118645,2.049375940060827e-07,2.3341131765800204e-07,600,195.80946496498595,197.4462138681204,376.4088290539797,67.76735695053281,202.04424764997543,40.10699088236153,176.58258051398005,183.7474074839753,82.94804171308328,183.7474074839753,33.287609044047606,0.022848841156457876,1149.1973068768762
1,20,122.73297668739063,0.4888888888888889,1479.9485443004844,29.999998957945106,5.813374128091996,1.779712147346656,2.099999938428585,162.3452138399798,0.8248849526645599,0.076131381,2.9999999663382093,7.140170651944529,2.8370915361454005,8.174292663607249,3.7638508931792103e-06,1.432491936610373e-05,600,220.8100268,203.2289626808206,386.06860448930985,69.84473517135632,207.27075254110918,41.448442688609255,181.04912623074534,182.2214007413293,83.18475470130417,182.2214007413293,37.537704553708224,0.022957926137561254,1152.4767613072638
2,30,125.93189549942677,0.5222222222222223,1524.0297134317057,30,5.993386872221987,1.8118384999975898,2.0999999850905056,166.57658414911458,0.8068470938512784,0.072993738,2.999999971,7.160063712781681,2.7681892302857247,8.200616307808243,4.172970857752034e-07,1.3691528307434575e-07,600,246.63623583049224,209.36108865402414,396.0281715011922,72.00458746664926,212.8514178876798,42.88018504372645,185.84331423732093,181.05343177823565,83.96814917705753,181.05343177823565,41.92816009118368,0.023069926,1163.330291283945
3,40,128.69927283656025,0.5555555555555556,1570.0020386531835,29.999999997387437,6.171154721403006,1.8430945430708332,2.1,170.2371332195888,0.7958245191369463,0.070854377,3.000000002856686,7.1739777188931235,2.710703277945872,8.219042591784662,1.7966806709068806e-08,2.412729110101174e-08,600,273.54934773298356,215.87008095136574,406.3191902509098,74.26357504754529,218.84679604154385,44.394812254002005,191.02006360478993,180.2425338516695,85.12876904150156,180.2425338516695,46.50338911,0.023185587,1179.4100270459626
4,50,131.34750579120444,0.5888888888888889,1618.1789189603264,29.999999998610022,6.331078616955824,1.8708307647260072,2.099999999957239,173.74008702934677,0.7875029040129699,0.069230042,2.9999999999929843,7.172888170030082,2.657521295535278,8.217599274631603,3.5170350720648e-07,9.012822108160888e-07,600,302.1429016977596,222.94642755656182,416.4526612032768,76.63787786157012,225.59656314194842,46.084707697301475,196.9162604406589,180.3058540448056,86.63547073821508,180.3058540448056,51.36429328861914,0.023305588997375667,1200.2845105457013
5,60,133.6050832353919,0.6222222222222222,1668.8436886817274,30,6.530521027170883,1.9049343948701272,2.1,176.72628063937475,0.7849445566446013,0.068107539,3.000000338430828,7.189344235,2.613591669076451,8.239406294177185,1.392495985186315e-07,2.441238215858235e-08,600,331.23340356314037,230.09605018276037,428.37200258518135,79.14238859526807,232.1273866072699,47.69783319852113,202.54416751618433,179.3526955595876,88.18577512123804,179.3526955595876,56.30967860573386,0.02343051,1221.763084229533
6,70,135.8393499704154,0.6555555555555556,1722.3182968890237,30,6.711747961148071,1.9354745120922345,2.0999999860817526,179.68168573640284,0.7836669136401773,0.067277746,2.999999921686959,7.190182277742499,2.5712996751440063,8.240517287050537,5.639829474546332e-07,1.0531367323003806e-07,600,362.4112786614078,237.9120512328316,440.2011783387737,81.79411317669297,239.53750132601363,49.50684849775856,209.00608989626662,179.30433788312658,90.04925633005924,179.30433788312658,61.60991737243932,0.023560996,1247.5805257342547
7,80,138.0595328873393,0.6888888888888889,1778.9378183271288,29.99999987341883,6.895355747714905,1.9659981118554302,2.1,182.61839330598514,0.7836051033004487,0.066617397,3.000000598611761,7.186919106942301,2.5304864537110134,8.236191547414204,4.381315346080328e-07,5.121561664872351e-08,600,395.39022453816784,246.26408356767735,452.6727915131104,84.61094501684889,247.5243970130038,51.45310691018355,215.99034069158282,179.49273261873623,92.10384689,179.49273261873623,67.21633817148852,0.023697693,1276.0457102870826
8,90,140.22463933762936,0.7222222222222222,1839.0810916371381,29.999999999992518,7.0832993709257845,1.9968244289839079,2.099999990220988,185.48232794309135,0.7852745114064281,0.066160248,3.000000001404158,7.180293511026402,2.491776415901865,8.227410515168069,-4.06E-08,4.526227346248309e-08,600,430.3561833505832,255.19703038443936,465.9148662668114,87.61322438462484,256.12895751586717,53.53429026836813,223.53097469083437,179.8760786459645,94.36333325855202,179.8760786459645,73.16055116959915,0.023841317679708336,1307.349579
9,100,142.39396312142532,0.7555555555555555,1903.1827322802744,30,7.273046145683219,2.0275344190607103,2.0999999714521915,188.35180744713793,0.7880733093735707,0.06584968,2.9999999710757477,7.168700436922828,2.454054747965525,8.212052496940023,-1.44E-07,5.22631492691602e-08,600,467.64907784679593,264.81348007059347,479.8960043949579,90.82439857927693,265.4850413999469,55.78891439884085,231.75481805424874,180.54950914816823,96.84881662,180.54950914816823,79.50034323395529,0.023992682,1341.7844943042335
