,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub,Aero|Cruise|f_total,Aero|Cruise|total_drag
10,110.0,319.99999999999994,0.4326388888888889,6166.349448871553,4.875402295605236,299.800051724981,0.14000000001131618,0.5784657454308882,6.82250720593007,8.32374707004597,7.757202329308267,6.768685576149254e-05,600.0,3399.1102778149398,1559.8927170151662,283.52762721865827,323.8270540249721,903.8245417332516,743.7180288175102,794.9192488603587,202.3436164054729,203.11734759340067,202.3436164054729,577.8487472285398,0.6302766233350965,1.344296166060577,5356.177831545096
11,120.0,319.99999999999994,0.4638888888888889,6737.26371285131,4.998314173104201,298.08654788419307,0.13999999999953464,0.5677218029955713,6.708010072009926,8.597012556851626,7.608350390356592,4.4032712860603264e-05,600.0,3763.0564999891562,1718.215419787523,298.73305345555696,357.2653753340208,1004.3610013293584,786.4178166327167,885.5091271020635,210.33848225079717,211.05446822889687,210.33848225079717,639.7196049981565,0.6302766233350965,1.387714539573504,5529.172842289778
12,130.0,319.9999999999999,0.495138888888889,7389.494005975339,4.999999999999999,311.91179008655104,0.13999999999913496,0.5425830442445725,6.443392374123078,8.82841558941595,7.267271439304888,6.209023826433663e-05,600.0,4209.921327570481,1865.7830670241115,317.8184957997438,395.9789953169292,1146.832844706438,839.6200064587055,1016.8182195602895,230.545676674873,231.2417704314628,230.545676674873,715.6866256869816,0.6302766233350965,1.4358426535831859,5720.933217600641
13,140.0,319.99999999999994,0.5263888888888889,8215.263079373195,4.999999999999999,328.8154670916463,0.1399999999991433,0.5148866736644446,6.148867076205209,9.060496473078695,6.892360655573913,5.145761856593563e-05,600.0,4774.045603806198,2053.1242768923485,342.37086203168144,445.72951003955177,1336.0612577176196,909.1895711857732,1191.937492813792,256.3089413381567,256.9846478568335,256.3089413381567,811.5877526470537,0.6302766233350965,1.4947912135007009,5955.806289326323
14,150.0,319.99999999999994,0.5576388888888889,9381.576440302646,4.999999999999999,351.31070991585693,0.13999999999789933,0.4821126672915148,5.796143574336223,9.293782428868665,6.4497194134301115,8.528265256765834e-05,600.0,5566.5050929301515,2320.024497857446,377.7566653175332,517.2994190582381,1618.5893810225411,1011.7943344798884,1454.5712516993517,292.69688654698905,293.3495881983027,292.69688654698905,946.3058657981258,0.6302766233350965,1.5747909673808556,6274.555177465783
15,160.0,312.9357943374791,0.6001758777702291,10000.0,4.999999999999999,362.6408234156852,0.14000000000000207,0.4569009667414997,5.632866660659646,9.735097331545937,6.247103947863608,3.648216330774443e-05,600.0,5984.8259093081715,2462.4938987325686,396.8587720029985,555.8274600028927,1775.2949967448608,1029.2361970776778,1600.7417330425262,311.99115458845716,312.5763300227176,311.99115458845716,1017.4204045823891,0.6302766233350965,1.615855401328125,6157.055219179004
16,170.0,301.1038406611229,0.6534781668826105,10000.0,4.999999999999999,362.58989052701486,0.14000000000000568,0.4398110466128166,5.632866660659646,10.345805508282735,6.247103947863608,8.608066368320132e-05,600.0,5985.19526171929,2462.1277842413892,396.8587720029985,555.8274600028927,1775.2949967448608,968.2088270789587,1600.7417330425262,311.99115458845716,312.48853352338375,311.99115458845716,1017.4831944922793,0.6302766233350965,1.615855401328125,5700.266436065922
17,180.0,288.0626107587827,0.7137530443787801,9999.999999999964,4.999999999999992,362.54027502693873,0.14000000000000715,0.42093498701917675,5.632866660659647,11.036496660277917,6.247103947863611,9.677552729258573e-05,600.0,5985.552435484383,2461.771169965019,396.85877200299757,555.8274600028903,1775.2949967448537,907.3675604477713,1600.7417330425199,311.99115458845694,312.40301975430884,311.99115458845694,1017.543914032345,0.6302766233350965,1.6158554013281226,5217.186360565962
18,190.0,272.65093003726037,0.7857506233199236,9999.999999999787,4.999999999999999,362.4896980109841,0.1400000000000065,0.3985812731931403,5.632866660659699,11.861612878566477,6.247103947863676,7.083726260073758e-05,600.0,5985.914508665187,2461.407675816274,396.85877200299194,555.8274600028794,1775.2949967448062,844.0138159352241,1600.741733042475,311.99115458845057,312.3158608289903,311.99115458845057,1017.6054664730818,0.6302766233350965,1.6158554013281108,4673.868961849849
19,200.0,270.08675525235475,0.8293916944156929,9970.846993750418,4.999999999999999,361.9516606439261,0.14000180906647655,0.3954348293331254,5.6402455947136225,12.000727705482095,6.256229999628323,24079.52752777015,600.0,6121.462518743083,2454.604695277984,395.9530009699572,554.0025743196878,1767.80369335259,831.7659586827672,1593.7468722126227,311.081606580504,311.39344226755804,311.081606580504,1040.648628186324,0.6302766233350965,1.613938963789416,4580.93102112632
20,210.0,272.58326097253797,0.8592956968885809,9581.674164765403,4.999999999940675,349.40343302184556,0.14438818331751252,0.4133827718052369,5.741714560421226,12.000000777623532,6.382018125995088,92975.20859080253,600.0,6008.20013499084,2364.7576705447063,383.91161617264476,529.7231068708777,1668.7827414503986,799.4266885362651,1501.3548967743527,298.93975856264865,299.26825787442056,298.93975856264865,1021.3940229484426,0.6302766233350965,1.5881739080717314,4591.520137210784
21,220.0,290.3637879342609,0.8465591258187383,10000.0,4.999999999999999,290.9049095565795,0.21744944145384068,0.5287567833412498,5.632866660659646,12.08096108470595,6.247103947863608,42317.977963106656,600.0,6191.196410374727,2461.830696912454,396.8587720029985,555.8274600028927,1775.2949967448608,828.958601275613,1600.7417330425262,311.99115458845716,312.4172936164148,311.99115458845716,1052.5033897637034,0.6302766233350965,1.615855401328125,5300.873886416416
