,cruise_speed,cruise_power,profile_power,induced_power,propulsive_power
0,10.0,260.19787867524155,92.86434469021042,167.3189496642978,0.014584320733334868
1,20.0,243.15964215039247,93.14539051990023,149.90781207445895,0.10643955603332356
2,30.0,220.71584429686152,93.61379783881146,126.76018212617416,0.3418643318759307
3,40.0,199.7098635820379,94.26955845535912,104.65661038567049,0.7836947410083149
4,50.0,183.95747755900578,95.11265238625631,87.35196575473746,1.4928594180120167
5,60.0,172.71745876672887,96.1430400879359,74.04543939339524,2.52897928539772
6,70.0,165.31197201933844,97.36065291026294,64.00062921311789,3.9506898959575993
7,80.0,160.84477374354697,98.76538183921278,56.26354997334172,5.815841930992464
8,90.0,158.70050879276332,100.3570645849531,50.161806848667915,8.181637359142336
9,100.0,158.48288080771042,102.13547106821359,45.2426821645837,11.10472757491312
10,110.0,159.9413468354841,104.1002873587037,41.19977221308705,14.641287263693338
11,120.0,162.91960797189742,106.25109812365291,37.82143798499213,18.84707186325237
12,130.0,167.32279460943403,108.58736765182343,34.957963513393544,23.77746344421704
13,140.0,173.09685509102292,111.10841952832331,32.50092743770653,29.48750812499307
14,150.0,180.21545580311482,113.81341504808498,30.37009363461231,36.03194712041753
15,160.0,188.67148327741472,116.70133047086004,28.50490991806882,43.46524288848588
16,170.0,198.47140435334492,119.77093323791273,26.858869688631312,51.8416014268009
17,180.0,209.27775382638433,123.02075729014595,25.042005043800078,61.21499149243828
18,190.0,221.83179868164117,126.44907764900017,23.74355970570797,71.63916132693306
19,200.0,235.79907959954662,130.05388444491254,22.577541822995396,83.16765333163868
20,210.0,251.2120318693681,133.83285660312387,21.525358226400552,95.85381703984369
21,220.0,268.10592857161663,137.78333542282272,20.57177248977033,109.75082065902365
22,230.0,286.51817755111904,141.90229831256943,19.704217836753255,124.91166140179635
23,240.0,306.4877383772733,146.18633297212986,18.912230622989515,141.38917478215387
24,250.0,328.0546444424101,150.63161233763174,18.186989083429587,159.2360430213488
25,260.0,351.2597737315551,155.2338706326339,17.521100416539955,178.50480268238124
26,270.0,376.1444071617852,159.98838089145625,16.908174638308818,199.24785163202012
27,280.0,402.7502760802648,164.8899343420767,16.342886324875096,221.51745541331303
28,290.0,431.11901860454174,169.9328220531058,15.82044345290937,245.36575309852657
29,300.0,461.2925604680454,175.1108192618008,15.336978524206524,270.8447626820381
