Unnamed: 0,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub_non_wing,Aero|Cruise|Cd0_wing,Aero|Cruise|f_total,Aero|Cruise|total_drag
1,10.0,80.0,0.2138888888888888,1089.6022436597264,29.999999999990703,5.4202457097973396,1.7079706374682506,2.099999999999827,120.37124650877097,1.4294115935124332,0.1408101652227808,2.637343440962137,7.859951992529797,4.143106626294604,9.142608682804404,0.00118320049563,33147.22094471577,600.0,143.93710816059408,142.25742478343042,334.4724513631455,50.99904198028205,138.62708636074353,28.85973515653971,119.17848411351908,145.6664320131256,84.58251619576396,145.6664320131256,24.46930838730099,0.3157602416945057,0.0110881511655129,4.705751807664461,1171.842008726942
2,10.0,90.0,0.2,875.6075410674129,29.999999999999996,4.499314418325313,1.63301774024964,2.1,100.00014624899934,0.907598479594456,0.1395027694047331,3.571423348257662,8.299951396969998,3.84804724015725,9.751240818433503,0.6284757008638593,71884.57878085377,600.0,105.57578772793732,107.42877484243836,289.8175371636879,40.89843762568451,105.49550222511718,21.246266877145462,89.79447409525422,128.05011773401105,57.83425909626194,128.05011773401105,17.947883913749344,0.3106646940711991,0.0108561907113284,2.542310250709935,801.2603242465769
3,10.0,100.0,0.1888888888888888,1094.6875611779835,29.999999999999996,4.96268219992392,1.705751248544236,2.1,129.38387965049955,0.9190930215212512,0.0982584377335022,3.067038937905775,7.835741192928189,3.4592225420800795,9.10949563531798,0.5104630139344017,25130.65402226206,600.0,137.69783854770972,140.94375770233435,323.3313200843473,51.24115373804197,139.7044050109703,27.867025776360247,120.16994189379967,146.72735268747493,68.19166124411025,146.72735268747493,23.40863255311065,0.3062221961373236,0.0106543620044404,2.428061382705383,944.7561610225604
4,10.0,110.0,0.1797979797979798,1297.0556050328378,29.999999999999996,5.406046678969421,1.722453197946652,2.1,100.63688618567032,0.9000000007458119,0.1803622799567069,4.337454715188623,7.348128050727152,3.1752401553108105,8.450683930950445,0.1039562839231251,3871.72491008566,600.0,168.90651015632946,173.63830360091632,355.78355227736625,60.95042527219975,176.51510644326407,33.71494439167931,153.48528185776772,170.496720073076,75.72881739606362,170.496720073076,28.71410672657601,0.3022946315778005,0.0104762435452845,2.228456677860319,1049.1791151086372
5,10.0,120.0,0.1722222222222222,1427.5045591255405,29.999999999999996,5.593234351354461,1.739739318718978,2.1,158.73015873015876,0.8323084373132641,0.0754855648061114,2.9999999999999987,7.111316117507927,2.9023999830492855,8.136153858310914,3.6071590159281176e-10,6.491428184763953e-05,600.0,190.82231604013737,195.08715333802175,374.3199769068187,67.28316978054288,200.73704157392905,38.4029401046068,175.45201135391187,183.9337565470653,78.84676632932077,183.9337565470653,32.439793726823346,0.2987825682119003,0.0103172219017609,1.9496191667581524,1092.376500400418
6,10.0,130.0,0.1658119658119658,1428.3980507863491,29.999999999999996,5.502388162908477,1.723014862978761,2.0999999999999996,171.95767195767198,0.7096297750874468,0.0615143236609306,3.0,7.050107149192049,2.6914728706696067,8.055418817722982,1.1688974232981765e-07,4.646046396611048e-05,600.0,193.2566435077879,196.0039016140092,371.8175844636757,67.32673739218575,202.60657328449904,39.60666619666576,177.32138863390756,187.6391667391997,75.4085245943063,187.6391667391997,32.853629396323946,0.2956121959151543,0.0101738787537909,1.588774022524172,1044.7416429563134
7,10.0,140.0,0.1603174603174603,1434.5570678428392,29.999999999999996,5.436883174804384,1.710869772304093,2.1,185.18518518518545,0.6145129557022501,0.0519621033444238,2.9999999999999964,6.9938751224060285,2.504533385355583,7.981449394211689,6.851264444662775e-09,1.9511273867889016e-05,600.0,198.23630766892637,198.11592780289308,370.5821217663747,67.62712776140779,205.11619706319888,41.69762365390648,179.73641089339102,191.13323802502367,73.87547382004706,191.13323802502367,33.70017230371748,0.2927273157733616,0.0100436157315674,1.342062060283542,1023.5021081258448
8,10.0,150.0,0.1555555555555555,1445.2395855122563,29.999999999999996,5.388744793452957,1.7018978921556287,2.1,198.40998140878975,0.5392952755868019,0.0452269717759175,3.0000410816616583,6.939570534123113,2.3388832793286154,7.910197045327291,7.235747290224026e-08,5.726914343879422e-05,600.0,205.51342375619805,201.29495714562407,370.2903421615778,68.14843008675987,208.26066662277643,44.61233158953274,182.70588927566448,194.59207181658732,73.8117699586663,194.59207181658732,34.93728203855367,0.2900842134563764,0.0099244147624346,1.1680770539064849,1022.6195278451715
9,10.0,160.0,0.1513888888888888,1459.9302664052457,29.999999999999996,5.3645492144349305,1.6973732579113925,1.9845040464577144,223.94553352695897,0.4788080376719584,0.045144859261838,3.000159490553551,6.893107191161401,2.192708877282184,7.849374052915051,7.49007504907695e-08,7.20117864078891e-05,600.0,214.67933887482715,205.33210005802547,371.0613862009333,68.86592724732623,211.79567151911155,48.25939162713427,185.9932087021724,197.61945412163007,83.82230099856955,197.61945412163007,36.49548760872061,0.2876482593216056,0.0098146793988212,1.0411502131607018,1037.0827931805077
10,10.0,170.0,0.1477124183006536,1478.317201428633,29.999999999999996,5.351210799210606,1.694874564634085,1.8918643494337493,249.60649912911936,0.4294761713867379,0.0451714218643147,3.000003717319342,6.8468306058469555,2.0637186825064946,7.788924119516667,1.1540883804173063e-09,2.3578986754129023e-05,600.0,225.7999444571772,210.26529912234685,372.49189188227086,69.76492178672308,215.91262973063797,52.643743674618214,189.79735567386277,200.69881129647837,94.69302997455392,200.69881129647837,38.38599055772013,0.2853915842792934,0.0097131265154286,0.9468691324122364,1064.7505490931787
11,10.0,180.0,0.1444444444444444,1500.2747609598837,29.999999999999996,5.34836294954462,1.69434071139926,1.81949222943442,274.7724463709316,0.3887720891374475,0.0451516120315154,3.000322048360429,6.801075165840072,1.9490818982692968,7.72928053628727,2.219175527784501e-07,4.3180448255502646e-05,600.0,238.82425697454187,216.06046883787687,374.55670501036536,70.83990132026946,220.59376265907932,57.76331412959316,194.1027698394985,203.80817741079835,106.09197120260583,203.80817741079835,40.60012368567211,0.2832914490339797,0.0096187104230076,0.8752411347971271,1103.3995481324946
12,10.0,190.0,0.1415204678362573,1525.778250509543,29.999999999999996,5.354038600309135,1.6954047225426967,1.7651443696775628,298.97564232973434,0.3548571034875247,0.0449331652603981,3.0002422013028323,6.754906018522848,1.8464931006302785,7.669223679046048,1.0029161359170755e-06,6.26649340021258e-05,600.0,253.77365508375993,222.72465332890465,377.19747147256,72.09038674293836,225.87705089096085,63.631713000696735,198.94820054320417,207.01267489121503,117.64177780876368,207.01267489121503,43.14152136423919,0.2813290735560187,0.0095305684689583,0.8197938241222442,1151.521139689483
13,10.0,200.0,0.1388888888888889,1554.8333237770837,29.999999999999996,5.371102593441972,1.6985997498846843,1.709822002342669,324.919908333203,0.3263571516183203,0.0453218571072475,3.0000018753578956,6.7104742130701185,1.7541606096969429,7.6115457426452195,8.322764699641994e-10,2.5017243422064503e-05,600.0,270.5982520493501,230.2252550304377,380.49732825244985,73.51749016889107,231.7024511842554,70.25161960394504,204.27300529323716,210.16191772703544,131.4996603958465,210.16191772703544,46.00170284838951,0.2794887799647769,0.009447981251428,0.7759902138668584,1207.747943550049
14,10.0,210.0,0.1365079365079365,1587.4495761895114,29.999999999999996,5.394443718506953,1.7029621146460283,1.6682892106246223,349.6591845134508,0.302225173178563,0.0454567242767244,3.000003540417695,6.664734596698748,1.6706281200996942,7.5522914719057885,1.1165468549734212e-10,6.953427271891763e-05,600.0,289.4053822726344,238.61546821730352,384.3144421837633,75.1226222370982,238.18646536590143,77.65248222626411,210.1944266974809,213.47265949907128,145.40963566660045,213.47265949907128,49.19891498634785,0.2777573537168241,0.009370343000153,0.7409468919922118,1271.4103459991825
15,10.0,220.0,0.1343434343434343,1623.700727038722,29.999999999999996,5.426048639880566,1.7088539589241931,1.6374555014208572,373.2049921759377,0.2816630701636011,0.0453700066298027,3.0000223046934935,6.619137782101905,1.5946919400775343,7.493344203814625,1.3111613661465074e-07,7.560131481813514e-05,600.0,310.19303728031036,247.88983036937535,388.7160930058976,76.91046128479519,245.30396261416337,85.84731331251969,216.68572574207212,216.8444852272173,159.28146160039492,216.8444852272173,52.73281633765277,0.2761235599329523,0.0092971391741992,0.7124406408202311,1341.695979157918
16,10.0,230.0,0.1323671497584541,1663.6583316375943,29.999999999999996,5.464521789175065,1.716003043914075,1.610766108064071,396.6339798823061,0.2640448811913182,0.0453405151919334,3.000020270271465,6.572968253718161,1.5253576107318076,7.433780101869506,6.932039120499668e-08,5.867437140390773e-05,600.0,333.0273552141559,258.07974980500614,393.6731798781302,78.88570666010625,253.10609566636893,94.8606932083786,223.79708692475373,220.33339476617812,173.97776183339056,220.33339476617812,56.614650386406495,0.2745777719690394,0.0092279292756577,0.6889581394481862,1418.105620717398
17,10.0,240.0,0.1305555555555555,1707.4103032992953,29.999999999999996,5.509730780444262,1.7243717355839152,1.586615734693865,420.1809011430108,0.2488769637033829,0.0454021219329781,3.0000046687361985,6.526304011095829,1.461800124330088,7.373703537236027,2.2196671700669418e-07,2.9288747588269425e-05,600.0,357.9585469165713,269.2079208459395,399.1952496510908,81.05399779363707,261.6197928255268,104.7151572106325,231.5539666976229,223.93831228498797,189.6945126395236,223.93831228498797,60.85295297581712,0.2731116825160376,0.0091623334946327,0.6693690075169016,1500.1965232495454
18,10.0,250.0,0.1288888888888889,1755.0522157046976,29.999999999999993,5.561483865738482,1.7339097934083487,1.5682387580836803,442.81803492479713,0.2357649873538422,0.045324592443675,3.0000001697627243,6.4791795166454555,1.4033284210560626,7.313162177188481,5.079262361817882e-07,1.5658413955453315e-05,600.0,385.0427246530477,281.30025979560594,405.29169497334584,83.4214933540843,270.8756889967084,115.43451117629972,239.9854089355668,227.6613658870684,205.4808537561288,227.6613658870684,65.4572631910181,0.2717180762722451,0.0091000222099374,0.6528381295476533,1587.6164865356802
19,10.0,260.0,0.1273504273504273,1806.685267850938,29.999999999999993,5.618804175755356,1.744422114688763,1.5514058257094712,465.517938571038,0.224390823617595,0.0453158999050968,3.0000622273634843,6.431160950867685,1.3493562210555912,7.251603635463685,9.832826819433649e-08,6.0944550225353105e-05,600.0,414.35568475197334,294.3939168023556,411.9486960638424,85.99477693182733,280.9267691562255,127.04578347883874,249.14285979661295,231.5429861852272,222.1962750209195,231.5429861852272,70.44046640783546,0.2703906491655534,0.0090407076468321,0.6387497094718839,1680.1090940580782
20,10.0,270.0,0.1259259259259259,1862.4499459532287,29.999999999999996,5.683419646030984,1.7562090673978554,1.5348184678757175,488.6561853210911,0.2144995407934182,0.0454185423529764,3.0000058493213664,6.38337618197804,1.2993778068925264,7.190475918323497,4.531509899763364e-06,4.837596713087454e-05,600.0,445.93045105015335,308.5027972393547,419.2411042950701,88.7825486520475,291.7656570533032,139.5707337793267,259.0162274526427,235.4965091680669,240.16875815782544,235.4965091680669,75.80817667852607,0.2691238631969054,0.008984137183982,0.6266035028290661,1777.380526784998
21,10.0,280.0,0.1246031746031746,1922.127124188151,28.768392706486424,5.864361899492855,1.7453008284889435,1.479519913025464,525.6832077140901,0.2146549887193922,0.0473661012620658,3.000073303017548,6.260597908277462,1.2528944568728066,7.034009767883501,1.9088874481099083e-08,5.71855998306364e-05,600.0,476.9775189168451,323.9835797372977,429.3979678422819,91.77561980782062,307.01973714791785,150.85036580624745,273.26193559815164,246.0899125513451,269.3518509727855,246.0899125513451,81.08617821586367,0.267912828846011,0.0089300879354779,0.6072049912870738,1852.3005963392009
22,10.0,290.0,0.1233716475095785,1985.151011371016,27.583579638211628,6.047617037502064,1.733728496779117,1.4683230870829345,548.6221136609521,0.2155447592380388,0.0466780906804116,3.0000038730449217,6.135577846618674,1.2097300678430858,6.875559406473065,9.034942092256416e-07,7.423359703899576e-05,600.0,509.7619765814983,340.441874152871,440.0085211166128,94.9472554121546,323.54752249864055,162.6745016026321,288.7257449193262,257.56311473895016,284.7511216679036,257.56311473895016,86.65953601885471,0.2667532090223634,0.0088783623287958,0.5893896488180564,1928.6728683512968
23,10.0,300.0,0.1222222222222222,2051.7541495439955,26.5472515708322,6.232075124180819,1.725310792993724,1.4666620449000176,568.1835850869735,0.2162986384612013,0.0455312945946358,3.0000001243837837,6.020283366070153,1.1694389052539111,6.730206734151556,1.8140926982823657e-08,7.181842879415262e-05,600.0,544.4711064454943,357.785052540178,451.1956997728151,98.31076536094254,340.8069063837629,175.26362418066572,304.85752230056124,268.80846226619036,297.241851563305,268.80846226619036,92.56008809573405,0.2656411400175295,0.0088287844680633,0.5736108487616461,2008.7224669493908
24,10.0,310.0,0.1211469534050179,2122.144724913543,25.621469496559634,6.416021156321123,1.718797893875834,1.4696341053463386,585.9355084929462,0.217089148934731,0.0442320652372076,3.0000010601298666,5.9106462854242166,1.131700124139825,6.592665478385392,3.400319446456024e-06,5.9041410342757365e-05,600.0,581.2436364442592,376.1243855694611,462.90595460061905,101.8784321400625,359.03767920384587,188.6271165211279,321.89479837421953,280.141640135278,308.3314206010197,280.141640135278,98.81141819552406,0.264573165990587,0.0087811971219915,0.559503286373051,2092.11763603642
25,10.0,320.0,0.1201388888888888,2196.4763510583907,24.828835163683465,6.602663888587796,1.7160083012213414,1.4638855362819925,607.2040936110926,0.217600941370851,0.043588651293814,3.000039146057126,5.812131285754646,1.096307121179602,6.469635966503478,1.9471355443556604e-06,7.739564367868903e-05,600.0,620.1094831026094,395.3863371899814,475.329371094544,105.6599571506494,377.912377244796,202.86204819315623,339.5054006795191,290.8975457101518,323.7572778722575,290.8975457101518,105.41861212744358,0.2635461843136819,0.0087354592127489,0.5470457200408236,2179.634393446785
26,20.0,80.0,0.3388888888888889,954.6923554191382,29.99183378287249,4.0027220723758345,1.497756301301502,1.8722313441981224,100.71650593692632,1.252768978138229,0.3149056955053262,3.5354815758919753,7.433636095928435,4.073919532592637,8.565114218442455,0.4452167415927164,71679.54550378033,600.0,161.22570280437648,128.1562961175947,288.42975551278937,44.61096068192916,128.42871820723695,29.03147933239708,111.46288666688052,165.97146540304686,105.25999083259303,165.97146540304686,27.408369476744,0.3157602416945057,0.0110881511655129,4.654705182815024,1159.1302079675254
27,20.0,90.0,0.3111111111111111,933.913684065566,29.999999999999996,4.955366938999201,1.6216066355227214,2.1,100.10208996003888,0.9680348786136216,0.1444602648407415,3.5677862199024006,8.029770217968075,3.8411866703644986,9.375962663150608,0.0141417897749924,67700.62073705338,600.0,127.53155844794968,116.596643559218,306.3457251714894,43.63318635247657,116.30640214034564,22.08554960087361,99.60723155778253,138.50581515955002,60.01167839644495,138.50581515955002,21.680364936151445,0.3106646940711991,0.0108561907113284,2.638026448919289,831.4272135912034
