,mission_range,cruise_speed,endurance,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
0,10,119.37576721761863,0.45555555555555555,1244.5424221525452,30,4.430207593363853,1.514090095576928,1.6788624619829795,282.9518857434286,0.7332408270350135,0.056982217,2.0941472620106922,6.688849078193875,2.826268477111993,7.583515731435998,-1.10E-08,3.7735545020530834e-07,600,84.05766116,175.59733382730082,326.47081918851006,58.41722227160594,186.06226685691598,38.64322287064095,164.1115369,211.71837990419954,120.88078042810781,211.71837990419954,31.43756527,0.022339690120983163,1070.378471
1,20,121.84286654316895,0.4888888888888889,1259.0222988927474,30,4.512131205382577,1.5308899741717232,1.7341828543940263,259.80410604753433,0.7120368850667851,0.05900495,2.253605859641899,6.719644312907913,2.7923983098897494,7.623440125579252,5.26654986288122e-09,3.524841167514981e-07,600,92.93825513097582,177.23032132111015,329.73953431007425,59.11478183431523,187.36442589293955,38.87267275808194,165.15146418849628,209.5066240049037,112.5985326550464,209.5066240049037,34.758907418984954,0.022378784,1063.8303591559866
2,30,123.41419990806602,0.5222222222222223,1272.524991314387,29.999999948254445,4.590096374853707,1.5467370324695007,1.9017786386721356,210.0776194981128,0.7014639271160923,0.062295458,2.574210950736407,6.748869584410159,2.7946132037362568,7.661380807880924,-5.74E-09,3.555523054941883e-07,600,101.24472817793026,178.6552171422164,332.8597289404405,59.765913335868625,188.55379784696254,38.77893375072373,166.09603715369389,207.4367250191835,93.47562525392763,207.4367250191835,37.865528338545914,0.022415103904566164,1062.1067806305057
3,40,123.85804545261318,0.5555555555555556,1285.862604350951,30,4.6652107868125805,1.5618778825592001,2.0999999190431864,163.83340080043615,0.7037451372577967,0.069128603,2.9999999811635565,6.77561775,2.8183125431570537,7.696149895648175,1.6159032867335554e-07,4.704275406127688e-07,600,109.43964873038307,180.08251308176662,335.9314338911232,60.40969452488329,189.7779142376802,38.58445570735522,167.0786850289972,205.56667466704556,76.92432855871725,205.56667466704556,40.930428625163266,0.022450854298612818,1065.7421510067904
4,50,125.33441892433993,0.5888888888888889,1300.9864077307398,30,4.741006945387572,1.577033143942171,2.1,165.78626808538306,0.6953466085440368,0.067596582,3.000000006026845,6.798193167271586,2.786525344870273,7.725527932653647,6.30499487286329e-07,1.0463274744600866e-07,600,118.57728674486188,182.04191075144087,339.2271119095162,61.14042179,191.37238023686268,39.07489150554868,168.40097130861878,204.00622136683256,77.02344288,204.00622136683256,44.34790524257834,0.022491243,1067.115404952252
5,60,126.67579715609803,0.6222222222222222,1316.2934531797755,30,4.823776520784111,1.5934458440859525,2.099998071122764,167.56078258390258,0.6887073450149495,0.066278226,2.999999097132589,6.824968077121887,2.758186006893734,7.760410115659786,6.260389110224196e-06,3.973343127395468e-07,600,127.69931168466945,183.9668032047572,342.74718,61.88078863715323,192.86441171675943,39.53933990836059,169.6164807738212,202.17637242406337,77.14644396772243,202.17637242406337,47.75954257006637,0.022531962496746397,1068.8175506940486
6,70,127.92847713867172,0.6555555555555556,1331.8094373074207,29.99999988,4.902797498048678,1.608982053401532,2.1,169.21756421738914,0.6832457123750826,0.065167591,2.999999966942284,6.847880850633912,2.732125713382699,7.790294608909291,-2.08E-06,8.209114154118937e-08,600,136.96640752340454,185.9770656352897,346.23418666333566,62.63206400090789,194.48490217000992,40.02771459814821,170.9575188,200.6282025681709,77.36127559758219,200.6282025681709,51.22543641375329,0.022573076816681446,1071.7958825455748
7,80,129.05464540469404,0.6888888888888889,1347.5504704450034,30,4.982022122450784,1.624435285547605,2.1,170.70718473187637,0.6793084886916623,0.064264832,3.000000319571534,6.869900198157878,2.7090297106008268,7.819043341062321,2.605125882126913e-06,2.815989129705832e-07,600,146.34148098810127,188.0284474293203,349.78601531350506,63.39505737301902,196.1528452489515,40.51372142910279,172.34211548211226,199.15559197072432,77.63866419480414,199.15559197072432,54.731713889549866,0.022614625,1075.6389416739441
8,90,130.0532135391218,0.7222222222222222,1363.535927671006,29.99999995260248,5.059443468570778,1.6394173048394332,2.0999999578558426,172.0280634403201,0.6768519679771158,0.063566075,3.0000000043420343,6.8895823821579985,2.6887899193533644,7.844765176582424,-8.18E-08,3.316364337673428e-08,600,155.8697303525194,190.1427510236707,353.35288812573765,64.17074027795609,197.9127111103519,41.002092518472224,173.81475378527915,197.85172906102792,77.98751080984331,197.85172906102792,58.29527915184226,0.022656652322315955,1080.4719670837153
9,100,131.01214702551601,0.7555555555555555,1379.776498777784,29.999999928579793,5.137261625740478,1.6543613265195733,2.0999988783832486,173.29654149789593,0.6749240471054573,0.062945068,3.0000007242185807,6.908528361711747,2.669595117414592,7.869546815409994,-1.04E-06,2.6779744446879823e-06,600,165.52485245740766,192.3016825966195,356.9919338,64.95966639942183,199.7207547738738,41.49866208976711,175.33112530392887,196.60759895933725,78.36860343776632,196.60759895933725,61.90629481907047,0.022699182916095004,1085.7506693431317
