,coeff_type,mission_range,cruise_speed,mission_time,weighted_sum_of_takeoff_weight,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,value_1,Point_1|Weight|takeoff,Point_1|Energy|entire_mission,Point_1|Aero|Cruise|CL,Point_1|Propeller|Cruise|CT/sigma,Point_1|Propeller|Cruise|J,Point_1|LiftRotor|HoverClimb|T_to_P,Point_1|Propeller|Cruise|T_to_P,Point_1|LiftRotor|HoverDescent|T_to_P,Point_1|LiftRotor|clearance_constraint,Point_1|Weight|residual,value_2,Point_2|Weight|takeoff,Point_2|Energy|entire_mission,Point_2|Aero|Cruise|CL,Point_2|Propeller|Cruise|CT/sigma,Point_2|Propeller|Cruise|J,Point_2|LiftRotor|HoverClimb|T_to_P,Point_2|Propeller|Cruise|T_to_P,Point_2|LiftRotor|HoverDescent|T_to_P,Point_2|LiftRotor|clearance_constraint,Point_2|Weight|residual,value_3,Point_3|Weight|takeoff,Point_3|Energy|entire_mission,Point_3|Aero|Cruise|CL,Point_3|Propeller|Cruise|CT/sigma,Point_3|Propeller|Cruise|J,Point_3|LiftRotor|HoverClimb|T_to_P,Point_3|Propeller|Cruise|T_to_P,Point_3|LiftRotor|HoverDescent|T_to_P,Point_3|LiftRotor|clearance_constraint,Point_3|Weight|residual,value_4,Point_4|Weight|takeoff,Point_4|Energy|entire_mission,Point_4|Aero|Cruise|CL,Point_4|Propeller|Cruise|CT/sigma,Point_4|Propeller|Cruise|J,Point_4|LiftRotor|HoverClimb|T_to_P,Point_4|Propeller|Cruise|T_to_P,Point_4|LiftRotor|HoverDescent|T_to_P,Point_4|LiftRotor|clearance_constraint,Point_4|Weight|residual
0,uniform,96.56064,241.4016,0.4888888888888889,1737.8127089610352,29.999999999999996,5.624304001040691,1.7454279323503348,1.6128483780265126,415.7511583530516,250.0,2205.2621249867198,117.78467667102247,0.3177234103004845,0.13347175490016375,3.0000734564676717,5.890474547817333,1.4530785950365845,6.5674312985463414,3.6646751411240075e-08,6.908404455991217e-06,400.0,1722.5104808711858,99.39751148465002,0.24817090814726456,0.11982571877847636,3.0000734564676717,6.570777120861555,1.45326711571659,7.430956364757269,3.6646751411240075e-08,1.2444684784587684e-05,550.0,1555.0634492447598,93.81543377686518,0.22404595659151172,0.11587599824424608,3.0000734564676717,6.871250611368537,1.4531203525703051,7.820807399954068,3.6646751411240075e-08,2.0025969583261734e-05,700.0,1468.4147807414756,91.0909528964998,0.2115620390821474,0.11399059106032758,3.0000734564676717,7.044661157326831,1.4530127128748118,8.048246584806341,3.6646751411240075e-08,2.3060729886213053e-05
1,linear,96.56064,241.4016,0.4888888888888889,1615.9213148660326,29.999999999999993,5.157369024719554,1.6582044876779638,1.5981888185648079,419.5749469867884,250.0,2234.8269843473167,122.32897430834458,0.3219829710278333,0.1395397863265526,3.0000000499990738,5.592987746049982,1.452712454970811,6.197832838939989,1.1195488980320079e-09,1.6212927561726486e-05,400.0,1721.167225364024,101.43115599930628,0.24797737844582696,0.1235676410413682,3.0000000499990738,6.282899413311811,1.453312996315024,7.062366936037093,1.1195488980320079e-09,1.126134738207698e-05,550.0,1548.17463101833,95.32006331733156,0.2230534492632255,0.11912214827956832,3.0000000499990738,6.582831098064117,1.4532460147000041,7.446493910988825,1.1195488980320079e-09,1.2623915326215386e-05,700.0,1459.3819551324923,92.3684037533378,0.21026063362806655,0.1170230971740794,3.0000000499990738,6.755258294623013,1.4531712662701792,7.669681442267167,1.1195488980320079e-09,1.0115270978490298e-05
