,mission_range,cruise_speed,duration,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission
11,10.0,396.0,0.11414141414141413,2172.1268057316884,21.215737900000537,6.000000000546789,1.4785258742917686,1.6923076694729293,1499.9999998762617,0.1644474721170418,0.00789573026734779,1.3000000176484898,5.108150654247029,0.6807465819604371,5.605444635215994,0.02032713108560813,4.414116758868295,600.0,305.8259132335442,577.5779533770415,560.2993866083427,130.52453246479854,425.2276318290914,645.0128870272956,387.5030344756924,387.5070527901957,478.29512480471163,387.5070527901957,51.99040524970251
12,10.0,432.0,0.11203703703703703,2405.4997940533317,19.75689786156276,6.04023870221282,1.418397278154019,1.8461537154397891,1499.9999988336183,0.1643272607443157,0.006417360654820499,1.3000000930553524,4.694938424648643,0.5917248054828027,5.109977090363463,1.4169601154634393e-06,0.012750088072696694,600.0,370.6119711730975,702.8817063781514,586.6576190840226,145.46141370595825,512.3602434111482,854.1858495171308,470.7457101108516,466.2961610286237,462.63359772426,466.2961610286237,63.00403509942657
13,10.0,468.0,0.11025641025641025,2693.6679178070426,18.58124329400649,8.990911968612787,1.762323722412077,1.9335764043225538,1498.6231187937683,0.16671248222144788,0.0060911617624824325,1.3458939512243788,5.432021887448306,0.5441819935927903,5.999808462979739,0.16247712835157557,2.6686351386636698e-11,600.0,377.0436952891059,798.1735075266339,754.3165549576396,164.1341651995466,495.88679383477114,1058.8828673061416,448.9589850122086,338.24000619672745,480.8063024974107,338.24000619672745,64.09742819914801
14,10.0,504.0,0.10873015873015873,2364.589107127343,15.135006344792185,6.860722199252125,1.362229570559733,1.9999993836357717,1499.9998988901652,0.15491823644137787,0.005238808887247375,1.4000005258243073,4.559917661847769,0.48937849722898447,4.949897285680573,0.3603629563853499,33167.35255309475,600.0,393.3323666921248,807.9191425577554,602.6260062583219,142.83065309567814,518.5596062208643,1161.3184567068517,477.7046816643651,496.94390909832515,443.2382443886498,496.94390909832515,66.86650233766122
15,10.0,540.0,0.10740740740740741,2325.295883225549,10.269914475369735,6.669986731974887,1.363733854345763,1.9999993764797899,1499.9998703858546,0.1955754851274037,0.004920710444817193,1.5000005972545003,4.599771704505152,0.4583890310512736,4.997056229868024,2.187273924212029,25780.780190926835,600.0,378.0490789912627,797.8241310716115,569.6778530016567,140.3087644041974,505.5241939394701,1164.5475508280283,465.3331434069058,487.60850631025585,416.32497141001545,487.60850631025585,64.26834342851467
16,10.0,576.0,0.10625,1637.7445990641058,6.000001634463679,6.639399422744503,1.0631481968674028,1.9999999860535338,1499.999999911817,0.207224156447888,0.0038567546309727363,1.600000011251235,4.298019925602297,0.40526079036907176,4.6418857270939755,2.2503916259476746,217811.27691603216,600.0,295.4491236678472,638.7071393869567,473.2857041426897,97.00518908698166,381.0463021142469,1032.4087104309986,352.8188101453773,565.0811968210886,326.3074581511474,565.0811968210886,50.22635102353402
17,20.0,36.0,0.6444444444444445,446.19691737526426,25.0,6.0,1.4492836821278476,1.9999999999999996,119.38944544148077,3.4687427712977903,0.1437516976884381,1.2563924679047374,9.926789513778665,7.269966798046985,12.123104409196907,-1.0718432494530106,388589.33929372963,600.0,65.25060336792042,52.63934203962526,325.1945339633049,26.481782208738228,44.94876382297926,13.58920831735119,36.80549983853703,82.84609739808472,77.04905752812854,82.84609739808472,11.09260257254647
18,20.0,72.0,0.36666666666666664,645.7261787868774,25.0,6.0,1.6904625165654958,2.0,185.68835124313625,1.254971699536049,0.03940536036480214,1.6156102307526368,9.682914937816893,4.538061347494852,11.754524740320704,0.3752297571728782,234512.79014342237,600.0,54.61593555500129,75.54312947062851,362.0205790996444,37.811741075838974,66.68716837168279,14.435638325231299,54.93426514913778,88.12306568980141,51.09131751844986,88.12306568980141,9.284709044350219
19,20.0,108.0,0.2740740740740741,1157.966231021089,24.999999999999908,6.000000000000179,1.6279242300891914,1.5604590584111542,425.0085300397844,1.0002277860460174,0.03316429466526297,1.3570394850425083,7.349848987064356,2.9347783674187466,8.452982422580043,3.831490147376826e-08,52654.12883882994,600.0,115.38983361210953,164.21633359371395,439.9978641032693,67.82707466855669,157.5496630011168,36.47220434299942,136.98907357572043,170.4040114917363,137.13026104849598,170.4040114917363,19.61627171405862
20,20.0,144.0,0.22777777777777777,1632.9947524143479,24.999999996945835,6.0,1.6279242242870802,1.4099229013830403,654.700281693756,0.7934331406043401,0.028314706159459198,1.300000003344748,6.326684870151741,2.1787838376647826,7.118123471550732,4.213095650129617e-09,1.3360569369748328e-07,600.0,179.77522275247995,254.80837433929725,501.699685492504,96.71183535119293,258.1122319081433,66.33247130161298,229.41365922367018,240.3082672752457,226.8038025040373,240.3082672752457,30.561787867921588
