,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
0,10.0,117.43042717583252,0.1740456939904037,1297.1607527354086,30.0,4.80080627207083,1.5889044130259944,2.0999999999999988,155.33125287808565,0.7897721299532365,0.07906164658027563,2.9999999999999956,6.8516029254270805,2.9619179841758974,7.7951521626680975,6.274918362692006e-09,3.408282355817592e-05,600.0,115.26128910065758,180.64025381386188,340.30954093209897,60.95550693842664,189.3222311411972,37.744132181773686,166.40608491873502,200.3782373052378,79.08327063570401,200.3782373052378,31.35107063537886,0.02248104147635232,1095.6531312448253
1,20.0,120.4775713353442,0.254894891320087,1319.0488099717677,29.999999999999996,4.914622381781607,1.6112966884678406,2.1000000000000005,159.36186684569333,0.7629880630484659,0.07465408203315338,3.0,6.88528488644627,2.8917774381307177,7.839146977837564,1.8259761702665855e-08,1.8106123602901994e-05,600.0,128.38307728257485,183.37641200865616,345.2794332051054,62.01414260452481,191.57505197327774,38.42345730865425,168.2643294864754,198.13542540245234,78.60016425909609,198.13542540245234,34.92019702086036,0.022539275396215346,1088.9599708583137
2,30.0,122.91758333731113,0.33295486533811525,1341.1923268375015,29.999999999999996,5.025805946467455,1.6329220218616527,2.1000000000000005,162.58939594882403,0.7453020560159593,0.0716599359303941,3.000000000000004,6.915370597681178,2.837411674838306,7.878501860024482,1.5449778345555387e-08,3.404577268067827e-05,600.0,141.59634553843588,186.23083830244587,350.28420930834153,63.08676856382787,193.943666198775,39.12707899059692,170.23443678330665,196.1609076346055,78.53476117392849,196.1609076346055,38.514205986454556,0.022597862121614673,1088.0538488115023
3,40.0,124.99057455905536,0.4089130198372658,1363.697401014874,30.0,5.135865833243392,1.6540944564421391,2.1000000000000005,165.33144782943728,0.7328798297965006,0.06945739993198354,3.0000000000000187,6.942875301124084,2.7924670987716094,7.914528104838175,5.6600608644430395e-09,9.947030995731851e-05,600.0,154.9743983648584,189.18465222620867,355.3697439351855,64.17857996895466,196.41680742762082,39.845595575940465,172.30305874853633,194.37915722896068,78.71011310413915,194.37915722896068,42.153036355241476,0.022657076006366763,1090.4832487321273
4,50.0,126.83458596552549,0.48310312958180474,1386.6593878651229,30.0,5.243391472093441,1.6745614148804153,2.1000000000000005,167.77061635651475,0.7237085283377215,0.06775113698338545,3.0000000000000075,6.966753858733874,2.753428239477919,7.945841684431735,1.7657166218043585e-07,3.5462089100906456e-05,600.0,168.60531875232715,192.25974673214785,360.505995975599,65.29428141043107,199.0395262962731,40.589486160075104,174.5138454724061,192.85012758749065,79.05866283930807,192.85012758749065,45.860646700632984,0.02271715732107755,1095.3122044096378
5,60.0,128.33403060585746,0.5564188161945576,1410.1079447807922,30.0,5.3533979770968525,1.6952845504902807,2.1000000000000005,169.7540087379062,0.718849501595239,0.06658776754190988,3.0000000000000084,6.990495818064973,2.7222792759182206,7.977010254833778,2.967006018650409e-07,7.40549761277544e-05,600.0,182.45268597558635,195.39821312461328,365.83024412683403,66.43540707385489,201.71787259163565,41.30862919553659,176.77148452032114,191.3460253071365,79.54916205555885,191.3460253071365,49.62713058535949,0.022778170502183833,1102.1077883281876
6,70.0,129.85447133764026,0.6279538843328266,1434.1108243671422,30.0,5.460005402467591,1.7151651113155613,2.1000000000000005,171.76517372703748,0.7140657161643069,0.06550270572490906,2.9999999999999982,7.010069663441059,2.6913237759235846,8.002732548161358,5.430478289270013e-08,8.70609748563071e-05,600.0,196.64621959031382,198.67982207545498,371.1887540865742,67.60535926187511,204.57868369644345,42.08258850175955,179.2026430642908,190.11795760174573,80.11808173510781,190.11795760174573,53.48777172856535,0.022840276761386398,1109.9898425643612
7,80.0,131.15967565423927,0.6988324527239699,1458.7131867342455,30.0,5.5684618402970045,1.7351925794095464,2.0999999999999988,173.49163446327978,0.7119320199599461,0.0647363673106867,2.9999999999999964,7.028986459937677,2.665170518493886,8.027613472182752,1.4533078900313967e-06,7.974151421936728e-05,600.0,211.13676224434238,202.04712704179445,376.73176878344304,68.80645847509015,207.52823967556472,42.846892464380204,181.71193615499445,188.94127417732855,80.78048922119295,188.94127417732855,57.429199330461124,0.022903575618173418,1119.1671164739382
8,90.0,132.52981737304424,0.7679813511282992,1483.9572643822848,30.0,5.6739138843916255,1.7544786282261235,2.0999999999999983,175.30399123418613,0.7093547487575779,0.06397188484119473,2.9999999999999925,7.044095954901639,2.638225907690817,8.047502330923649,1.0695444530028908e-10,7.147008603601004e-05,600.0,226.03298516092315,205.56697379063075,382.32486191779094,70.04089751116788,210.66681571105974,43.67166015654434,184.39973091774976,188.0085170183796,81.50304442842014,188.0085170183796,61.48097196377109,0.02296815671232409,1129.1777023909333
9,100.0,133.8057487896777,0.8362409339582288,1509.886130893151,30.0,5.7798105089480005,1.7736667127787682,2.1000000000000005,176.99173120327748,0.7080500141368973,0.06336807115705993,2.9999999999999982,7.057651782036871,2.6135362459807028,8.065357890209135,6.519281825489998e-08,7.369660188162145e-05,600.0,241.30918969705218,209.20329188363957,388.07130845224344,71.31092553271284,213.93604806858167,44.51299771242801,187.20633993515193,187.17699005840836,82.29577114510921,187.17699005840836,65.63609959759819,0.0230341095751503,1140.160474124831
10,110.0,134.9028818797753,0.9042902981636841,1536.5441014450366,30.0,5.886572262707871,1.7928344243406615,2.1000000000000005,178.4429654494376,0.7088785908344772,0.06300310001646482,3.00000000000001,7.069891223364073,2.5925575496034186,8.081489137641459,1.0387380555698655e-07,8.113598372289823e-05,600.0,256.99189989165524,212.95213439208254,393.9902061256474,72.61886858713464,217.3363143646645,45.349374902661445,190.13130813827576,186.43049771815288,83.16907276680037,186.43049771815288,69.90179677053023,0.023101524574545448,1152.2595647243427
