Unnamed: 0,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
1,10.0,80.0,0.2138888888888888,686.0459452537312,30.0,4.000000000026651,1.5963685143459396,2.1000000000000005,100.00000056428868,0.9000000078320524,0.1215688024037112,3.1746031566892476,9.014947253818896,4.299419072064338,10.769121540235885,1.0390134294428126,112003.0159956488,600.0,50.26083254117938,79.08674414115009,259.26547822773875,32.10140693231493,76.10093835691714,16.5710982573508,63.70491248431989,104.98788556796696,50.399150931281184,104.98788556796696,13.670946451200791,0.0244818982735919,698.251186199784
2,10.0,90.0,0.2,868.2769055512822,30.0,4.0,1.560101924649999,2.1000000000000005,101.70617074740696,0.9000000141440662,0.1490433122150637,3.511516110756363,8.014631316415482,3.828070572703658,9.355081462464067,0.8214138913018374,53756.52713220348,600.0,70.80040835570895,109.57321191922354,279.20227427366814,40.5555497380781,108.33647503820757,23.602939449602683,92.81339868980508,139.12481468301547,63.9157923029676,139.12481468301547,19.257711072752834,0.0246714566978156,885.5164614439199
3,10.0,100.0,0.1888888888888888,1071.9467916955418,30.0,4.464603730919482,1.5533141103524426,2.1000000000000005,101.34566792993024,0.9000000097098769,0.1737522195590585,3.9155634861448574,7.297344634317526,3.4616499463996773,8.38294079431976,0.1929103334542699,15382.63521967216,600.0,92.25337570788484,143.62159442431056,309.9393742720816,50.15919932352665,146.89545929548854,30.213185630766542,127.87240396853188,173.26344621372502,73.98468283679627,173.26344621372502,25.09291819254467,0.0249328364981638,1025.0151361050828
4,10.0,110.0,0.1797979797979798,1297.055608207523,30.0,4.8729193703171605,1.6032234265652985,2.1000000000000005,111.66303344516258,0.9000000029486601,0.1651316885026887,3.909153486523401,6.905603710705308,3.154238901994406,7.865719920964601,0.0006061340423002,10.501632220617118,600.0,116.3661031840546,180.9049684268778,342.07473336748853,60.95042542562804,187.8265337173609,38.255475923289566,164.89979572632183,196.7989557752424,85.35920111869234,196.7989557752424,31.651580066062852,0.0252539415607117,1182.602530654929
5,10.0,120.0,0.1722222222222222,1303.291789779101,29.99999999999999,4.792004588640329,1.5871618236286222,2.1000000000000005,158.73015873015717,0.7598860164612998,0.078134942978633,3.0000000000000284,6.830993824579179,2.8995202529796615,7.76826629931235,3.858515089660841e-07,3.551270416519479e-05,600.0,118.60149412157205,182.74984759827143,340.69452992437454,61.251877388541374,190.79094832286577,39.79027876880402,167.77125545946706,201.76765019558673,81.61411532145262,201.76765019558673,32.259606401067586,0.025003959478173,1130.7165255928965
6,10.0,130.0,0.1658119658119658,1306.9394184168934,30.0,4.726387727989054,1.5741195115844169,2.099999999999999,171.95767184674136,0.6492889884815587,0.0650276605984698,3.0000000019353137,6.773713000265708,2.6887056474139945,7.693672571528721,3.1836210645508345e-07,3.3209747007784575e-05,600.0,121.5565025742723,184.50727093400113,339.4531460944728,61.42826160401051,192.94283923243088,41.91185778354927,169.87198327796872,205.69907886423513,79.71541659552746,205.69907886423513,33.06336870020207,0.0247731599275403,1104.411149150722
7,10.0,140.0,0.1603174603174603,1314.143989383655,30.0,4.673436545915317,1.5635288382207853,2.099999999999937,185.1851851852001,0.56293229822417,0.0560494305582748,2.9999999999998477,6.717711759642008,2.5026228153923635,7.6209330312842924,2.063298097709776e-06,3.0779514563525854e-05,600.0,126.17580107934867,187.32113956018796,338.8758202552337,61.776776417738176,195.62375350467357,45.01188631111387,172.43872685785738,209.64449144373265,79.68650176438894,209.64449144373265,34.319817893582844,0.0245735932145883,1104.0105508316735
8,10.0,150.0,0.1555555555555555,1324.5670766128865,30.0,4.642161446333828,1.5572448508060126,2.099999999999992,198.41269841269775,0.494265984530143,0.0496663008669024,3.000000000000021,6.670984252265804,2.3382767325887968,7.560380466675417,3.3723043912914363e-08,2.9215903398181397e-05,600.0,132.18363683881597,190.97406977511903,339.1334825539246,62.28129261878887,198.55646880938096,49.005380069179544,175.19846817912173,213.01610695471305,81.05910772793243,213.01610695471305,35.953949220157945,0.0244009632821223,1123.0272152897487
9,10.0,160.0,0.1513888888888888,1338.030481665882,30.0,4.621065732032561,1.5529944302082874,2.0906208735157352,212.5798279283235,0.4388290071204488,0.0454513053921761,3.000139183958571,6.625619276684789,2.192706369589207,7.501716031483984,6.08741501650911e-10,2.7970950955760692e-05,600.0,139.65122038168198,195.526156836866,339.9248837120687,62.933509492298526,201.9479879223278,53.9228530911511,178.3632539608666,216.3607634548401,84.39243444167131,216.3607634548401,37.98513194381749,0.0242520826273023,1158.787901354892
10,10.0,170.0,0.1477124183006536,1354.4114979216454,29.999999999999982,4.61241658559466,1.5512490277764326,2.0059164217170387,235.4139893678672,0.3934794670909785,0.0456027411780213,3.0000091167987692,6.583869681384353,2.063714677937842,7.447833037313025,3.1275430956156924e-07,5.250965396987386e-05,600.0,148.49455354511028,200.9075645295556,341.2887460163466,63.727880185162576,205.7166322339571,59.74738663532642,181.85309621418153,219.50270755745996,95.59686223915855,219.50270755745996,40.39051856427,0.0241244172429002,1208.4235436496126
11,10.0,180.0,0.1444444444444444,1373.6782642441951,29.999999999999982,4.610986259014619,1.5509602896834624,1.9507107254017153,256.31026608099495,0.3559666419044682,0.0452207785499648,3.0000768915221316,6.542112515810141,1.9490710074533235,7.394041624281347,7.257616108091725e-07,6.066768411024667e-05,600.0,158.76725276053955,207.16041251088677,343.0950602221519,64.66332769689414,209.97472313789547,66.50826412648414,185.78178674747556,222.70807493011577,106.27185686345186,222.70807493011577,43.18469275086676,0.0240160547446828,1270.4391989659173
12,10.0,190.0,0.1415204678362573,1395.8769191473982,30.0,4.6169449302881045,1.5521630570946006,1.898106930515857,278.04856760228756,0.324645367168076,0.0453304232182276,3.000067442354115,6.50062729989394,1.8464876027360984,7.340700502185247,1.6728155038947534e-07,7.04405658857742e-05,600.0,170.4974934942769,214.2936256541643,345.35155370573,65.74263918104262,214.72957220146623,74.238493504831,190.1558194251163,225.9564460462612,118.69568606638563,225.9564460462612,46.37531823044332,0.0239255779407413,1343.4643840605395
13,10.0,200.0,0.1388888888888889,1421.0900549429005,30.0,4.6313426925135115,1.5550664009737678,1.860104915593862,298.66442809573175,0.2982846427536304,0.0452308849582828,3.000045278288303,6.460264524587083,1.7541626237611598,7.2888978493599,8.101987596376148e-07,3.042116305811923e-05,600.0,183.71601887389775,222.31703139165737,348.09205277940123,66.97046743627311,219.97397312979712,82.97432765445814,194.966383712964,229.17963236709065,131.23191087591292,229.17963236709065,49.97075713370018,0.0238518872723883,1426.4751363311825
14,10.0,210.0,0.1365079365079365,1449.1321862724888,28.670638737367543,4.751606296827599,1.5367844777352464,1.796826547496325,324.64443678764974,0.2886839138789646,0.0457848100451036,3.000018467168893,6.338487766077325,1.6706224145765438,7.133171897289246,4.415147181191515e-07,5.657798413445648e-05,600.0,196.5827680980346,231.3252800747697,352.89318142664655,68.33847850686575,228.62427754898192,90.72885158003646,203.15396952976687,239.29540885499125,146.45767823802984,239.29540885499125,53.47051292266541,0.0240525154911736,1485.5057213517518
15,10.0,220.0,0.1343434343434343,1478.8202404018548,26.65966909768696,4.9317375025412264,1.5042594779432448,1.7468093125138997,349.830896665656,0.2886727635574189,0.0453734954351683,3.0001141063912513,6.1642033947974,1.5946952999462105,6.911762225889547,1.1368924219823384e-06,4.238429088573476e-05,600.0,209.1545808402378,241.04963418738777,358.8330036487662,69.78953204733574,239.90451737040055,97.69775688206148,213.95704772114465,254.87202369683425,159.2839613893052,254.87202369683425,56.89004598854468,0.0244558302372202,1526.908166352587
16,10.0,230.0,0.1323671497584541,1510.1114241258792,24.64915648815498,5.143798946843398,1.4715980720297213,1.6941621538643012,377.1100810860731,0.291703606830802,0.0452124248971246,3.0000153157561873,5.989297896594798,1.525357747835283,6.691268229042085,5.251330009059529e-06,4.473857957175143e-05,600.0,221.9581956766631,251.22798147406016,365.6099657061229,71.32196995945588,252.1349664347886,104.64151638915958,225.6838871847266,271.9461200715267,173.48683486694625,271.9461200715267,60.372629224052375,0.0249559851345308,1564.3227017522104
