,success,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub_non_wing,Aero|Cruise|Cd0_wing,Aero|Cruise|f_total,Aero|Cruise|total_drag
10,True,110.0,319.99999999999994,0.4326388888888889,3177.6020684684704,20.131256612373743,7.9325804522084455,1.6895971863036408,1.5609587440083539,572.4531274895121,0.38825692278897056,0.04209512668703179,2.984264928233733,4.851001396321123,1.0957901640912733,5.296111852917135,1.2221335055073723e-12,6.662570400723308e-05,600.0,1221.539527318148,588.4191660866175,610.83574308726,156.8157944334285,655.0404357496751,225.2224798745262,599.9877186729403,434.09566471246274,315.9781285872383,434.09566471246274,207.66171964408517,0.2729121403446563,0.009153409031417752,0.60705734387344,2418.7431087154105
11,True,120.0,319.9999999999998,0.46388888888888913,3282.1299401748583,20.424951542813762,8.015928947736771,1.714699877340295,1.5585063138315012,571.1107805926608,0.39526223263185656,0.043206668942176785,2.9959861960053287,4.8446536892004195,1.0961821030567431,5.288517639391101,1.7124079931818414e-12,6.176443210012325e-05,600.0,1287.9966856519948,606.6512047847748,625.0990021083765,162.39090666477398,677.4746247582774,228.56241040659592,620.6143505560378,435.3432665293452,321.78894580174756,435.3432665293452,218.95943656083907,0.2729121403446563,0.009153409031417752,0.6162800343482957,2455.489750947814
12,True,130.0,319.99999999999994,0.4951388888888889,3389.171566710982,20.757001782877108,8.117751571719914,1.744032171318362,1.5608383939629416,571.2333432129045,0.40162386853245174,0.043575113673384035,2.9908679805568226,4.848701517710451,1.096076259757129,5.293360114600661,1.1830536550405668e-12,5.178961348160648e-05,600.0,1355.6783493313792,624.7520812758977,640.6252274504736,168.12310515331706,698.9853993551955,232.0162285204931,640.268467161839,434.54710883530987,325.6446846888952,434.54710883530987,230.46531938633447,0.2729121403446563,0.009153409031417752,0.6255322681162448,2492.3541046901823
13,True,140.0,319.9999999999997,0.5263888888888892,3497.3416480961355,21.127039953868746,8.235825197713426,1.7772965998338233,1.563355417307297,571.0434385339602,0.4071833297646546,0.04395740896035807,2.9870456763806437,4.862810798447012,1.0959976521102945,5.310245579297285,3.694822225952521e-13,4.0635482036447616e-05,600.0,1423.7423597908812,642.405601620909,657.2611293976929,173.9389318832699,719.2016701972133,235.42544140238002,658.6026193837434,431.78796564519837,329.3429033570701,431.78796564519837,242.03620116444978,0.2729121403446563,0.009153409031417752,0.634678228046608,2528.7950237852365
14,True,150.0,319.99999999999994,0.5576388888888889,3606.659167280844,21.53670847999946,8.368266298218323,1.8143361529219848,1.5661930784197595,570.5495623807253,0.41192329894138485,0.04433834037561297,2.9842146313407873,4.886090444590203,1.0959382479889967,5.338127331537659,0.0,3.003319175556713e-05,600.0,1492.1946951721432,659.6246374497384,675.0056236173482,179.83969129633056,738.1482615153135,238.79380317075876,675.6412770397401,427.2891728413737,332.82755461860813,427.2891728413737,253.67309817926431,0.2729121403446563,0.009153409031417752,0.6437240275113638,2564.836866189442
15,True,160.0,319.99999999999994,0.5888888888888889,3716.97786645338,21.987939165058243,8.517161127276347,1.8555110321298667,1.5695094465413828,569.7804846929959,0.4158110551428958,0.04469214276921602,2.981928514766881,4.919048587857221,1.095886866015477,5.377646856318704,4.618527782440651e-13,2.13292249967401e-05,600.0,1560.8155474735372,676.311623735098,694.0375810660616,185.81773253607486,755.6294271271933,242.10183478824928,691.1903971689686,421.03208003388113,335.99798527445563,421.03208003388113,265.33864307050135,0.2729121403446563,0.009153409031417752,0.6526109947911704,2600.245861867275
16,True,170.0,319.99999999999994,0.6201388888888889,3828.0553971330974,22.48429716794665,8.687017403943178,1.901571319812991,1.5734118452945285,568.7520624669172,0.41878342149943026,0.044998237596749556,2.9799112674939603,4.963133517502192,1.0958376636452478,5.430592774995864,1.6537882174816332e-12,1.5248128029417794e-05,600.0,1629.222758794634,692.2957520939597,714.6807449645625,191.86004616509052,771.2980889258147,245.31644420961337,704.9056255439837,412.8623413425231,338.75740052444905,412.8623413425231,276.96786899508777,0.2729121403446563,0.009153409031417752,0.6612466235354468,2634.6534309798863
17,True,180.0,319.99999999999983,0.6513888888888891,3940.004679145706,23.031346526653813,8.880295223017644,1.9530419714113414,1.577944363345323,567.4559674896185,0.4207925007157106,0.045252622461908795,2.97813841355075,5.018955932756715,1.0957916912723684,5.497774639206627,-0.0003849725219460254,8.588279682862996e-05,600.0,1697.2695848791466,707.5319846055999,737.239516461814,197.9728604963153,785.0247605146071,248.43259658857292,716.654453430685,402.8337775276861,341.07818817638275,402.8337775276861,288.5358294294549,0.2729121403446563,0.009153409031417752,0.669618070476465,2668.008401153486
18,True,190.0,319.9999999999999,0.682638888888889,4053.6414695246526,23.63282505143627,9.093796766669861,2.00967567584168,1.583091229018337,565.8666798322218,0.4219104455313275,0.04547197624535756,2.976793218224447,5.0848996442958505,1.0957549209564046,5.5773389022320865,-0.0013018651760141609,7.776805184637365e-05,600.0,1765.3878396342184,722.2574771570509,761.8038789925498,204.20109236044473,797.1920299492942,251.50357534241147,726.8056577846398,391.42240085671745,343.0413287889526,391.42240085671745,300.1159327378171,0.2729121403446563,0.009153409031417752,0.6778727508028648,2700.898129538505
19,True,200.0,319.99999999999983,0.7138888888888892,4170.060433409996,24.28545816649666,9.32224637470751,2.0707131881988383,1.5887862988658328,563.9591547951304,0.42236374411018424,0.0456821376406813,2.9761553394266427,5.158125703574971,1.0957349929724283,5.665946910894221,-0.0022974437260820935,8.425732693246672e-05,600.0,1834.2870681155716,736.8423727551585,788.3344751350169,210.6056965832393,808.4449028684644,254.60086882281087,735.9864995190824,379.2754604170192,344.7745331928616,379.2754604170192,311.8288015796472,0.2729121403446563,0.009153409031417752,0.6862083463886777,2734.1102545275176
20,True,210.0,319.9999999999996,0.7451388888888897,4290.232741444468,24.98131207172737,9.56732227402417,2.1360116993017573,1.5949788578070268,561.7295804535498,0.4224313991362527,0.04589566621184333,2.976367182617731,5.237400448401437,1.0957356115806969,5.76218140332795,-0.0031734540171068915,1.3798275926648445e-05,600.0,1904.3296029118485,751.5180043531593,817.147154259296,217.2416945232287,819.1530862899621,257.7519513205358,744.5501002392328,366.71265135044996,346.33678043001925,366.71265135044996,323.73603249501423,0.2729121403446563,0.009153409031417752,0.6947016361983822,2767.950692181174
21,True,220.0,319.9999999999991,0.7763888888888908,4414.7864880685665,25.71447391647302,9.840598088662379,2.206851281186342,1.601671145102701,559.1835106063303,0.42230151983958913,0.04610691203898424,2.9774263282488875,5.324839852446538,1.0957569599529249,5.868700422068436,-0.0034041604782864,1.9628780628942952e-05,600.0,1975.2326572934187,766.2277608040044,849.1846302864484,224.1458701226676,829.0928197662432,260.9249848070447,752.2596436286598,353.52152708021043,347.68338709814293,353.52152708021043,335.7895517398812,0.2729121403446563,0.009153409031417752,0.7032674032291907,2802.0799061437738
