Unnamed: 0,mission_range,cruise_speed,endurance,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
1,10.0,80.0,0.5472222222222223,1303.7517228183435,2.925638319706683,668.5081854193379,0.0457338108892298,0.1084923443073065,8.564457956044794,11.93543854148584,10.123528646144766,0.0253067482881841,600.0,229.0372192692151,266.38975853824974,147.2097105847871,61.27411537494527,152.22816546120768,109.24181929896857,128.7843170488619,118.80532696535232,118.80282851899342,118.80532696535232,62.2981236412265,0.0233126154330451,156.10693205646686
2,10.0,90.0,0.5333333333333333,1260.6126657850675,2.208764684949834,935.584688426456,0.0694949474660655,0.1155179165488092,6.834331181434197,11.999999972361456,7.772618372641283,4.671848665455176e-08,600.0,227.39453595068275,225.69581972644124,148.33108558575074,59.19144066678939,184.45296727931256,105.05818870904577,162.18635797458913,201.5417644694814,201.536170102708,201.5417644694814,61.851313778585705,0.0298054875035796,143.97599615742
3,10.0,100.0,0.5222222222222223,1252.482600416377,2.2041662493275607,961.5707400259662,0.0659147186605085,0.1251407658902935,6.841194032648796,11.999999999879035,7.781569945065301,4.51728096453049e-07,600.0,221.60943727917785,224.0410134644639,148.03317524097892,58.79964653896238,183.079531795042,104.384241611348,160.95500127331522,201.07834178574063,201.07970396060287,201.07834178574063,60.27776693993637,0.0295852620094349,175.7009297626858
4,10.0,110.0,0.5131313131313131,1245.9258213265646,2.2004016749812005,977.5642717784808,0.0638799075908167,0.1356281274759981,6.846653703176877,11.999999999969289,7.788693281491124,4.458650812354028e-07,600.0,216.93855443478392,222.71137094352673,147.79272809794688,58.483835581601255,181.97587834016633,103.84257616114796,159.9659630052906,200.71070792719496,200.7213240268771,200.71070792719496,59.00728680626122,0.0293915923855248,210.48558744600248
5,10.0,120.0,0.5055555555555555,1240.526378616607,2.1976389300299353,985.5547591477408,0.0628949542637008,0.1469340454425834,6.852118220401976,12.0000050354132,7.795824721833405,4.088340744785321e-07,600.0,213.08069571057385,221.6296853284327,147.59275752214975,58.22387945679128,181.04275768666355,103.39872116542848,159.127022846258,200.34366484842167,200.3662929491384,200.34366484842167,57.957949233276075,0.0292135909719133,248.35337124528917
6,10.0,130.0,0.4991452991452991,1236.0065780423618,2.1946403249033595,987.429761205882,0.0627747139418997,0.1590812332398398,6.854864135741036,12.00000207633957,7.799408937327971,2.0877156266249397e-06,600.0,209.86456833795387,220.7086030910493,147.4285005207849,58.006350985520115,180.31087904395713,103.0298761645771,158.47439055629386,200.15957144389913,200.19744775700923,200.15957144389913,57.083162587923454,0.0290634610921306,289.1816224007256
7,10.0,140.0,0.4936507936507936,1232.1756640017927,2.1920242699295005,983.5569805669472,0.0633816160017478,0.1721816864724162,6.857011719223333,12.000000013540372,7.802212469977771,2.006549520128122e-06,600.0,207.1354042075968,219.9301693296404,147.28947457941774,57.82203241241251,179.69572088486328,102.72034202569088,157.92644313944237,200.0157524752502,200.072654265841,200.0157524752502,56.340829944466336,0.028927722101384,333.02049989543036
8,10.0,150.0,0.4888888888888889,1228.893135425829,2.1898172059170924,974.2375780943116,0.0646956253350239,0.1864109764066369,6.858962737707268,12.000000407021105,7.804759638341121,1.005889811374384e-06,600.0,204.7909455542134,219.26899532150475,147.1700585457383,57.66413894495481,179.16603171933966,102.45868453232328,157.45432176909765,199.88521913807708,199.96549193841096,199.88521913807708,55.70313719074605,0.0288026170117158,379.87449790168034
9,10.0,160.0,0.4847222222222222,1228.6834969063543,2.0031275856969017,1082.2759850530847,0.0748643049785285,0.1956604532705491,6.343829792339358,11.999997548365409,7.139985459113122,1.5903646305416896e-05,600.0,207.97114476483685,214.90864431658724,148.15363940873357,57.65405635379718,193.68166188665404,102.44671632321264,172.08487383375885,238.83891601897636,238.9476278893135,238.83891601897636,56.56815137603562,0.0318363891709131,399.7522690455333
10,10.0,170.0,0.4810457516339869,1223.5837703624732,2.1858792128881928,939.6906031555416,0.0697616369103674,0.2193590131853621,6.861144716200997,12.000000000003505,7.807608607742976,4.321292292121594e-07,600.0,200.9917356691032,218.2054115874886,146.97844920139357,57.408831269857416,178.33522261573418,102.04782121611927,156.716842740941,199.7393709011673,199.8818726738333,199.7393709011673,54.669752101996075,0.0285855310371691,482.5100585196078
