,battery_energy_density,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub_non_wing,Aero|Cruise|Cd0_wing,Aero|Cruise|f_total,Aero|Cruise|total_drag
0,250,96.56064,241.4016,0.4888888888888889,2183.125128045509,29.999999999999996,6.674148957608993,1.9291725311898615,1.6418339973495482,408.42131465519543,0.3145340197594325,0.04524440642750955,3.0000000015967383,6.465418240066878,1.4533132986307362,7.295507045185561,3.525016722960572e-08,4.125427009656085e-05,600.0,654.5164077732459,339.09432809779184,484.54113985853655,104.979675264642,337.6618568179322,113.71065767219942,299.2424124223406,228.7645804838924,191.2505394029731,228.7645804838924,111.26778932145179,0.2729121403446563,0.009153409031417752,0.714283586398702,1619.6121648033356
1,275,96.56064,241.4016,0.4888888888888889,2059.135614446312,29.999999999999996,6.317844054574139,1.868548793808069,1.6278682996697331,411.92392510306996,0.29667021542711425,0.045252237271025376,3.00000939717145,6.450112165274126,1.4533136053061364,7.275882785657855,5.994285778854191e-08,7.83783189093232e-05,600.0,579.4273570622638,321.6330352282655,459.39980623233663,98.68426907649513,319.2402801198109,111.803027373871,283.0083544645962,230.00027651442227,191.28244265882714,230.00027651442227,108.35291577064334,0.2729121403446563,0.009153409031417752,0.7023007856023796,1592.4415979476862
2,300,96.56064,241.4016,0.4888888888888889,1962.2877824651678,29.999999999999993,6.03221772630104,1.8187050349493106,1.617706857592807,414.5126549590861,0.28271685219259957,0.045232714890628675,3.0000001588837115,6.433385526476197,1.4533133124675937,7.254452560917299,5.622347032385733e-11,3.365405056715458e-05,600.0,520.2390084714046,308.0851731693722,440.1739836260607,93.79541840945957,305.0163517155151,110.36466419301728,270.49426072986046,231.36116152657715,191.20109859879585,231.36116152657715,106.12875772816653,0.2729121403446563,0.009153409031417752,0.6932654380496014,1571.9542745815054
3,325,96.56064,241.4016,0.4888888888888889,1884.3915876840001,29.999999999999996,5.794641989654113,1.7763400342887454,1.6071066950794646,417.24587548804936,0.27149394840493646,0.045368626646501535,3.0000060845187075,6.4146222698074045,1.4533130561310506,7.230432087539716,2.2223186846304088e-08,3.9807522205131717e-05,600.0,472.34226575000537,297.2842348741302,424.8895364750203,89.88185990510914,293.765011940536,109.24992629255216,260.6194989275113,232.90094110781942,191.77484724799405,232.90094110781942,104.38764073075119,0.2729121403446563,0.009153409031417752,0.6862629919001341,1556.0764815270152
4,350,96.56064,241.4016,0.4888888888888889,1820.3033132395437,29.999999999999996,5.594248360213213,1.7399252297476335,1.602337989618375,418.4879462647673,0.26226042242811465,0.045267188900558857,3.000003872153308,6.395367863270778,1.4533133953919557,7.205803779791429,3.0175975496149476e-08,7.408130038921417e-05,600.0,432.7132178347283,288.4589428397998,412.4650099554956,86.674749658979,284.6283985779338,108.35985685613919,252.6162755561784,234.49569959066818,191.34634839699387,234.49569959066818,102.98574584466533,0.2729121403446563,0.009153409031417752,0.6806721015828383,1543.3993402033184
5,375,96.56064,241.4016,0.4888888888888889,1766.620361154202,29.999999999999993,5.423361970294728,1.708353757366209,1.5970994171702069,419.8606513380641,0.25452604454246763,0.04525853480719469,3.000003572191415,6.376541898381254,1.4533134005814932,7.181743951426543,2.1473089972801063e-08,2.226357122272064e-05,600.0,399.3374813083529,281.10484707660095,402.1853956226777,83.99735557546411,277.04991032877484,107.63192704025809,245.98765607666786,236.069517019012,191.3098054303329,236.069517019012,101.83105773362999,0.2729121403446563,0.009153409031417752,0.6760995479605874,1533.0312404571773
6,400,96.56064,241.4016,0.4888888888888889,1720.9557400682277,29.999999999999996,5.275958882679009,1.6807189259134285,1.592111686369965,421.17532287643684,0.24794690867597627,0.04528586514498136,3.000008260750116,6.358493445598319,1.453313499336102,7.158696752976606,1.4210854715202004e-14,3.7680495366433384e-05,600.0,370.8175921977703,274.8755614094568,393.54228375772163,81.72644114732988,270.65463773648503,107.02495792639856,240.4007041299311,237.59200060556768,191.42473362594285,237.59200060556768,100.8623850777935,0.2729121403446563,0.009153409031417752,0.6722868630271897,1524.3861154448177
7,425,96.56064,241.4016,0.4888888888888889,1681.6294170729657,29.999999999999996,5.147112678157614,1.6562452840179898,1.584320195860985,423.2447315946929,0.2422809638819041,0.045513809572588625,3.0000215818605462,6.341071001373499,1.4533122363059092,7.136466518415323,4.90124339336262e-07,4.609255115575208e-05,600.0,346.1597546638304,269.53558764551445,386.16522218677227,79.77564172636491,265.1964339633981,106.51259407544352,235.6389415873526,239.07451361956407,192.38655314185283,239.07451361956407,100.04016909784698,0.2729121403446563,0.009153409031417752,0.6690678221209821,1517.0870567656461
8,450,96.56064,241.4016,0.4888888888888889,1647.3940443798087,29.999999999999996,5.030051153167089,1.6337429788234545,1.5834562404864392,423.47339473858005,0.2373484983750912,0.04538101215091302,3.0000376276248493,6.322098312067845,1.4533140367392239,7.11227784520753,1.6404484171061995e-07,5.7769652386850625e-05,600.0,324.6717189047195,264.94824400970526,379.7005563910745,78.08112570930847,260.5771000484451,106.08475633885062,231.6267840252997,240.70345139366577,191.8231674169301,240.70345139366577,99.34954598484416,0.2729121403446563,0.009153409031417752,0.6663811489225281,1510.9951225844252
9,475,96.56064,241.4016,0.4888888888888889,1617.3224884107601,29.999999999999993,4.931926708238395,1.6146783523613706,1.5818358212406376,423.9124421840829,0.23301593527192468,0.04530679412591054,3.000000509500878,6.308010979004783,1.4533131724527137,7.094330813318095,2.2042989655801648e-10,1.9343130122964786e-05,600.0,305.6438193164056,260.8625510192908,374.2249076072373,76.59560855037716,256.391831560497,105.69728294338076,227.97393171665772,241.92284102362296,191.51419071234707,241.92284102362296,98.722953639199,0.2729121403446563,0.009153409031417752,0.6639468043201875,1505.4753343569616
