,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
0,10.0,221.40387244836137,0.13405521723453392,1152.7814590360538,2.7897675409801335,395.85726006337285,0.1400000492067644,0.529813534552087,8.664795826898954,12.000000606312879,10.266047127022212,9.905380342157151e-05,600.0,126.12292470024155,230.59028846958813,142.06456514912264,54.0136332948289,133.04196452700756,96.42510686483097,112.29068450326038,115.52959181370393,115.95143025842042,115.52959181370393,47.16997383789034,0.020992545974966956,978.9973489892125
1,20.0,223.41754223908433,0.17840737432007106,1165.6322069004434,2.694720998300486,426.59138542360364,0.14000016249702593,0.5137122972646849,8.378633521082476,12.000002372614116,9.861472439090917,4.041087194899245e-05,600.0,140.17136454787493,228.0242374930788,142.8144061208996,54.628555693202856,139.11960750729313,97.48111954576459,118.20062511961932,125.2034267687283,125.63625262514165,125.2034267687283,52.42409034090522,0.02175386244239383,963.8478317286568
2,30.0,224.9273402852867,0.22226529374011544,1180.96639699864,2.6260850288602913,452.09228837504725,0.14000000002036664,0.5008428815058045,8.153856929879195,12.000000000644038,9.547699497383155,9.056218227833594e-05,600.0,154.5091267473378,227.5015814062114,143.60212626418647,55.363078997366344,144.83531010595456,98.74839261693967,123.69119884034062,133.56795071557772,134.00915248844626,133.56795071557772,57.78641340350434,0.022394780762070375,955.121942004974
3,40.0,226.11031054277132,0.2657936921416956,1198.0662072079172,2.57484716729827,473.62645649584283,0.14000000002673418,0.4902109141742146,7.97054910973624,11.999999999515321,9.29436609594964,5.9646610745663066e-05,600.0,169.19765406521014,228.2766709217238,144.41645115409057,56.18315418871907,150.31162730613468,100.16556245240837,128.90241193856335,140.94841492659097,141.3961273301588,140.94841492659097,63.2799226203886,0.022944600442286377,950.6794104884111
4,50.0,227.0599934394438,0.30909500817310726,1216.6008550441666,2.5366758019573927,491.72192547386436,0.14000000035335028,0.48134018409354806,7.8189571783363805,12.000000005175423,9.086562862249393,3.608468822080237e-05,600.0,184.28416301853005,229.99817927327834,145.25132210649292,57.073197699071315,155.596306169184,101.70439342883307,133.8901049260991,147.46891168531232,147.92166110256835,147.46891168531232,68.92227696893022,0.023415188175206797,949.5520377484133
5,60.0,227.84058819223867,0.35223090567378007,1236.3819074621408,2.5086652089571744,506.81190996987425,0.13999999999646306,0.47388907525219315,7.692263361481926,11.999999999803496,8.914050997370712,4.497948783175201e-05,600.0,199.80989645659088,232.4502452779538,146.10406028814228,58.024412114325344,160.7305742615591,103.3487322519832,138.70034037575329,153.23201668485032,153.68862775433158,153.23201668485032,74.72890127476498,0.023816304039241218,951.1125443296694
6,70.0,228.50005587965163,0.395234547013665,1257.2959193806241,2.488512999009656,519.3713272678963,0.1400000000151784,0.4675599157339044,7.584837563398065,12.000000000192104,8.768592520037576,4.373193859823402e-05,600.0,215.81406609928536,235.48228902365707,146.9746005389372,59.03157673156757,165.76438306970755,105.08876698615809,143.38628651149094,158.35798560475536,158.81753908032948,158.35798560475536,80.71446072113271,0.024158873499135456,954.8586177636869
7,80.0,229.07178217002755,0.4381243959519995,1279.2794569267626,2.4745733718061733,529.7931456912446,0.13999999999766088,0.46212905241742985,7.492554997348877,11.99999999988165,8.644230728674962,2.958532272699566e-05,600.0,232.3333640105523,238.99597525584878,147.86369397934124,60.09186292018833,170.74008230562413,106.91895694205046,147.9922849216749,162.94725369728593,163.40902390319283,162.94725369728593,86.89267813994655,0.024451961458913894,960.4339561654498
8,90.0,229.57939482109208,0.4809101330869394,1302.293575447952,2.465625962975978,538.4077244074299,0.1399999999937451,0.4574239710964947,7.412310272855412,11.999999999673978,8.536532016992613,6.854761753194122e-05,600.0,249.40196904489045,242.92397458086617,148.77229547726887,61.203615693785665,175.69334357428014,108.83586760574725,152.55534365192307,167.08474455354343,167.54815418787513,167.08474455354343,93.27633642278903,0.024703201402944346,967.5722077943874
9,100.0,230.0401518764444,0.5235956093648448,1326.3455646478387,2.4607709813184493,545.4883145465018,0.14000000000317736,0.4533096144072526,7.34171566216012,11.999999999916252,8.442121145982574,7.604694890753734e-05,600.0,267.05843360420056,247.22597792953573,149.70245919670145,62.36741440757686,180.65880315740722,110.83996800320008,157.1104633198753,170.84276276145914,171.30734781731385,170.84276276145914,99.879854167971,0.02491896049499039,976.0892956018304
