,scenario,year,battery_energy_density,success,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub_non_wing,Aero|Cruise|Cd0_wing,Aero|Cruise|f_total,Aero|Cruise|total_drag
1,conservative,2030,176.05442728293585,True,96.56064,241.4016,0.4888888888888889,2989.418283209218,29.999999999999996,10.508350872646984,2.5,1.709870617346951,392.170017656321,0.43070080467716376,0.04521774623723858,3.000000043866418,7.068183460740541,1.4533133110990137,8.079237805275747,3.552713678800501e-15,2.1180936342105926e-05,600.0,1044.4885469354779,437.59240100126215,760.5057341479759,146.8362033996287,422.9401089846659,123.2574511950603,370.01241395037613,186.5344123452574,191.13783995857727,186.5344123452574,125.04304639533174,0.2729121403446563,0.009153409031417752,0.7742526236994534,1755.5897851397315
2,conservative,2031,180.75417127982496,True,96.56064,241.4016,0.4888888888888889,2919.181963768579,29.999999999999996,10.50835087264699,2.5,1.698191147035527,394.8672042154163,0.4205814983657799,0.045218448672180944,3.0000000427107674,7.141351418932322,1.4533133111551106,8.175854443604306,0.0,2.301582055806179e-05,600.0,997.6286203532198,425.9291831222645,752.4980958498105,143.13086192393098,408.7716445418976,121.58124208102159,357.04916029322857,182.15179026599168,191.14080933603628,182.15179026599168,122.62136347154733,0.2729121403446563,0.009153409031417752,0.7637233673486467,1731.7150776750402
3,conservative,2032,185.5044988742252,True,96.56064,241.4016,0.4888888888888889,2855.1373099234293,29.999999999999996,10.508350872646984,2.5,1.6876971040283482,397.32247697562104,0.41135425703213685,0.0452200608666131,3.0000000279298247,7.210181964563642,1.4533133107974725,8.267043730205488,3.552713678800501e-15,2.235665452196743e-05,600.0,954.873224376702,415.36471064463274,745.142562774993,139.76154040950868,395.9868591327877,120.08753475814937,345.3637603840836,178.15551716631842,191.14762605198607,178.15551716631842,120.45062970396266,0.2729121403446563,0.009153409031417752,0.754340511987896,1710.4397929390705
4,conservative,2033,190.30164614658935,True,96.56064,241.4016,0.4888888888888889,2796.4524403180562,29.999999999999996,10.508350872646986,2.4999999999999996,1.6782279966854854,399.56430275985446,0.4028992272681941,0.0452216410607354,3.0000000028288145,7.275114447519989,1.4533133099835993,8.353337253533795,-3.552713678800501e-15,1.9975230384836074e-05,600.0,915.6751374016612,405.7439623707828,738.355660751648,136.68214915973408,384.38604100191685,118.74792410022599,334.77068570828334,174.4936851213078,191.15430881619062,174.4936851213078,118.49305046846757,0.2729121403446563,0.009153409031417752,0.7459256282802623,1691.3593488720255
5,conservative,2034,195.14168483825276,True,96.56064,241.4016,0.4888888888888889,2742.442254599145,29.999999999999996,10.50835087264699,2.5,1.6696488759291805,401.61737483637705,0.39511770315677885,0.045222665385619205,3.0000000069381474,7.336525476640336,1.4533133100839628,8.435192317161816,0.0,8.257916760074053e-05,600.0,879.587961406108,396.94034257725156,732.0681749276424,133.85486299619342,373.8066831950824,117.53960782502543,325.11911423993394,171.12354508091173,191.1586381688738,171.12354508091173,116.71810819151771,0.2729121403446563,0.009153409031417752,0.7383354823681136,1674.1489678888531
6,conservative,2035,200.0205339618983,True,96.56064,241.4016,0.4888888888888889,2692.4406055516415,29.999999999999993,10.506477640304928,2.499749419881915,1.6619257046675724,403.4837164570194,0.3879137094564306,0.045219008586035364,3.0000001798732976,7.394216571692491,1.4533133158219547,8.512304218122365,3.3767832974263e-10,8.740688981478802e-05,600.0,846.2589514097032,388.84786212879504,726.0998427614419,131.24329841689504,364.12790718886913,116.445303559122,316.299856837769,168.03721437721757,191.14315864349547,168.03721437721757,115.10303378508338,0.2729121403446563,0.009153409031417752,0.7314615158514343,1658.5624977488962
7,conservative,2036,204.9339725385272,True,96.56064,241.4016,0.4888888888888889,2646.4412024172457,29.999999998511765,10.501997471295537,2.4991501650119092,1.6170865166386046,416.49349999131897,0.381286339844293,0.04694432913929843,2.986877520010851,7.447645390633986,1.4528045382334804,8.58390600263837,8.581257340267712e-07,7.17134878904781e-05,600.0,815.7116758373628,381.47585620814243,720.4163173052413,128.8458214481564,355.33931378437524,115.50138126691763,308.30267731308203,165.24557534079318,200.18364475871664,165.24557534079318,113.67358323927888,0.2729121403446563,0.009153409031417752,0.7252781890057368,1644.5420280517853
8,conservative,2037,209.8776533858552,True,96.56064,241.4016,0.4888888888888889,2598.8812455400084,29.941634564208606,10.442962799771273,2.488510876209596,1.6360644640492028,411.0678034034474,0.37516402027423157,0.045619356900474264,2.991197052569758,7.478410556206904,1.4530124451843889,8.62521742359112,-9.00974468009963e-06,5.145960038979618e-05,600.0,787.0270841042118,374.36821152774087,711.1066230205909,126.37215335274416,347.51786171768794,114.54341970239,301.31196906778507,163.6664426686218,193.97215641357502,163.6664426686218,112.32199034277477,0.2729121403446563,0.009153409031417752,0.7193657067434411,1631.1356886390624
9,conservative,2038,214.84711786979804,True,96.56064,241.4016,0.4888888888888889,2556.4979228665416,29.581023271773496,10.428396153309514,2.4696598241146472,1.586807198450617,422.5842379802988,0.3735446344528368,0.04832754790855741,3.000001293938878,7.482373624990182,1.4531239714369188,8.630543395280904,-1.14829603603539e-08,8.203871371909002e-05,600.0,760.1571475785131,368.3649925514479,703.8126578822589,124.17218237681504,341.6693753875323,113.46896094398936,296.2151750797533,163.46450546968316,204.28296826527557,163.46450546968316,111.05594915405179,0.2729121403446563,0.009153409031417752,0.7126724930152021,1615.9590689010392
10,conservative,2039,219.83781151831423,True,96.56064,241.4016,0.4888888888888889,2516.546833978219,29.133634879349803,10.417000939032445,2.4470427724111636,1.630966449511578,411.1409754869614,0.37335381696604314,0.04531597663107293,3.0000128085787727,7.473870329197553,1.4533135506546355,8.61911703494995,4.959786178204695e-06,1.1916285374347211e-05,600.0,734.9098797585377,362.89148445796224,696.6396779880854,122.10233977633169,336.71267002680435,112.38682523438935,291.9726955526637,163.89820242657748,191.55143503543297,163.89820242657748,109.86146614792698,0.2729121403446563,0.009153409031417752,0.7059679378932113,1600.7567329634055
11,conservative,2040,224.8451003855669,True,96.56064,241.4016,0.4888888888888889,2481.9436891450196,28.81610896976587,10.441079292158065,2.4349430134343626,1.628051741367045,411.843417649581,0.3722775419078975,0.04510509024411223,3.0002577472904894,7.486491289561095,1.4533223534877224,8.63607818591673,-0.0011703973927019717,2.3342015294132952e-05,600.0,711.2327204462531,357.79368205794,692.6094769123004,120.31264108602622,331.52295156019966,111.44547060156195,287.39245242041056,163.25504652919125,190.62888514614755,163.25504652919125,108.74369084984156,0.2729121403446563,0.009153409031417752,0.7000589744955314,1587.3583724487653
12,conservative,2041,229.86428804438393,True,96.56064,241.4016,0.4888888888888889,2437.924554429144,28.266877901575246,10.310908641721259,2.3918301149989993,1.6184426512998202,414.3242258821787,0.37278005674378656,0.04521667745762005,3.0000000061090777,7.42938315936476,1.4533133096464845,8.559411872590442,9.451522231529452e-09,6.308631917906969e-05,600.0,689.2863234387555,352.67016194454646,677.9359143217024,118.04009741380862,328.1462945353858,110.42592863718669,284.8238396187055,166.1926819935672,191.13332698089744,166.1926819935672,107.74077079726673,0.2729121403446563,0.009153409031417752,0.6936502747491943,1572.8268778611998
13,conservative,2042,234.89063307652265,True,96.56064,241.4016,0.4888888888888889,2404.365583153852,27.905816733556005,10.293666687996293,2.37226446341873,1.6119386121121402,415.995990454954,0.37240544007900717,0.04521935628321805,3.0000000022451068,7.4211934311585095,1.4533133098877944,8.54843428954126,8.705249854301655e-09,3.986133694078206e-05,600.0,668.3932668407363,348.08747556958696,671.580426999447,116.31072732760798,323.9863783982398,109.54666403130949,281.26385507759215,166.61979304490978,191.14465101312956,166.61979304490978,106.75953596276786,0.2729121403446563,0.009153409031417752,0.6881270961773313,1560.303270468131
14,conservative,2043,239.91936692347736,True,96.56064,241.4016,0.4888888888888889,2376.9906585169824,27.676137110398813,10.33521411365942,2.366586128589904,1.6083171322091985,416.91540137553045,0.3712207578685548,0.045107999993097295,3.0001244561554707,7.442452293577945,1.453317229174608,8.576938638369713,7.59844027697909e-08,4.191611510633018e-05,600.0,648.5787925185427,343.845601064215,669.6577175094027,114.90207315921839,319.382720204747,108.77711312058803,277.13742149014564,165.51415456191774,190.65812289172075,165.51415456191774,105.81249704470865,0.2729121403446563,0.009153409031417752,0.6832949365081185,1549.3465234119824
15,conservative,2044,244.94571195561613,True,96.56064,241.4016,0.4888888888888889,2342.882804878262,27.24533420126151,10.261091549878753,2.3361182743127604,1.6004299976570453,418.98736126552166,0.37167955888108795,0.04519764395849754,3.000000261236107,7.405882685289735,1.4533133068149076,8.527922994559852,1.5987211554602254e-14,5.879258952040468e-05,600.0,630.1584262796589,339.68754915061953,659.8949583529413,113.14953872763127,316.3542962315508,107.93613751008188,274.7307646155855,167.4222622287803,191.05283886148385,167.4222622287803,104.96113097153314,0.2729121403446563,0.009153409031417752,0.6780104294105849,1537.36409494361
16,conservative,2045,249.96489961443308,True,96.56064,241.4016,0.4888888888888889,2314.711647389026,26.943104388702725,10.245701916487944,2.3194188292247087,1.594800196283679,420.46642269316345,0.3713295529854785,0.04520618910303923,3.000000297773144,7.398718091247414,1.4533133150604283,8.518329906857332,3.285460792312733e-10,4.3436845860898884e-05,600.0,612.6557152969829,335.8371465146473,654.5211561628307,111.70422007810231,312.8530670910815,107.19836348835287,271.7330360175018,167.7995664260382,191.0889549862539,167.7995664260382,104.13684857324493,0.2729121403446563,0.009153409031417752,0.6733760402203358,1526.8557852863717
17,conservative,2046,254.9721884816858,True,96.56064,241.4016,0.4888888888888889,2287.934976187182,26.65682835152396,10.228341464105993,2.30318799084884,1.587250491922609,422.46199827706346,0.3709756919678327,0.045341465002254534,3.000031252187243,7.391056030694125,1.4533140553091775,8.508074312617985,1.716260022988081e-08,1.0440373707910315e-05,600.0,596.1381831630722,332.19105831631987,649.276682593898,110.3322832706057,309.5545435842559,106.50132296906318,268.91337476848753,168.2043399098101,191.65681827201226,168.2043399098101,103.3590868950375,0.2729121403446563,0.009153409031417752,0.6689978590518683,1516.9284180401014
18,conservative,2047,259.96288213020193,True,96.56064,241.4016,0.4888888888888889,2262.9725790819825,26.386825579992752,10.217316366519787,2.2885113759081355,1.5843755044388492,423.232999977448,0.3706827674768221,0.04522330760415712,3.0000000096884545,7.385288378061097,1.453313310130041,8.50035680441545,8.126832540256146e-12,9.825901482725586e-05,600.0,580.5189018965425,328.762070952718,644.6465917479883,109.05492705326202,306.41627831411694,105.84158715919517,266.22089297551577,168.5099053551882,191.1613525106635,168.5099053551882,102.62108947029789,0.2729121403446563,0.009153409031417752,0.6648533269619312,1507.5308416179364
