Unnamed: 0,success,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub,Aero|Cruise|f_total,Aero|Cruise|total_drag
1,True,10.0,80.0,0.2138888888888888,1645.0368024793152,3.08655540956657,638.0363546014033,0.0511387909734108,0.1077416083360869,8.12533131597859,12.00000000008176,9.508127497042077,5.7909928287013654e-05,600.0,465.8813234281542,342.5823366106124,158.6161715090381,77.96458078882095,202.4578123041364,137.10404986529355,173.01375091899814,134.68206072196224,134.68651662243207,134.68206072196224,79.19982498278621,0.7430318383620341,1.0389296516512911,258.717726662528
2,True,20.0,80.0,0.3388888888888889,1937.6468824304452,3.1033923141321567,643.1958576521635,0.0579949949475335,0.1063006592024167,7.614457310292555,12.000000003661548,8.808624385134252,8.129652276619e-05,600.0,675.9026495844984,400.7456322911659,168.45198967033144,92.5556273428876,254.4694655798128,161.48655851521414,219.9715639709291,156.92190200502898,156.92242542446093,156.92190200502898,114.90345042936472,0.7430318383620341,1.073052476259534,267.215106245368
3,True,30.0,80.0,0.4638888888888889,2368.200304099311,3.057252241532483,647.4706521268596,0.0742661015283171,0.1071953971085134,6.893048567184329,11.996010954976333,7.84929739284157,8.837285344486921e-09,600.0,988.5876051791478,482.0248616285362,183.13780011704884,114.45013118141476,343.5635598700957,197.42991093112244,301.7085715543241,197.62331423677023,197.61868549557576,197.62331423677023,168.05989288045512,0.7430318383620341,1.120288541544504,278.97798875390566
4,True,40.0,80.0,0.5888888888888889,3113.3498400193184,3.128296585214739,574.8089915218133,0.1129993391191045,0.1180067133118464,6.237691051367362,11.998588069621253,7.0049120456290765,0.0004947073741004,600.0,1515.115799189669,637.4229260265533,207.43331645409276,153.40004036721447,499.11895513594607,259.488706070759,444.4523813774344,248.13862585762865,248.12670586011012,248.13862585762865,257.5696858622437,0.7430318383620341,1.195766028025758,297.773644153282
5,True,50.0,80.0,0.7138888888888889,6512.900860774822,4.315504869006531,420.8989038071903,0.121732291265995,0.1168267212648491,5.981262472876088,11.396983407601248,6.681178967834766,6.046072107220032e-06,600.0,3753.583147800827,1514.0219831273373,301.2250946400135,344.07309408283135,1088.8839756338425,571.4678802894708,974.8131118968544,272.76807293733657,272.74655058786936,272.76807293733657,638.1091351261406,0.7430318383620341,1.4835589929285606,369.4408080568037
6,False,60.0,80.0,0.8388888888888889,6042.132069748599,4.162188294861956,324.05341002369556,0.2201832415492185,0.1573303480972395,5.988401177661358,12.222785277600568,6.690142134950666,36042.67067662267,600.0,3643.2041294346386,1383.3149016806085,288.8524337490525,316.6096782995329,1008.9724937413469,494.3426447693049,903.1395668237408,272.0376764797263,272.0166946897346,272.0376764797263,619.3447020038885,0.7430318383620341,1.447429900856588,360.4438210592864
7,False,70.0,80.0,0.9638888888888888,5288.756477150864,4.11652204893056,347.9524927173779,0.1747059195744948,0.1481490326265621,6.290727993324929,13.179889565435047,7.0723279139135915,104998.38976129424,600.0,3261.490983118289,1211.939004283989,266.05672173154755,273.30431827564036,840.7224859766225,401.2836352486221,747.8098500984581,243.4304872374607,243.41261141525348,243.4304872374607,554.4534671301091,0.7430318383620341,1.3875874447447218,345.54165306498925
8,False,80.0,80.0,1.0888888888888888,100.0,1.0,1500.0,0.0520565618161451,0.1387125316660867,10.1691086936952,10.174757250352105,12.49420789572722,465160.448022766,600.0,83.16098588445526,6.899027450280902,86.24274210136932,5.723965464744538,9.833703524282274,10.023695251110462,8.00370866521263,77.99778864711426,79.54129512267127,77.99778864711426,14.137367600357392,0.7430318383620341,0.7887783528678158,196.4242159901982
9,False,90.0,80.0,1.2138888888888888,100.0,1.0000000000000009,1103.4863909383805,0.096188695740828,0.1885558346779363,10.169108693695202,12.856892428335373,12.494207895727229,450756.3166009156,600.0,72.59308701613199,6.824087113550791,86.24274210136932,5.723965464744538,9.83370352428227,7.932606304365025,8.003708665212624,77.99778864711416,79.54129512267117,77.99778864711416,12.340824792742437,0.7430318383620341,0.7887783528678158,196.4242159901982
10,False,100.0,80.0,1.3388888888888888,100.00054404661894,1.0000000000057858,1007.7621246626426,0.1153305093420615,0.2064662229609062,10.169086648283727,13.386473647109508,12.494173908780375,454672.25359650335,600.0,75.50344893116085,6.824178016108206,86.24281945430555,5.723990244186319,9.833778342669191,7.618825008513543,8.003773981114733,77.99821299054369,79.54171179821923,77.99821299054369,12.835586318297343,0.7430318383620341,0.7887785187892423,196.4242573085052
11,False,110.0,80.0,1.4638888888888888,100.0,1.0000000000000082,1049.5598588428606,0.1063270033177173,0.1982438597914025,10.169108693695264,13.166955718314243,12.494207895727325,463995.7091393312,600.0,82.38151034992995,6.8240871135507915,86.24274210136932,5.723965464744538,9.833703524282214,7.745804581821261,8.003708665212564,77.99778864711298,79.54129512266996,77.99778864711298,14.004856759488094,0.7430318383620341,0.7887783528678158,196.4242159901982
