,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
0,10.0,319.9999999999999,0.12013888888888889,1322.5179142201878,2.3760634952779287,586.2675512609667,0.13999999999460305,0.6034213782582679,7.131861223882253,6.120756147078233,8.163304348155068,5.822558414122955e-05,600.0,253.29201134555962,257.1172625030655,149.9341941629545,62.18207677766567,185.43797652589078,218.19296987377047,162.00766966615438,182.7122935862859,184.48900726988188,182.7122935862859,94.7312122432393,0.025767720295014295,1820.9666085305603
1,20.0,319.9999999999999,0.15138888888888888,1341.6641221129275,2.3210146896844117,618.6681868105483,0.13999999999581997,0.5857036355642322,6.9448178196703605,6.231669273802993,7.917074177706621,4.988564355455892e-05,600.0,272.3688405974257,255.26221802728787,150.93048646931658,63.10963999585863,193.18924656494593,217.29246980706736,169.464639587547,194.25415551528675,196.0351916315286,194.25415551528675,101.86594638343719,0.026605596275067298,1794.0670715332653
2,30.0,319.9999999999999,0.18263888888888893,1363.9156748627336,2.2804366928393764,646.0301672521003,0.1399999999980494,0.5711312656790511,6.790065536225847,6.324392537261457,7.714947731503444,2.7901557016347597e-05,600.0,292.60391559558707,255.13386204467713,151.9940018973242,64.18917751758924,200.86929464613755,217.5608807425682,176.78871229331602,204.56614917334147,206.34993302920444,204.56614917334147,109.43386443274954,0.027327903518561132,1778.9029555969757
3,40.0,319.9999999999999,0.21388888888888893,1388.8369586333579,2.251402892928209,668.7051651447944,0.1399999999948315,0.5590852629127591,6.661477655531624,6.403063756239253,7.548076885937816,8.40881024519789e-05,600.0,313.970176692849,256.3624107589352,153.11336373209903,65.40017740598773,208.48782063842572,218.73403083965363,183.99878268606176,213.7111176041729,215.49564104599867,213.7111176041729,117.42484608312553,0.0279419890752408,1772.8568039367792
4,50.0,319.9999999999999,0.24513888888888893,1433.2827002324138,2.2866595379639145,677.4951677831905,0.13225934751822363,0.5433808006895949,6.660241882827818,6.366152391525584,7.546477919169588,5.457039560922786e-05,600.0,344.5706781189342,266.5252016547781,154.62924394759077,67.56496368889458,215.1997968614119,227.01872992596532,189.92736950724847,213.80169049940628,215.56410883305955,213.80169049940628,128.8694336164814,0.027775573609146557,1817.9249538492272
5,60.0,319.99999999999983,0.27638888888888896,1447.1687740863476,2.2274195850181133,697.1952075338876,0.13999999999725082,0.5423039224868837,6.481095010453556,6.523860409129902,7.315620537830683,6.612096204814897e-05,600.0,360.6449860932206,262.78116025720203,155.50814644562504,68.24261276999606,223.2907821521155,223.5806477136929,197.8190047724208,227.50838373015512,229.28494995139545,227.50838373015512,134.8812247988645,0.02877291878304511,1786.8902868297764
6,70.0,319.99999999999983,0.307638888888889,1499.0997311572617,2.2527692628504004,728.2698408356908,0.1270058417627195,0.5134181779222786,6.445205228109434,6.451305932762842,7.269594338760591,8.99346864680899e-05,600.0,397.0264209850156,273.9454836547505,157.35497328907314,70.7823366184528,232.59146576423154,234.16472358104843,206.2150460259171,230.39836477807125,232.15413889137,230.39836477807125,148.48788144839583,0.028788103859968744,1828.7586149623562
7,80.0,319.9999999999999,0.33888888888888896,1557.7532895755955,2.2776334253251895,763.1121527020371,0.11501072973343578,0.48473124858766503,6.398752884215811,6.3684795993689045,7.210132025268424,9.262165885298578e-05,600.0,438.16439271947206,286.4948647246153,159.44260049329816,73.6610556529052,243.44638990797714,246.43850154689403,216.0505916003116,234.21424834716345,235.9486045118948,234.21424834716345,163.87348287708252,0.028851598570231937,1873.4729917409709
8,90.0,319.9999999999999,0.37013888888888896,1624.969704871019,2.3026447206523284,801.5542572951902,0.10406829177212254,0.4565815306746905,6.341454889154661,6.274444280640357,7.13695615570238,4.794234531122875e-05,600.0,485.3262062637737,300.84468660761064,161.8326187515541,76.973117289192,256.2455671883891,260.8619049257009,227.68385701412487,239.0417109013734,240.75360856246292,239.0417109013734,181.51200114265137,0.02896260457372663,1922.2124476856402
9,100.0,319.9999999999993,0.4013888888888895,1685.1444200270403,2.2576860739353473,885.7208873456208,0.09559073537324128,0.42163615230877816,6.132392968151925,6.226357677720726,6.871534303197741,4.927626473950938e-05,600.0,531.4337095922361,309.3352844212669,164.43262717485032,79.94981854414648,274.7939391325211,272.47310368068725,245.23553920742862,257.8649459537864,259.5800686396866,257.8649459537864,198.7562073874963,0.030121033185655323,1921.7941772381073
