,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
0,10.0,118.85690715205756,0.17302367112082656,1437.4194805218267,30.0,5.630393424569494,1.746541012964137,2.1,157.21813115351523,0.8542873225906946,0.0809631364045361,3.0000000000000013,7.114034013390435,2.92421610478868,8.139744090528746,2.6642831940648648e-08,3.733447997766799e-05,600.0,195.81945517336771,197.45103104786577,376.3883282231483,67.76677627220272,202.05406353360624,40.10717251241304,176.59271158099202,183.77153541176799,82.96475968617978,183.77153541176799,33.28930737947251,0.022848810472645472,1149.4289247579275
1,20.0,122.82011904847785,0.25172865939998795,1479.9427204590681,30.0,5.811439903002633,1.7793636828448691,2.1000000000000005,162.4604749318486,0.8237115661356378,0.07600377183901447,3.0000000000000067,7.138972693300269,2.8352130154097326,8.172708232003238,5.110903877891815e-08,4.417973003370791e-05,600.0,220.84865823117863,203.24627823411902,386.00998055208316,69.84445022512244,207.30471792502502,41.465204961922765,181.08351337734163,182.29206161032906,83.1632894716506,182.29206161032906,37.54427189930036,0.02295791107076886,1152.1794405035205
2,30.0,126.01916571324053,0.3269479161027785,1524.0127472195252,30.0,5.9889099211647,1.8110455066477615,2.1000000000000005,166.692018139207,0.8057210029469225,0.07289197400656988,3.0,7.157386874147373,2.766372672801818,8.197072743893727,1.082974559807326e-06,6.56727616229375e-05,600.0,246.72860014040768,209.4011481614081,395.8873477955455,72.00375499541211,212.9286531547275,42.90792993760668,185.92158381842023,181.21000305742461,83.96734041891064,181.21000305742461,41.9438620238693,0.023069883166938553,1163.3191029247166
3,40.0,128.7272556456689,0.3996233933989741,1569.9886887836687,30.0,6.176563563038289,1.844039706314876,2.1,170.2741476794563,0.7954717990117761,0.0707853345157206,2.9999999999999996,7.177185535705381,2.71017866302533,8.223292387240773,7.558809056007476e-06,3.598967962926765e-05,600.0,273.42109290931927,215.81886458366876,406.4918123188823,74.26291811170594,218.7471232244477,44.379430505379844,190.9197210620477,180.05628339806273,85.08280428839186,180.05628339806273,46.48158579458427,0.02318555340579921,1178.7732118856043
4,50.0,131.31003712685148,0.46966709209431273,1618.1595415370753,30.0,6.345686120037263,1.8733470234769873,2.1000000000000005,173.6905253000681,0.7879429525516228,0.06920156856889231,3.0,7.181267488267517,2.6583050383034807,8.228701176570537,2.627202958294106e-06,4.4535146836902534e-05,600.0,301.7855913238712,222.80794158009817,416.93576063885854,76.63692146012635,225.33063197837473,46.02590208380641,196.6482324263321,179.81965639899695,86.55043849740368,179.81965639899695,51.30355052505809,0.023305540971941353,1199.1064379105264
5,60.0,133.68577265818195,0.5377025420321638,1668.8263837409327,30.0,6.527062022750577,1.9043476350913744,2.0999999999999996,176.8330326166428,0.7839891668013402,0.06802466506755349,3.0000000000000004,7.187461936577212,2.612085304280178,8.236911090196218,1.5773788053508042e-06,5.465966804194715e-05,600.0,331.3125668548145,230.1283640685691,428.25131419076286,79.1415318444917,232.1857699514518,47.724872192179554,202.60342323315987,179.46137449002993,88.18491055773332,179.46137449002993,56.32313636531846,0.023430467959372803,1221.751106200507
6,70.0,135.8761102475724,0.6040640721676627,1722.3054191997778,29.999999999999996,6.711271838271241,1.9353948035086284,2.0999999999999996,179.73030456028098,0.7832370841499992,0.06723610858163251,3.0000000000000004,7.189949526098882,2.5706386430606636,8.24020872397167,4.61389587869121e-07,2.870598740663629e-05,600.0,362.41816781051466,237.91620364931987,440.18293196220066,81.79347357462257,239.5434645191821,49.51571862243452,209.01235355718632,179.3177666047251,90.04223513683549,179.3177666047251,61.61108852778749,0.023560965024285736,1247.4832676864096
7,80.0,138.04833748185513,0.6683960489118416,1778.9247523903935,29.999999999999996,6.8966813536735625,1.9662169314276872,2.0999999999999996,182.6036210077453,0.7837264459687405,0.06662373251785247,2.999999999999994,7.18763349550931,2.5306865137960344,8.237138502326667,1.0015799745133336e-08,2.6393817143377095e-05,600.0,395.3503699848184,246.24908487684365,452.7201411103724,84.61029390968682,247.49797739434408,51.445608393868106,215.9639238660267,179.4514654348096,92.09770480741217,179.4514654348096,67.20956289741913,0.02369766140301374,1275.9606152043227
8,90.0,140.12367002079313,0.731178660393195,1839.0672172242976,29.999999999999996,7.081671878096069,1.996559301663727,2.1000000000000005,185.34876986877384,0.7864006813611785,0.0662773025877093,3.0000000000000013,7.179492539826921,2.493479667209011,8.226349155744689,2.331430586366423e-07,3.21555899594287e-05,600.0,430.40649274316013,255.20223495430977,465.85162951682344,87.61253059991702,256.15559971995356,53.51522275237975,223.5581279625149,179.92249668226648,94.39420161399578,179.92249668226648,73.16910376633722,0.02384128472918711,1307.7772547641332
9,100.0,142.4105516232543,0.7910840483076166,1903.1714548519417,30.0,7.270454083457468,2.027117807603036,2.1000000000000005,188.3737455334059,0.7878850560460243,0.0658416215802363,2.999999999999988,7.167444691873827,2.4537750890219643,8.210389435593518,9.942503389481772e-07,1.7305544608442132e-05,600.0,467.7222596142758,264.83643630623874,479.7930863017778,90.8238326229917,265.5299812790581,55.80144423138841,231.8003877625281,180.62265922767136,96.85952643887566,180.62265922767136,79.51278413442688,0.023992655870729095,1341.9329092053617
