,battery_energy_density,success,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub_non_wing,Aero|Cruise|Cd0_wing,Aero|Cruise|f_total,Aero|Cruise|total_drag
0,250,True,60.0,200.0,0.3888888888888889,1889.998779133671,29.999999935223236,9.52456198784444,2.365109926296439,1.663771251085806,333.9054233670633,0.3967078721683239,0.047379900413697114,3.0000718842317307,8.200608843187151,1.754051072195273,9.612675788292995,-0.00037467450686889947,8.325167325141303e-05,600.0,368.5144718174617,254.33205814103925,576.998367580905,90.16300582975353,230.47054374552104,69.54006091421792,196.61526309203592,131.76836473684313,137.46457959223986,131.76836473684313,62.64746020896848,0.2794887799647769,0.009447981251428,0.7680824640824904,1195.4403546532933
1,260,True,60.0,200.0,0.3888888888888889,1850.922229493069,29.999999999999996,9.329877159321903,2.3376776694749575,1.6967185682543473,327.4294045877763,0.38850576293089095,0.04522149597341186,3.0000000269946563,8.192180775971218,1.7541607926383187,9.600951338563071,3.4586911112910457e-10,9.069593552552352e-05,600.0,350.4407992891572,249.36381421008355,562.9216045103216,88.20553492487647,225.93766911517335,69.02586876099615,192.78529431335372,132.09038592373875,131.20862802888703,132.09038592373875,61.95793331432299,0.2794887799647769,0.009447981251428,0.762450809679397,1186.6752711476302
2,270,True,60.0,200.0,0.3888888888888889,1827.701470737242,29.999999999999996,9.351628204585865,2.3407645095414433,1.6784349660207891,330.9669074324375,0.3836317609590537,0.045900058692260416,3.0002653012955256,8.244997782879254,1.754160020041391,9.67450646858046,5.197043302374027e-06,1.7198067137611e-06,600.0,333.868227279844,245.701219417235,561.0863380950271,87.04437453112281,221.67397965011781,68.54771754577345,188.9193497025405,130.0894589466552,133.15390536434776,130.0894589466552,61.298206528579364,0.2794887799647769,0.009447981251428,0.7571688797762527,1178.4544974000985
3,280,True,60.0,200.0,0.3888888888888889,1796.8223295326745,29.999999999999996,9.206903988120867,2.3201672635665673,1.67702514605537,331.2267445040464,0.37715027615046887,0.04570880692184854,3.0004319324511415,8.242787610328923,1.754172358428113,9.671424652426637,2.8398124772621713e-05,8.879939430123933e-07,600.0,319.0267558255506,241.73245341491537,550.5595430690408,85.50263488886245,217.9872167616088,68.1394246247604,185.78672678609323,130.1723786169317,132.5843654349402,130.1723786169317,60.74269430918483,0.2794887799647769,0.009447981251428,0.7526642250601175,1171.4434715229747
4,290,True,60.0,200.0,0.3888888888888889,1776.2710760991654,29.999999999999996,9.20300242914273,2.3196049411547546,1.6802219171447854,330.6441348372168,0.37283659928866025,0.04526418533639207,3.000000180504127,8.281071825777964,1.7541607518552897,9.724854876065937,1.2226043466512238e-07,7.397499191004043e-06,600.0,305.31540926004436,238.62275328640104,547.8521286786943,84.47806503962067,214.49772607572982,67.7540555492614,182.65270780243588,128.74592383629982,131.33247631888958,128.74592383629982,60.20819870608075,0.2794887799647769,0.009447981251428,0.748402508202092,1164.8105531184701
5,300,True,60.0,200.0,0.3888888888888889,1755.4032790754593,29.999999999999996,9.164826826758665,2.314142761848239,1.6760382924450272,331.46940323929766,0.36845648040835355,0.04525846449900901,3.00000077194419,8.305822848490422,1.7541607875388934,9.75945173818462,8.20161933035024e-07,4.116220961830158e-05,600.0,292.7918872316325,235.64371798172198,543.5351260751975,83.43896356508458,211.34610153580422,67.40852208162997,179.86699726249034,127.83474355563534,131.3158257291011,127.83474355563534,59.72954499525302,0.2794887799647769,0.009447981251428,0.744585805489527,1158.8702528803112
6,310,True,60.0,200.0,0.3888888888888889,1733.8972789002767,29.999999999999996,9.088694138562602,2.3032237225211882,1.667724026254028,333.113720591868,0.3639424036564959,0.045503929229170494,3.000074523199171,8.315833159039919,1.7541618382696462,9.773456140685207,5.097336451242995e-05,4.796456503743356e-05,600.0,281.32315678425954,232.7592977801147,537.4384899600543,82.36940873038817,208.5055394618402,67.10003918923486,177.40881566781297,127.46865676894593,132.02154166927258,127.46865676894593,59.302921450121914,0.2794887799647769,0.009447981251428,0.7411787873697031,1153.5675840394886
7,320,True,60.0,200.0,0.3888888888888889,1715.5243361843911,29.999999999999996,9.04426021061767,2.2968276912501144,1.6640576979127422,333.8301319175353,0.36008595090371026,0.045514063220612445,3.000231973547811,8.33362708329391,1.7541680356223406,9.7983669489031,6.760311916842454e-05,3.536200032608249e-05,600.0,270.6964600566923,230.19474557483989,533.1823349861373,81.45674216241375,205.85566393094723,66.81296642938601,175.08267909648345,126.82134260559882,132.03708409683608,126.82134260559882,58.90354970833624,0.2794887799647769,0.009447981251428,0.7380104242801243,1148.636356895798
8,330,True,60.0,200.0,0.3888888888888889,1699.7854060949915,29.999999999999996,9.024777160492924,2.2940141378447065,1.664962798880664,333.6606926290723,0.35678237339804014,0.04528006977563462,3.0001237454528327,8.35731808218556,1.7541657190832234,9.831567559403693,5.021062449550584e-05,2.80261752166042e-05,600.0,260.83287344854523,227.9094924297917,530.3726251455201,80.67570904650421,203.38886104122923,66.54668833196311,172.89057882424675,125.96625279541199,131.36774261834205,125.96625279541199,58.530896801853544,0.2794887799647769,0.009447981251428,0.7350681680199876,1144.0570414816643
9,340,True,60.0,200.0,0.3888888888888889,1685.3133708441992,29.999999999999996,9.009203074624983,2.291760369816959,1.6628580822435817,334.0918947028106,0.3537447151935613,0.04522456665722297,3.0000440011247007,8.38042653278086,1.7541625740165134,9.863989421433827,2.1146953031347948e-05,4.893036197916136e-05,600.0,251.6688915853698,225.79996760035462,527.893315295419,79.95819138714282,201.1011449419586,66.30082670362036,170.85514783522774,125.1395389045589,131.21369081312847,125.1395389045589,58.185847734537504,0.2794887799647769,0.009447981251428,0.7323510916333282,1139.8281950866772
