,battery_energy_density,success,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub,Aero|Cruise|f_total,Aero|Cruise|total_drag
0,250,True,60.0,200.0,0.3888888888888889,2098.9131856689537,3.132206847942759,486.8315805064269,0.10596683447202453,0.34692937792823947,7.416426328074458,11.999999999059359,8.542046374207574,5.4129818887732976e-05,600.0,789.2605163172811,435.25960206609096,173.70090617157075,100.69951841099328,283.00870160654574,175.40495264563035,245.71549880676747,166.86908953819955,167.32582514243362,166.86908953819955,134.1742877739378,0.6474826308414224,0.995569515986606,1549.5002567136032
1,260,True,60.0,200.0,0.3888888888888889,2002.7984090132509,3.088102112236509,479.6466831920768,0.11026915506435499,0.3570800252067831,7.475628149112298,11.999999999286775,8.621478740501667,3.486653721615925e-05,600.0,723.1965836998096,413.0552874641467,170.7151471841848,95.8372954544554,267.9103841261922,167.4080022523137,232.30335181418218,163.8084205482282,164.29142708118206,163.8084205482282,127.86115599812632,0.6474826308414224,0.9848601719164902,1532.8322781150077
2,270,True,60.0,200.0,0.3888888888888889,1921.9218490675796,3.0498304688714666,472.3223382175904,0.11472787131829494,0.36709443562431576,7.528003093914747,11.99999999814607,8.691936901104613,7.977268829881707e-05,600.0,667.5282545022226,394.4563286032607,168.18089016610406,91.76530735175253,255.30300998695964,160.6798319161048,221.11548564317496,161.16347247957185,161.67094023499922,161.16347247957185,122.55818752660807,0.6474826308414224,0.9757153164204229,1518.5992630304481
3,280,True,60.0,200.0,0.3888888888888889,1852.8962579486374,3.01628022370591,464.92016913546684,0.1193445582599447,0.3770160622636345,7.574751668711611,11.99999999722731,8.75497403859624,9.208873381025379e-05,600.0,619.9535608129704,378.6473512409222,166.00062494620337,88.30431723604286,244.614785934467,154.9383077636106,211.63926355237123,158.8510247811624,159.38132317269896,158.8510247811624,118.03915797878955,0.6474826308414224,0.9678085489732098,1506.2932030391576
4,290,True,60.0,200.0,0.3888888888888889,1793.266738656492,2.9865954763540747,457.4829756131401,0.12412584371384164,0.38688404345450056,7.616775966567206,11.999999997694603,8.811760493223174,5.902880610250475e-05,600.0,578.8061942382586,365.0397118137412,164.10322951781967,85.32528610730908,235.4364558610875,149.97896972721426,203.50833866122807,156.81022478160898,157.36188636307395,156.81022478160898,114.14058150378462,0.6474826308414224,0.960898709317154,1495.5387573184107
5,300,True,60.0,200.0,0.3888888888888889,1741.1893342715066,2.9599327460541605,450.0655520183371,0.1290962719612357,0.3967351914706199,7.654424778646318,11.999999907755315,8.862731090810117,6.824654346306056e-05,600.0,542.8477641585172,353.1823164342209,162.43560265463452,82.73191217075312,227.47487690112692,145.64825657231498,196.461938925008,155.01174364116235,155.5835201755746,155.01174364116235,110.74094388833748,0.6474826308414224,0.9548011102048299,1486.048479403945
6,310,True,60.0,200.0,0.3888888888888889,1695.3512568846666,2.9363540274901605,442.59657809683733,0.1342228948634185,0.4066041627183072,7.689424026533127,11.999999997192283,8.910196827369152,6.343840907831443e-05,600.0,511.14743595246887,342.79906014799167,160.95692585926622,80.45579974816937,220.47831554544106,141.83683612682788,190.2709098049454,153.36460858685598,153.9551411194818,153.36460858685598,107.74987949878043,0.6474826308414224,0.9493835754312763,1477.616650799734
7,320,True,60.0,200.0,0.3888888888888889,1654.5773822994013,2.914011832496027,435.3040687025967,0.13964320120764215,0.4165215905970021,7.719235476485049,12.000000000352996,8.950689615844082,3.384174729090924e-05,600.0,482.98507727015476,333.523594916008,159.63814577373023,78.436381705518,214.3447220051399,138.4468754054901,184.85473782607184,151.98010893752306,152.588755134185,151.98010893752306,105.09755281398569,0.6474826308414224,0.9445234033470415,1470.0522991685666
8,330,True,60.0,200.0,0.3888888888888889,1622.8177310155577,2.9490923757733043,420.40064056609964,0.1400000000592655,0.42610309043888894,7.862907526301833,11.999999999694545,9.14665360921925,6.350202203115922e-05,600.0,457.87554745845915,329.6954226137884,158.387863680364,76.86686607854392,206.3890139350041,135.80662158394878,177.42201687618953,145.53762431130423,146.13901839653923,145.53762431130423,102.74727284967823,0.6474826308414224,0.9407100015926552,1464.1171365279968
9,340,True,60.0,200.0,0.3888888888888889,1595.2679596916494,2.988908388721401,405.80900367324125,0.14000019204028122,0.4354937443553949,8.010834674172838,12.000009780475818,9.349847139705922,8.256510938290264e-05,600.0,435.4551803166041,327.03928107325567,157.27471356612617,75.50787127017239,199.13879446730306,133.5164314238105,170.61968349375869,139.28063071158192,139.8723447900783,139.28063071158192,100.67723768919888,0.6474826308414224,0.9373818898126776,1458.937277186546
10,350,True,60.0,200.0,0.3888888888888889,1571.0548064091759,3.0292670314305883,392.0793507437042,0.14000000011718,0.4446912273691355,8.15467850729232,11.999999999787754,9.548840046613355,4.406889293634069e-05,600.0,415.3286086299832,325.1190926169982,156.2850841299064,74.31538259173806,192.65686623994557,131.5039736090915,164.5283404832375,133.53604490826604,134.11759357720055,133.53604490826604,98.84820885393599,0.6474826308414224,0.934441003375964,1454.3600937598949
11,360,True,60.0,200.0,0.3888888888888889,1549.605739207213,3.0701036282582157,379.12218341282454,0.14000000012501235,0.45372779011252307,8.29499500073419,12.000000000274966,9.74431141239072,7.96450827237557e-05,600.0,397.13521545933827,323.8205567598827,155.3983590617254,73.26053233564336,186.81213660406758,129.72128299562777,159.02670528743138,128.23230131084003,128.80335003102667,128.23230131084003,97.21870074444601,0.6474826308414224,0.9318231951026841,1450.285747843975
