,opt_scenario,test_scenario,year_opt,year_test,battery_energy_density_opt,battery_energy_density_test,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub_non_wing,Aero|Cruise|Cd0_wing,Aero|Cruise|f_total,Aero|Cruise|total_drag
1,conservative,conservative,2043,2030,239.91936692347736,176.05442728293585,96.56064,241.40159999999997,0.48888888888888893,3001.430145310357,27.676137110398813,10.33521411365942,2.366586128589904,1.6083171322091985,416.9154013755305,0.46874108202292586,0.05127080538525002,3.0001244561554703,6.726831147711489,1.4526481302190422,7.632765510835525,7.59844027697909e-08,1.845000550402871e-07,600.0,1064.4192873672591,447.871109690004,741.6692179128212,147.4709598749688,446.1878229738921,123.69555380858519,393.229706984907,208.99500433360595,216.70647147721826,208.99500433360595,127.42909505792038,0.2729121403446563,0.0091534090314177,0.7766489694908996,1761.0234124395965
2,conservative,conservative,2043,2031,239.91936692347736,180.75417127982496,96.56064,241.40159999999997,0.48888888888888893,2924.6687661415494,27.676137110398813,10.33521411365942,2.366586128589904,1.6083171322091985,416.9154013755305,0.4567530595845631,0.05043607738330192,3.0001244561554703,6.803380186004699,1.4528102450774116,7.732282220664827,7.59844027697909e-08,6.7907171501956806e-09,600.0,1013.451367813598,434.7048317113141,733.0927144385065,143.4199345839384,429.8846582406072,121.66811729563537,378.2413371210452,203.64997080113983,213.17832405323722,203.64997080113983,124.56618224265534,0.2729121403446563,0.0091534090314177,0.7640045290993956,1732.352601762758
3,conservative,conservative,2043,2032,239.91936692347736,185.5044988742252,96.56064,241.40159999999997,0.48888888888888893,2855.3430708018086,27.676137110398813,10.33521411365942,2.366586128589904,1.6083171322091985,416.9154013755305,0.4459262870553688,0.04970079141252321,3.0001244561554703,6.874908609390613,1.4529366092727225,7.825586428765878,7.59844027697909e-08,0.00016274296779622674,600.0,967.3926627440778,422.9033093262203,725.2875049886467,139.77235081806919,415.3281495119255,119.8839425201082,364.87272829879225,198.8226973693068,210.07048856953728,198.8226973693068,122.0298699595209,0.2729121403446563,0.0091534090314177,0.7528664342870468,1707.0973751352435
4,conservative,conservative,2043,2033,239.91936692347736,190.30164614658935,96.56064,241.40159999999997,0.48888888888888893,2792.407084573694,27.676137110398813,10.33521411365942,2.366586128589904,1.6083171322091985,416.9154013755305,0.43609741186770523,0.049048550801794884,3.0001244561554703,6.941924974876092,1.45303507649554,7.913282588244526,7.59844027697909e-08,1.6661590187650042e-05,600.0,925.5268472180413,412.26360003976583,718.1505604847862,136.47015869221886,402.2525588622537,118.30264672541813,352.8759466674321,194.44035092854884,207.31366116565675,194.44035092854884,119.7679121533502,0.2729121403446563,0.0091534090314177,0.7429863086604657,1684.6945480798502
5,conservative,conservative,2043,2034,239.91936692347736,195.14168483825276,96.56064,241.40159999999997,0.48888888888888893,2734.8967291449812,27.676137110398813,10.33521411365942,2.366586128589904,1.6083171322091985,416.9154013755305,0.42711587142662644,0.04846524982194837,3.0001244561554703,7.00498718397237,1.4531117319451214,7.996051352615287,7.59844027697909e-08,1.3361443496783305e-06,600.0,887.2497075360765,402.6032523599705,711.5845258554659,133.46039931057152,390.42137513149356,116.88958743389482,342.0309110759365,190.43580096398244,204.8482211125519,190.43580096398244,117.73479390456913,0.2729121403446563,0.0091534090314177,0.7341504789617351,1664.659624222302
6,conservative,conservative,2043,2035,239.91936692347736,200.0205339618983,96.56064,241.40159999999997,0.48888888888888893,2682.1093155702724,27.676137110398813,10.33521411365942,2.366586128589904,1.6083171322091985,416.9154013755305,0.41887192498833875,0.047940535375641094,3.0001244561554703,7.064478597594985,1.4531710680485035,8.07435431956343,7.59844027697909e-08,7.50083209308818e-08,600.0,852.0973649122134,393.78884882621435,705.5189648777848,130.7044108305301,379.66132652498425,115.61934806592396,332.1763214021664,186.7601179746436,202.63040894170805,186.7601179746436,115.89713954374186,0.2729121403446563,0.0091534090314177,0.7262021167127041,1646.6370006678408
7,conservative,conservative,2043,2036,239.91936692347736,204.9339725385272,96.56064,241.40159999999997,0.48888888888888893,2633.4682931853354,27.676137110398813,10.33521411365942,2.366586128589904,1.6083171322091985,416.9154013755305,0.41127553114954124,0.04746608971836348,3.0001244561554703,7.120722411150203,1.4532165536550443,8.148581124587244,7.59844027697909e-08,2.4009786188909503e-09,600.0,819.6902870110046,385.7116902106511,699.8958059395392,128.17055902392235,369.831618356817,114.47153293966525,323.1812082276754,183.37315569600634,200.62506801671648,183.37315569600634,114.22802300251927,0.2729121403446563,0.0091534090314177,0.719015224912676,1630.340983780294
8,conservative,conservative,2043,2037,239.91936692347736,209.8776533858552,96.56064,241.40159999999997,0.48888888888888893,2588.4685704151234,27.676137110398813,10.33521411365942,2.366586128589904,1.6083171322091985,416.9154013755305,0.404247808457078,0.047034893669657345,3.0001244561554703,7.174025741082872,1.4532509167447305,8.219106208099882,7.59844027697909e-08,0.00013688551101844956,600.0,789.7076863787797,378.2777791176637,694.6635276461012,125.83127708074034,360.8111629140058,113.42895738805717,314.9330967233642,180.23974368904487,198.802530345855,180.23974368904487,112.7045573330068,0.2729121403446563,0.0091534090314177,0.7124834771790522,1615.5304823376657
9,conservative,conservative,2043,2038,239.91936692347736,214.84711786979804,96.56064,241.40159999999997,0.48888888888888893,2546.787480861159,27.676137110398813,10.33521411365942,2.366586128589904,1.6083171322091985,416.9154013755305,0.39773836526782147,0.04664212712895535,3.0001244561554703,7.224531058316204,1.453276242193063,8.28609078668467,7.59844027697909e-08,2.572836629943215e-06,600.0,761.9044474438552,371.425391240777,689.7905038543709,123.66874232858689,352.5194175654537,112.47980471541092,307.356936633342,177.33741410940397,197.14242279516827,177.33741410940397,111.31122274533546,0.2729121403446563,0.0091534090314177,0.7065338587403596,1602.039937989827
10,conservative,conservative,2043,2039,239.91936692347736,219.83781151831423,96.56064,241.40159999999997,0.48888888888888893,2508.004207338239,27.676137110398813,10.33521411365942,2.366586128589904,1.6083171322091985,416.9154013755305,0.3916814814772961,0.04628239349614806,3.0001244561554703,7.272540997958575,1.4532942876774313,8.3499122249023,7.59844027697909e-08,2.658067151034381e-05,600.0,736.0382081200796,365.07832596800324,685.2325856237261,121.66024327105633,344.8594113174809,111.61090331968194,300.36294272154277,174.6368646960989,195.6219355383058,174.6368646960989,110.03013962954627,0.2729121403446563,0.0091534090314177,0.7010846220234467,1589.6839910750973
