Unnamed: 0,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub,Aero|Cruise|f_total,Aero|Cruise|total_drag
1,10.0,80.0,0.2138888888888888,1186.961611783545,2.800352129195624,686.7211414227298,0.0470139890371467,0.1103240127089979,8.58703946584763,11.9999999986088,10.155540356498836,9.04483476778808e-05,600.0,150.92551232113124,237.08814982804736,143.30697864462346,55.65048142336504,138.22710568692835,98.93527909790876,116.87823297595116,118.05752477498054,118.07226280112334,118.05752477498054,56.44614160810307,0.7430318383620341,0.9810713911848532,244.3096696851057
2,10.0,90.0,0.2,1181.6853464450185,2.8126710662024346,685.1493251889266,0.0462074473651429,0.12383885275472,8.634515924267173,11.999999999739654,10.222962051617198,4.283113403186353e-05,600.0,146.4301527892668,236.78706659450512,143.07713383472446,55.39753777647085,136.8560040666449,98.50786231946046,115.59128758167348,116.50545190151844,116.53462863443534,116.50545190151844,54.76487714318578,0.7295437652903939,0.9668773743723372,304.7308951690371
3,10.0,100.0,0.1888888888888888,1177.576150400708,2.823100085535238,678.6225686081084,0.0462549475247084,0.1383851554659937,8.673717803573354,12.000000393718029,10.278754717882531,8.828856265530584e-05,600.0,142.87627652670955,236.61240164455896,142.8962571934216,55.200611235390795,135.76371483005548,98.18215097648482,114.56408706319375,115.24411067908002,115.29275030507554,115.24411067908002,53.435727420989366,0.7178013163190394,0.9545844029747182,371.42779929292936
4,10.0,110.0,0.1797979797979798,1174.317906615388,2.8320122378827515,667.8010267580878,0.0470479322175331,0.1541685972808615,8.706501679545342,12.000000138850876,10.32549812437307,4.995839625242855e-05,600.0,140.00398390621507,236.52509262355431,142.75139067420804,55.04450753678098,134.87827256431555,97.93273187345171,113.72990362987342,114.20305502729204,114.27720666778384,114.20305502729204,52.361489980924425,0.7074332496076273,0.9437793633987304,444.34051924187287
5,10.0,120.0,0.1722222222222222,1172.350160261981,2.848477199988656,650.0504254852013,0.0484471921082553,0.1717275889123286,8.754616726189328,12.000003325464126,10.394241477682606,3.703379655300819e-05,600.0,137.64326454315835,237.11609738651555,142.63446257353235,54.95025021881905,133.91221990962893,97.79715954650406,112.7884283599842,112.69746363220352,112.80357391116404,112.69746363220352,51.47858093914122,0.698172701799541,0.9342547194828842,523.4652584218701
6,10.0,130.0,0.1658119658119658,1170.1482187191514,2.8543853483330985,631.0972751171854,0.0508996449503725,0.1911580149760297,8.776523556092236,12.000026561401318,10.425596046079924,6.862147789081124e-05,600.0,135.671028078989,237.08676429763372,142.53735162615206,54.84479090820093,133.32707549185477,97.64937805126128,112.23801627717322,112.02061661752668,112.1675487166882,112.02061661752668,50.74096450154188,0.6898218409330498,0.9256081553443302,608.6588597488764
7,10.0,140.0,0.1603174603174603,1167.7290716359933,2.8517757465875384,609.6502085655503,0.0546557426416604,0.2132015028548148,8.77739794077421,11.999999999262275,10.426848250337915,8.612135490901395e-05,600.0,134.00449452425178,236.55019282333603,142.45471587176374,54.72894857584882,133.03818278666236,97.49254415082773,111.9925257949495,111.99371217492362,112.1921974928382,111.99371217492362,50.11768095207017,0.6822302202470819,0.9176914484932286,699.8626665174031
8,10.0,150.0,0.1555555555555555,1166.27425724389,2.856828957591381,579.9053565032461,0.0599389605740338,0.239588050119109,8.794838776444827,12.000000040288596,10.45183686525976,5.442092124043647e-05,600.0,132.59287455750106,236.64188274502655,142.38758311694727,54.659293878111455,132.60894109480626,97.42559568259924,111.58557794949895,111.4588354203947,111.71888323193912,111.4588354203947,49.58973508450539,0.6752809437688733,0.9105465652545848,797.1586253899932
9,10.0,160.0,0.1513888888888888,1165.106102709821,2.86159094383015,542.9307362221801,0.0679045187209744,0.2723270016056434,8.810647220857422,11.999999999572484,10.474505816127628,3.813798877388927e-05,600.0,131.3881460658325,236.7888624319054,142.3319002846953,54.603369523616,132.2384239777151,97.3935978036833,111.2325605773118,110.97691850479973,111.31079818574632,110.97691850479973,49.139166628621346,0.6688815025623904,0.9039900011990196,900.4584195441396
10,10.0,170.0,0.1477124183006536,1169.524622360764,2.9350842767261267,480.6543939428385,0.0786409356882661,0.318407257434165,8.983247322305372,12.000276489707025,10.723205259622398,3.910770336145515e-05,600.0,130.39020289306936,242.0058611003987,142.30737711670253,54.81492763537,130.1895161515634,97.8361758684789,109.0648359371186,105.8889173038077,106.28948841060613,105.8889173038077,48.76593588200794,0.6629575173633668,0.898660054040352,1010.5396334442864
