,mission_range,cruise_speed,endurance,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
0,10.0,228.0891708308637,0.45555555555555555,1124.149230804904,2.044371507793362,727.4596172954482,0.14000001165178833,0.4058352479479094,6.715661569250667,12.000000066778066,7.618273567229788,5.318222467310029e-07,600.0,131.54259554037992,196.31178545218268,143.64991101537544,52.64566805840512,167.392180087231,93.90696255848908,147.55957775531488,209.7908866343225,210.28105620129452,209.7908866343225,49.196930732102096,0.02892862322202773,768.8943698911849
1,20.0,228.32946521802438,0.4888888888888889,1143.0112650266321,2.058818924898281,723.2744866690152,0.1400000000029865,0.4057506348566787,6.7081603026780945,11.999999999981576,7.608545190367904,7.331408803776498e-07,600.0,144.96350941022936,200.14956913408267,144.35253067994054,53.546512038842486,170.39116739209535,95.48158064347058,150.227308431267,210.32771188322423,210.8168353222256,210.32771188322423,54.21635251942579,0.028876407305534764,780.0336262882994
2,30.0,228.57264089405965,0.5222222222222223,1162.4867558608742,2.073482552081615,719.1259912950605,0.13999999876509123,0.4056414383183624,6.700239820848265,12.000000040189752,7.598276727716956,2.052334240114302e-06,600.0,158.81643428525933,204.11919866490808,145.07456729125676,54.477988216476405,173.49927568916493,97.10737370561706,152.99347437825747,210.89657813823126,211.38464298692287,210.89657813823126,59.397346422686994,0.02882539465429515,791.4700189738105
3,40.0,228.81938964890742,0.5555555555555556,1182.6088469928961,2.0884681285748896,714.9474522944715,0.1400000000017606,0.4055265109661206,6.692157691416136,11.999999999995731,7.587802500106699,6.234591035916341e-07,600.0,173.12105547633502,208.2302259062448,145.8165519763641,55.44180322821737,176.71562768310125,98.78712710217509,155.85656676966306,211.47922466926553,211.96621489663514,211.47922466926553,64.7472747481493,0.028773996778970502,803.2513869029744
4,50.0,229.06963187333523,0.5888888888888889,1203.406871901082,2.103761711978453,710.7549369636334,0.14000000041645655,0.4054007504779016,6.683842648168368,12.000000002371003,7.577030427278918,3.619860326335621e-07,600.0,187.89967102549554,212.48888206802025,146.57942776625043,56.43949269406667,180.0471577874237,100.52328212599812,158.82302221838282,212.08096144955155,212.56686117876862,212.08096144955155,70.27447696353532,0.028722606874532396,815.3835155125429
5,60.0,229.37077390153766,0.6222222222222222,1224.910541785024,2.1273567521158796,701.2499589933446,0.14000410851085507,0.4068707448725883,6.697294679342255,12.000024926549258,7.594459457024892,3.504658266645301e-05,600.0,203.01878918294733,217.10210402564067,147.32294696368444,57.4726216281794,182.8963186528509,102.31976790293034,161.29002316971736,211.10864106539316,211.59324036915663,211.10864106539316,75.9290271544223,0.028542156415203593,830.7178403976211
6,70.0,229.58243051742232,0.6555555555555556,1247.1717579586968,2.135542638663225,702.178717712825,0.14000038926964306,0.40515986780491225,6.667087826495367,12.000005054055913,7.555337013227521,8.436297518749487e-07,600.0,218.97115439126455,221.4868890732297,148.17079754209834,58.54383544530066,187.0639461208789,104.17656639546708,165.07162496857634,213.3005933769657,213.78425717742468,213.3005933769657,81.89521174233293,0.028616279920219284,840.8468698632047
7,80.0,229.84462132213147,0.6888888888888889,1270.2166716659922,2.1519724929607973,697.8538467440279,0.1400000000051622,0.4050252306544504,6.658391920018286,11.99999999991833,7.544084418749333,3.7853719299246605e-07,600.0,235.3186031881096,226.24214410212318,149.00198300930987,59.65455662021263,190.76928587623658,106.10027715172669,168.37254213501632,213.93737710794966,214.41989544560482,213.93737710794966,88.00915759235299,0.028562752292669795,854.185350744441
8,90.0,230.11064766803975,0.7222222222222222,1294.089259209516,2.1687389421579786,693.5277993324775,0.14000000334191676,0.4048739732466648,6.649365584642048,12.00000001968815,7.532408929190681,1.5142322249820081e-06,600.0,252.2454722090841,231.17939240537424,149.85854450892725,60.80708062756612,194.61845536038157,108.09300002690999,171.80284174355882,214.6011115100056,215.08246676130554,214.6011115100056,94.33980660619747,0.028509616890166914,867.9392133920055
9,100.0,230.38198151554082,0.7555555555555555,1318.8380289734669,2.186078136106373,689.0615708280649,0.1400000000023933,0.4047477203632711,6.640583150783978,11.999999999990232,7.521053499350252,1.3981076380362841e-06,600.0,269.7788504312732,236.31570217834943,150.7407184697069,62.00394031015465,198.6027430162917,110.15887301923665,175.35283176584267,215.24961839684002,215.72978761610412,215.24961839684002,100.89729006129619,0.02845344204453569,882.2123533105174
10,110.0,230.6573645261331,0.7888888888888889,1344.5116798220538,2.203781433436263,684.5988753276567,0.14000000000067025,0.40460169233391596,6.631429000187759,12.000000000005064,7.509222249442319,2.509808961958741e-07,600.0,287.95696217011584,241.65642506712055,151.6510955126361,63.24769805211723,202.7484090961369,112.30191030030083,179.04806052609584,215.9284312389183,216.40739497659973,215.9284312389183,107.69590385162333,0.028397779493008653,896.9454209236712
11,120.0,231.2919398504901,0.8222222222222222,1372.815169550343,2.3407274616819156,612.8473553738961,0.14018569248038865,0.4266115852969061,6.926602334724196,11.999921349049568,7.893207932664474,3.09240748893395e-10,600.0,304.8216773974305,251.34537627774284,152.0267372635468,64.62139619686515,198.19459862279012,114.69044500928975,173.9236038454302,195.4306420079758,195.90462257451324,195.4306420079758,114.00330734663899,0.026682270326426935,955.9945609476894
12,130.0,231.22289628608505,0.8555555555555555,1398.8398170244652,2.240674524165057,675.4781610164073,0.1400003350565537,0.40431224794946824,6.612832063801873,12.000001960674048,7.485201769428004,6.887737753685169e-07,600.0,326.38466884502225,253.0086831156451,153.56047601205424,65.8868189757012,211.53415110624164,116.83673182676951,186.88070944697597,217.31651053366153,217.79299722643654,217.31651053366153,122.06786614803832,0.02828295299883645,928.0127049114384
13,140.0,231.5122337687053,0.8888888888888888,1427.6148363675618,2.259744701041126,670.9177503544622,0.1400000000105611,0.4041356866135082,6.602947287098664,11.99999999994541,7.472442440415781,2.2254803147653202e-07,600.0,346.71920555172585,259.0437388747758,154.56381681337476,67.28854687765252,216.20872835937115,119.23857372806292,191.0506300652249,218.0592877965367,218.53450182429572,218.0592877965367,129.67298287634546,0.028226216790673622,944.341902053784
14,150.0,231.80735951801427,0.9222222222222223,1457.54805408247,2.2794253315835125,666.2547501809875,0.1399999999622101,0.4039701063330778,6.593088438307446,12.000000001150136,7.459722247411627,2.1910320469191165e-07,600.0,367.8549661443437,265.3430154470463,155.6010082090367,68.74953236665596,221.07212237799834,121.73706297040238,195.38905146075774,218.80358390202073,219.27750054191634,218.80358390202073,137.57775733798454,0.02816742756573659,961.3074556316866
15,160.0,232.10789399965878,0.9555555555555556,1488.7120068327524,2.2996611410623897,661.5372951825144,0.14000000107966326,0.4037990557831658,6.583035768990519,12.000000130605825,7.446757804186504,9.154788551551562e-08,600.0,389.8427905577322,271.92134207607575,156.67454509543828,70.2736316723174,226.14369100732384,124.33825086536437,199.91411644888075,219.56609987607249,220.03869370373243,219.56609987607249,145.80120366859185,0.02810778355327602,978.912918514693
16,170.0,232.40718275074013,0.9888888888888889,1521.184037040244,2.31941901645619,657.3637273244628,0.14000000000573792,0.403427001182182,6.570144469849238,12.000000007964822,7.430141112271367,1.0705939115671675e-09,600.0,412.76403618868886,278.76215109665793,157.79290955803674,71.86497291679187,231.52976985834073,127.04834980596479,204.73151371619423,220.5492688020332,221.0205192196984,220.5492688020332,154.37374953456964,0.02806244231727069,996.7653416337674
17,180.0,232.72584092258947,1.0222222222222221,1555.0436847378128,2.3418332411934704,651.9703180612913,0.1400014098902152,0.4034283905751332,6.562133904207522,12.000007895873093,7.419820473750841,4.4220293990935583e-07,600.0,436.58945263793316,285.98731131339093,158.93975370014218,73.52783206975977,236.97225741473312,129.8746240179271,209.57969134685985,221.16324385439364,221.6331145614713,221.16324385439364,163.284455286587,0.027986867331925035,1016.1676897640845
18,190.0,233.03977021447986,1.0555555555555556,1590.3931401341483,2.363320783027954,647.4022434992524,0.14000002447615362,0.4031302833007941,6.5500176973467745,12.00000051082397,7.40421728836766,1.5937807132532066e-07,600.0,461.485101603963,293.5003120603629,160.13968354272845,75.26764370526175,242.80745695975315,132.82500959052268,214.795579086087,222.0963572446069,222.56482056013698,222.0963572446069,172.59542799988216,0.02793266021921781,1035.6849785677966
19,200.0,233.36283031747345,1.0888888888888888,1627.2285610608872,2.3852743120924957,642.8106645841499,0.140018387450929,0.40283691710969094,6.537363325754691,12.000084873534915,7.387930137975022,0.0008420265973578832,600.0,487.43975035155063,301.3496176735846,161.38354995328808,77.08466077702008,248.912058268237,135.89833542160886,220.25500115339457,223.07668705393218,223.54375395765192,223.07668705393218,182.30246663147992,0.027879521711067237,1055.930396262744
20,210.0,233.6995595008617,1.1222222222222222,1665.9359030260593,2.410220593300402,637.0548721077505,0.14000000393581216,0.4028548666729907,6.529614492922115,12.00000011560088,7.3779613688547,1.275212715711032e-06,600.0,514.5632314566831,309.7063631183978,162.66899818990092,78.9984395142448,255.13541493634554,139.13024949391777,225.79894631308795,223.67991665281755,224.1454748655362,223.67991665281755,192.4466485647995,0.0277953328254157,1077.9812218705933
21,220.0,234.00270619921068,1.1555555555555554,1706.3743795435203,2.4293254423524626,634.6319213262893,0.1400000000111327,0.40174261651959403,6.506152481853442,12.000000000047196,7.3477989683705855,6.92143797476715e-08,600.0,543.1069705807967,318.2184350804588,164.04611765348804,81.00259314251764,262.2708865651142,142.50408755502622,232.22932294266593,225.52007879132282,225.98411767933698,225.52007879132282,203.12200699721797,0.02779857887562956,1098.1096174360748
