,scenario,year,battery_energy_density,success,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub,Aero|Cruise|f_total,Aero|Cruise|total_drag
0,conservative,2030,176.05442728293585,False,96.56064,241.4016,0.4888888888888889,6112.964300639896,3.79145379850222,472.31216063655256,0.15248761244346465,0.3571216545495861,5.480111494940376,12.05031592475259,6.058827200367527,115091.10953435578,600.0,3890.2000559848925,1344.134449319505,297.157968995104,320.72263258019626,1115.481739063852,507.93877978597607,1008.9352441457787,331.68254199207024,332.0771667687451,331.68254199207024,465.72312115327634,0.6302766233350965,1.3401691156035316,3038.784936202689
1,conservative,2031,180.75417127982496,False,96.56064,241.4016,0.4888888888888889,9751.350136373121,4.868507246290312,426.9097870141079,0.10945303808438099,0.30786803938704405,5.5622221458931,12.055079807697805,6.159878888815511,28877.010122043444,600.0,6020.566050225163,2368.4552187866743,391.97124646562764,540.2899901548512,1753.1392814961714,809.4819112343841,1583.042509825744,320.8894206658587,321.08967741600884,320.8894206658587,740.0048503898508,0.6302766233350965,1.5994493344451413,3626.693442746954
2,conservative,2032,185.5044988742252,False,96.56064,241.4016,0.4888888888888889,9999.999999999998,4.882630391077744,430.42555905255335,0.10914349527671181,0.3044765493544223,5.5139754826211504,12.00000002114945,6.100459918412124,1154.8541563380202,600.0,6049.1498916837445,2429.539219607575,399.4665738859783,555.8274600028926,1813.5735335635459,833.9154640069564,1639.2206708576946,327.1708407253358,327.36807246716853,327.1708407253358,763.0582731048692,0.6302766233350965,1.6158554013281248,3663.893605268154
3,conservative,2033,190.30164614658935,True,96.56064,241.4016,0.4888888888888889,6997.730253155983,4.229867858774013,453.7141040608368,0.12208463092836157,0.3332962870196807,5.689862436648108,11.999999584800749,6.317669891532025,8.788097933963939e-05,600.0,4100.554223368143,1606.6627277781688,317.8609470600529,372.6617294351689,1229.859303466454,583.7749243606985,1107.6441747194622,305.0604362173252,305.36117206384944,305.0604362173252,530.6327087978086,0.6302766233350965,1.4071128588884108,3190.5774497732614
4,conservative,2034,195.14168483825276,True,96.56064,241.4016,0.4888888888888889,5591.142855283042,4.036680788015347,437.2085301931449,0.1266947045568233,0.3623008229361414,6.032055112340573,11.999999541431503,6.745013781768002,3.387604535425934e-05,600.0,3158.51084384012,1265.533440597279,276.5169637964312,290.58742736237843,926.9051345112052,466.60139182154137,828.9297896464035,267.62954967089934,267.9903716671382,267.62954967089934,419.12284679985964,0.6302766233350965,1.2991723210695234,2945.8261892713836
5,conservative,2035,200.0205339618983,True,96.56064,241.4016,0.4888888888888889,4803.753240100704,3.832313024999135,427.7999665187802,0.13999999999557364,0.389888704481317,6.161570072483666,11.999999998912205,6.908429946451289,5.8282434946174985e-05,600.0,2637.225221233258,1066.2563838773224,254.4056775665341,245.87359171693902,779.6313575257872,401.0200576430331,695.3465950057565,255.11795790808512,255.54426433425016,255.11795790808512,358.6994539116258,0.6302766233350965,1.2347981963230925,2799.8601926795336
6,conservative,2036,204.9339725385272,True,96.56064,241.4016,0.4888888888888889,4304.655757237833,3.88363823799994,394.3896859870135,0.1399999999878051,0.4172102943025881,6.543387782596041,11.999999999345281,7.395682921323408,3.0122391388650714e-05,600.0,2280.983151930297,967.4297333522002,238.20853731479698,218.03982302749603,657.8634646546949,359.45694022554625,582.049798920739,222.60923631084836,223.0444028199932,222.60923631084836,317.86663826059817,0.6302766233350965,1.1921653186777328,2703.1916865430167
7,conservative,2037,209.8776533858552,True,96.56064,241.4016,0.4888888888888889,3973.550450485928,3.9759082996175814,361.57830783830605,0.1400000000050013,0.44440292522879166,6.9169240183550675,11.999999999708683,7.880535351782695,2.603053141446597e-05,600.0,2035.8183924052216,910.7730945052974,227.1550411652467,199.80902442264914,574.4678472600729,331.88748394608706,504.2234154291373,196.05968605353218,196.489862740616,196.05968605353218,290.54549510408503,0.6302766233350965,1.1629698374530824,2636.991990163129
8,conservative,2038,214.84711786979804,True,96.56064,241.4016,0.4888888888888889,3744.522479394193,4.093441033414456,331.1689943987388,0.14000000003142588,0.4711853926957133,7.278569365685942,11.999999999896922,8.357936085408774,5.072843236194211e-05,600.0,1857.9544319510292,879.9811907963776,219.28004455954786,187.31393447675038,514.4585826230295,312.8197720529739,448.0199945452268,174.3017127635313,174.7185878660706,174.3017127635313,271.43978528990556,0.6302766233350965,1.142299035828255,2590.1216960596325
9,conservative,2039,219.83781151831423,True,96.56064,241.4016,0.4888888888888889,3582.1371706064365,4.225605482316299,303.98795516950196,0.1400000000430251,0.4971820322900952,7.623736938798627,12.000000000153417,8.82117766650267,5.6329710155182166e-05,600.0,1723.9337792120332,866.1790041262622,213.51786351433606,178.51402906593418,469.86631351040836,299.30174103261965,406.08377997069016,156.47559353990442,156.87485651505904,156.47559353990442,257.7103638726397,0.6302766233350965,1.1273869881096028,2556.309167888538
10,conservative,2040,224.8451003855669,True,96.56064,241.4016,0.4888888888888889,3456.7599602972073,4.194462254607141,303.0922416843477,0.1399999999978281,0.5022852076851052,7.691889800614829,11.863937799326601,8.913543888478335,4.615194502358e-05,600.0,1640.2740068268351,834.7423868899588,209.9960307954422,171.75432930725518,449.40320908145367,292.1782533845198,387.80983226721105,153.24945251724947,153.66144593772947,153.24945251724947,250.7891501328747,0.6302766233350965,1.115718783926966,2529.8519374614916
