,scenario,year,battery_energy_density,success,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub,Aero|Cruise|f_total,Aero|Cruise|total_drag
0,conservative,2030,176.05442728293585,False,96.56064,241.4016,0.4888888888888889,7287.8914861906605,4.45496210869611,434.89864447166906,0.11246098816536432,0.33016488458949017,5.852561377071341,12.000000000040854,6.520063025578945,107993.7466739813,600.0,4589.448926292895,1714.0802228806672,323.0727419575734,389.913615292346,1245.2481941910994,607.9484106232036,1117.7639629554865,286.4152634921654,286.68217548226147,286.4152634921654,549.4351055386907,0.6302766233350965,1.428441492275903,3238.9393535756135
1,conservative,2031,180.75417127982496,False,96.56064,241.4016,0.4888888888888889,9445.938151571887,4.818655952502423,430.3932868549271,0.10870289892487882,0.3085268910124888,5.590355256894103,12.00288956338274,6.194583314845765,36329.673252536675,600.0,5846.274397631155,2285.4951626095367,383.4810117489352,521.2910245997537,1689.6847727025981,787.5604204530947,1524.8706283333079,317.30400168310445,317.5108722671155,317.30400168310445,718.5821689964285,0.6302766233350965,1.579105896943939,3580.5654349384813
2,conservative,2032,185.5044988742252,False,96.56064,241.4016,0.4888888888888889,9999.999999999129,4.882631205747212,430.42123262134623,0.10914561658184785,0.30447955903479934,5.513976309953473,12.000104927107651,6.100460936277359,1151.9754466064162,600.0,6049.107317930019,2429.5394305079785,399.4665553476717,555.8274600028382,1813.5732614497774,833.9081738455611,1639.220397352689,327.1707315480784,327.3679632240947,327.1707315480784,763.0529027213313,0.6302766233350965,1.6158554013280677,3663.8936052680247
3,conservative,2033,190.30164614658935,True,96.56064,241.4016,0.4888888888888889,6988.790747398147,4.398788159238555,434.74892769484734,0.11354529035845531,0.33447774795581936,5.895860974507748,11.999999998467857,6.574167373471166,6.369506513356261e-05,600.0,4065.7373488298367,1636.22808851375,314.70140596648974,372.13188500688545,1185.3723786256082,583.0301577866044,1063.0685758929892,281.72035869344694,281.9985777650311,281.72035869344694,526.1272269917517,0.6302766233350965,1.4064511194214293,3189.0769794963826
4,conservative,2034,195.14168483825276,True,96.56064,241.4016,0.4888888888888889,5602.171667512637,4.1134838559876785,428.6199160473143,0.12249085650472201,0.3626618129057603,6.128470173811862,11.999999997386258,6.8665773852191245,4.038146174366801e-05,600.0,3154.9050323666283,1280.240242975347,275.81241866647713,291.2203281451458,914.1223680016916,467.520027780571,815.8608507888915,258.23738091833525,258.58457723886113,258.23738091833525,418.6443687940802,0.6302766233350965,1.3000516525495778,2947.8200415579395
5,conservative,2035,200.0205339618983,True,96.56064,241.4016,0.4888888888888889,4815.826425106439,3.928777403757831,417.5208410809302,0.1333997360496631,0.38968113002649646,6.291602667765828,11.999999994593363,7.073441052704745,6.94224611001439e-05,600.0,2633.239309374336,1082.4162911271962,253.6272096150055,246.55194700413,765.4371516147504,402.02554292364545,680.8321988157322,243.3538765482604,243.75907512867815,243.3538765482604,358.15731424315015,0.6302766233350965,1.2358106611796167,2802.1559200758893
6,conservative,2036,204.9339725385272,True,96.56064,241.4016,0.4888888888888889,4304.631521625472,3.883642783072162,394.3876557128582,0.14000000002039525,0.4172119472105806,6.543410683288777,11.999999999005,7.39571239589079,7.765054879116757e-05,600.0,2280.9688642141637,967.4252487788132,238.20773898938324,218.0384815979906,657.8574584381619,359.45492213451024,582.0442022620043,222.6074619590321,223.0426285208111,222.6074619590321,317.8646471944687,0.6302766233350965,1.1921632096853367,2703.186904479134
7,conservative,2037,209.8776533858552,True,96.56064,241.4016,0.4888888888888889,3973.528089558523,3.9759170795958947,361.57569671109076,0.14000000003401386,0.44440514518799673,6.9169542503142045,11.999999999368397,7.8805749281023525,8.187934636950633e-05,600.0,2035.8053942834313,910.7696610696456,227.15428313113694,199.80779979501253,574.4621036604404,331.8856221992122,504.2180457403951,196.0577168313893,196.48789270352043,196.0577168313893,290.54364005368114,0.6302766233350965,1.162967838984188,2636.9874587072845
8,conservative,2038,214.84711786979804,True,96.56064,241.4016,0.4888888888888889,3744.513801174438,4.093446764749049,331.16768460003533,0.140000000051315,0.4711865927613198,7.278585431786725,11.999999999837648,8.357957472686461,8.238603564409094e-05,600.0,1857.9494436079194,879.9802300981223,219.27974128543204,187.3134628583271,514.4562547581785,312.8190495902274,448.0178097832383,174.30082071918326,174.71769509553167,174.30082071918326,271.43905651273036,0.6302766233350965,1.1422982447269852,2590.119902266153
9,conservative,2039,219.83781151831423,True,96.56064,241.4016,0.4888888888888889,3582.141089165723,4.225601570432289,303.98868367102165,0.14000000003114427,0.4971813030997012,7.6237273376651835,12.000000000110019,8.821164675427491,4.0750816405134713e-05,600.0,1723.9360132776524,866.1792137089734,213.5180050043744,178.51424081133555,469.8674192436133,299.3020672256648,406.0848222394312,156.47605442863534,156.87531794077688,156.47605442863534,257.71069784246527,0.6302766233350965,1.127387350641054,2556.309989915475
