,scenario,year,battery_energy_density,success,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub_non_wing,Aero|Cruise|Cd0_wing,Aero|Cruise|f_total,Aero|Cruise|total_drag
0,conservative,2030,176.05442728293585,True,96.56064,241.4016,0.4888888888888889,2918.3562744581054,29.999999999999996,8.539897420256974,2.2230523471868873,1.730469393774293,387.49934666194986,0.42046253707741427,0.04538690567933399,3.0000189715496473,6.446434334418215,1.4533133690061912,7.271169360668513,3.0277593765504207e-09,9.470990564517627e-05,600.0,1088.5083564141823,445.7792445815159,640.9910392698653,143.0873660939822,452.7086018508997,126.71577800818919,401.35996422311234,230.29856152724759,191.85046513411305,230.29856152724759,130.3129663912083,0.2729121403446563,0.009153409031417752,0.7959764423562702,1804.847757228877
1,conservative,2031,180.75417127982496,True,96.56064,241.4016,0.4888888888888889,2838.743176874883,29.999999999999993,8.355686947762766,2.1955701068419065,1.7245517965343533,388.8288959330417,0.40899227030861507,0.04514150374534812,3.000019814797141,6.454326091686256,1.453313839784416,7.281284212728931,7.72987363006905e-09,1.8024215696441257e-05,600.0,1042.2947002739857,433.98804882882956,623.5641581322451,138.9005151333978,439.8202285644408,125.17004182385796,389.8684756615151,229.65916390598557,190.81304381123306,229.65916390598557,128.1113980486169,0.2729121403446563,0.009153409031417752,0.786267017580608,1782.8319881711132
2,conservative,2032,185.5044988742252,True,96.56064,241.4016,0.4888888888888889,2765.8891532848584,29.999999999999996,8.183399361511098,2.1695911267703507,1.714660356442398,391.0727558398474,0.39849581795183503,0.04515854097308008,3.0000136412428455,6.460557358788236,1.4533136842340857,7.289273343092985,1.0801549876759964e-08,2.026455629805865e-05,600.0,999.8730836731417,423.24974651383104,607.689387125294,135.08143758966764,428.1192782109496,123.78551822384141,379.4464856919793,229.1560214266972,190.88584576136196,229.1560214266972,126.12704962073641,0.2729121403446563,0.009153409031417752,0.7775699232671216,1763.1116417753858
3,conservative,2033,190.30164614658935,True,96.56064,241.4016,0.4888888888888889,2698.957680970598,29.999999999999993,8.022082457919842,2.1450173293748414,1.7056869010727507,393.13077959570546,0.3888526578942762,0.04517493699812745,3.000008853082168,6.465431499711797,1.4533135615264288,7.295524051505344,8.772179427296578e-09,2.389579181353437e-05,600.0,960.7713991841683,413.4262652131196,593.181545417135,131.58335948838703,417.444323877054,122.53815315639135,369.94706095358566,228.76351395623817,190.95576155886187,228.76351395623817,124.32873760801021,0.2729121403446563,0.009153409031417752,0.7697344218397703,1745.344926046896
4,conservative,2034,195.14168483825276,True,96.56064,241.4016,0.4888888888888889,2637.248081305437,29.999999999999996,7.870636018231816,2.121721245870923,1.6971760827408437,395.10305561154263,0.37996183977712805,0.04520856982946718,3.0000024328861192,6.469100576718232,1.4533133881597484,7.300230259350183,1.9245049998062314e-11,2.6048681021693044e-05,600.0,924.6080998529985,404.4059225871997,579.8718993400197,128.36726331606738,407.6684308784252,121.40920944711762,361.2554655968053,228.46865706010183,191.0987464312448,228.46865706010183,122.69211604587849,0.2729121403446563,0.009153409031417752,0.762642769493037,1729.2648611706547
5,conservative,2035,200.0205339618983,True,96.56064,241.4016,0.4888888888888889,2580.1748398986533,29.999999999999996,7.728398131299285,2.0996366767092334,1.6896204190489887,396.8701782577278,0.37173900554295497,0.04522797513715604,3.0000001928424025,6.471810296291503,1.4533133154207845,7.303706426870297,1.3805081522377805e-09,2.6212418392320195e-05,600.0,891.0543308996957,396.09252639017797,567.6324534289645,125.40064898629515,398.6789973397634,120.38244806676273,353.2692429156522,228.25123147322492,191.18105907987183,228.25123147322492,121.19583087782102,0.2729121403446563,0.009153409031417752,0.7561930385265097,1714.640329777229
6,conservative,2036,204.9339725385272,True,96.56064,241.4016,0.4888888888888889,2527.242901823464,29.999999999999996,7.5944297486848145,2.0786494530599247,1.6830318419964148,398.42380496358135,0.364112830092649,0.04522802463883326,3.000000222069287,6.4736218591738215,1.4533133163885048,7.306030628309323,3.127773595679173e-10,2.9588578226280772e-05,600.0,859.8448483003701,388.4094246062143,556.3379427256157,122.65612572968406,390.3908749693323,119.44555810486565,345.9118953089154,228.10603157309902,191.18126460100896,228.10603157309902,119.82376595970786,0.2729121403446563,0.009153409031417752,0.7503078815265879,1701.295949407371
7,conservative,2037,209.8776533858552,True,96.56064,241.4016,0.4888888888888889,2478.0313311083883,29.999999999999996,7.468556541632672,2.0587610679434687,1.6766792547830744,399.9333784399231,0.35702266702465024,0.045243548676887096,3.000000004807053,6.474864789562212,1.4533132995590317,7.307625394018705,3.462872655290994e-09,3.8723368710737894e-05,600.0,830.7323096771937,381.28417546973066,545.910597151287,120.11047162053156,382.7155333194126,118.58627569301025,339.1021292821959,228.00648186612923,191.24691323564994,228.00648186612923,118.55946046786548,0.2729121403446563,0.009153409031417752,0.7449102141151529,1689.0569340252605
8,conservative,2038,214.84711786979804,True,96.56064,241.4016,0.4888888888888889,2432.1779588731565,29.999999999999996,7.351612857501583,2.040132916612369,1.6680416843944177,402.00058358098187,0.3504163368132505,0.04540766418362278,3.000028048920263,6.476284342193874,1.4533135206691095,7.309446886986865,4.6539880749207896e-07,5.905181389083027e-05,600.0,803.4738078268416,374.6429820635647,536.3250856304549,117.74376787010021,375.5514474599557,117.79112285686304,332.7444602139739,227.8928589169414,191.93704982162066,227.8928589169414,117.38434168891887,0.2729121403446563,0.009153409031417752,0.7399155035852597,1677.7316087792024
9,conservative,2039,219.83781151831423,True,96.56064,241.4016,0.4888888888888889,2389.3797688896148,29.999999999999993,7.23530730851643,2.021458739275937,1.6680576918536696,401.9992928355495,0.34425018235832794,0.045130854011440305,3.0000088916956718,6.4744679715766535,1.453313434781338,7.307116239424683,1.0151271112590621e-07,3.2225462492294866e-05,600.0,778.1417148316743,368.52999705962395,527.1743715833734,115.5393621624707,369.0465038021891,117.07680422054888,326.99353487741143,228.03825762785462,190.769416591924,228.03825762785462,116.32418071499833,0.2729121403446563,0.009153409031417752,0.735428403537652,1667.5572719189145
