,cruise_speed,cruise_power,profile_power,induced_power,propulsive_power
0,10.0,551.1025793043564,119.39259036243895,431.69260213178836,0.017386810129011287
1,20.0,524.7823999185512,119.71938852538702,404.9348839292384,0.1281274639257671
2,30.0,485.87964911996824,120.26405102283346,365.20178331485533,0.4138147822794331
3,40.0,441.8942004861117,121.02657402835652,319.9152981277603,0.9523283299948364
4,50.0,400.4771290691774,122.00694813407121,276.6506790806677,1.8195018544384383
5,60.0,366.5613799747978,123.205154609386,240.26645891950633,3.0897664459054544
6,70.0,339.5681657636941,124.62116077449173,210.11050875259045,4.836496236611951
7,80.0,319.2418282627747,126.2549145155553,185.85469031079612,7.132223436423249
8,90.0,304.40414836253655,128.10633796334932,166.24902602976255,10.04878436942471
9,100.0,294.0464360285016,130.17532035432353,150.21369093909857,13.657424735079536
10,110.0,287.4091092804539,132.461710091937,136.91852035229846,18.02887883621844
11,120.0,283.94585747059995,134.96530602598222,125.74712023103321,23.23343121358447
12,130.0,283.2707337296456,137.68584796842086,116.24391990167507,29.34096585954973
13,140.0,285.1136817289577,140.6230064657974,108.06966891146978,36.42100635169048
14,150.0,289.2877423939508,143.77637185054112,100.96862138528162,44.54274915812807
15,160.0,295.66584528746165,147.14544259636412,94.74531100606751,53.77509168502999
16,170.0,304.16453544302493,150.7296130065039,89.24826624239655,64.18665619412444
17,180.0,314.73251762668104,154.52816026771646,84.35854693856561,75.84581042039895
18,190.0,327.3425120683118,158.54023090770121,79.98159564717308,88.82068551343751
19,200.0,341.98539244956993,162.76482669900736,76.04137397016868,103.17919178039394
20,210.0,358.6659104228626,167.20079005842396,72.47608776261029,118.98903260182841
21,220.0,377.3995355909588,171.84678899736437,69.23502977971994,136.31771681387448
22,230.0,397.5449549088683,176.70130168578993,65.61108343212388,155.23256979095447
23,240.0,420.48346805265606,181.76260069973554,62.920123934322795,175.80074341859776
24,250.0,445.5668952173367,187.0287370304502,60.44893307566443,198.08922511122208
25,260.0,472.83498399607595,192.49752394147916,58.17261405225432,222.16484600234247
26,270.0,502.3307293704953,198.16652076861598,56.06992018840046,248.09428841347892
27,280.0,534.09978175333,204.03301676644693,54.12267229626886,275.9440926906142
28,290.0,568.1898908258606,210.09401511408433,52.31521222840474,305.78066348337165
29,300.0,604.650398787626,216.34621720151975,50.63390605550384,337.6702755306025
