Unnamed: 0,success,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub_non_wing,Aero|Cruise|Cd0_wing,Aero|Cruise|f_total,Aero|Cruise|total_drag
1,False,10.0,80.0,0.2138888888888888,936.8152319527456,29.999999999999996,4.353935399271069,1.5872620839092535,2.0999999999980954,100.20949257526976,1.228975583818701,0.1830860380048231,3.1679665199597067,7.874965936611009,4.1890488460310005,9.163162664529535,0.5337188126098749,40076.846842053645,600.0,78.80234243393038,121.00082881639273,293.4344620363927,43.76962358723804,118.96117894268686,25.721509729052716,102.23710592622604,145.0136732818548,76.22089242424275,145.0136732818548,21.43423714202906,0.3157602416945057,0.0110881511655129,4.24055252123784,1055.9965309912443
2,False,20.0,80.0,0.3388888888888889,755.4630717678116,29.99999999990728,4.003120600816247,1.5014848130323504,2.0999999999999583,100.00000000194504,0.9910659413029456,0.1368420802864851,3.17460317454149,8.229182132401972,4.272342455623159,9.652460867822091,0.4656526073223315,94068.67567622902,600.0,67.49304706567897,91.9857381499311,267.38461464953923,35.30584346793913,91.80293492268392,18.77122168373785,78.26636980070643,130.68436948069518,56.73103990643293,130.68436948069518,18.35810880186467,0.3157602416945057,0.0110881511655129,3.156233765528305,785.9758582644344
3,False,30.0,80.0,0.4638888888888889,768.9313415310473,29.999999999999996,4.21112617729656,1.5042013643321803,2.0999999999997425,101.25807012815544,1.0087344997634318,0.1326633425865548,3.135160654934154,8.180610263549003,4.272833655257683,9.584863284530506,0.2149003308188906,96117.78213494788,600.0,76.48940920236386,93.77241533763949,272.7683267922735,35.92986973495121,93.99437410644484,18.65662874828884,80.22350645022391,132.53418165842467,56.39119580769852,132.53418165842467,20.80511930304297,0.3157602416945057,0.0110881511655129,3.137326524955124,781.2675141616551
4,False,40.0,80.0,0.5888888888888889,752.536900603071,29.999999999971926,4.217426092760155,1.5716758117988363,2.0999999999983445,100.01352701470852,0.9872271982991108,0.1313040691275285,3.1741738036483835,8.564307891390674,4.282112951730403,10.12331603487378,0.6117628875521071,105070.6520324118,600.0,81.02289289449152,89.66191819944332,270.8277612197511,35.1703633297844,87.86896853154515,17.975313785844744,74.33699570483218,118.81031734927974,54.44985756601256,118.81031734927974,22.03822686730169,0.3157602416945057,0.0110881511655129,3.029320091104202,754.3713918049355
5,False,50.0,80.0,0.7138888888888889,694.9167775264084,29.999999999999563,4.000000000004127,1.748983747755774,2.0999999999999948,100.00684588110316,0.9116373466577232,0.1201568355339365,3.1743858599214567,9.661984893012049,4.301871271914385,11.723117049287165,1.9547048299311935,125350.37832450763,600.0,78.60297342180627,77.95987821933241,259.89269263243364,32.50978687861727,71.92277624331636,16.371537226171956,59.27747497570739,88.59588355407752,49.820607555964685,88.59588355407752,21.3800087707313,0.3157602416945057,0.0110881511655129,2.771771574196812,690.2358012058231
6,False,60.0,80.0,0.8388888888888889,688.3574403502181,29.999999999982705,4.242672870061516,1.5430098954242808,2.1,100.00015859872188,0.9030323785058996,0.1140491500750749,3.1745981397311,8.752820422513027,4.3126129880946875,10.391672030998045,0.4078308432073569,138617.55156963656,600.0,84.8958305608395,79.51076817227758,264.0568348370544,32.207787843327395,78.6440720958586,15.498578665914929,66.24125918301392,112.7532017122747,47.28185506607477,112.7532017122747,23.091665912548343,0.3157602416945057,0.0110881511655129,2.6305279737952527,655.0628487894191
7,False,70.0,80.0,0.9638888888888888,788.7277487176875,29.999999999999996,4.605349167282493,1.7448781758537475,2.099999999999873,102.84282669234447,1.034704723399741,0.126173405633521,3.0868493960208125,9.158537888128157,4.27610347470496,10.978051820206751,1.1703400013059522,107948.65097054811,600.0,106.4784448205178,91.88381372998984,282.0724472641198,36.84844305735393,86.11939573237815,18.289698965520284,71.84587590176207,101.02973018519457,55.32442541735541,101.02973018519457,28.96213699118084,0.3157602416945057,0.0110881511655129,3.077976709905065,766.4880252875165
8,False,80.0,80.0,1.0888888888888888,696.2331473066126,29.999999999981892,4.424107569948856,1.6308446143992776,2.1,100.00291254175453,0.9133642467597634,0.1129818043916527,3.17451071565308,9.119374531100508,4.314460572247811,10.920913359617163,0.708069740059388,145292.3919490548,600.0,97.61182952726789,79.08542923394803,268.13786430096275,32.57041562273781,76.34658988203577,15.347803396586512,63.75228191820573,102.0896753508242,46.84194078695173,102.0896753508242,26.55041763141686,0.3157602416945057,0.0110881511655129,2.606053324573305,648.9680900177344
9,False,90.0,80.0,1.2138888888888888,686.0488384940905,29.99999999999367,4.4149446775097765,1.7284051761119703,2.099999999999185,100.09205620893772,0.9000038033744564,0.1104631854066027,3.1716834430672134,9.619731051333122,4.31840905312975,11.65981789060988,1.3047727441701775,152080.15966637252,600.0,101.28050188281544,76.11168766675675,266.5296717171414,32.101540072663745,71.3168418985078,15.018685918367302,58.83872672201795,89.56043849012416,45.87941394731423,89.56043849012416,27.548296512125795,0.3157602416945057,0.0110881511655129,2.5525031038015,635.6328354522906
10,False,100.0,80.0,1.3388888888888888,906.308289141734,29.999999999966505,5.295409963551991,1.9565223402886016,2.0999999999996493,105.54642744952368,1.1889545779984907,0.1365622447574918,3.00777890006928,9.501463841670414,4.241273596966526,11.483401803872754,1.632809092386653,91556.6775044886,600.0,150.17630198151116,106.19069894443172,310.1878780968022,42.336749885884466,95.38617461942574,21.02133830014083,78.92332817580966,92.33335664716904,63.06941450160903,92.33335664716904,40.84795413897103,0.3157602416945057,0.0110881511655129,3.508869499842326,873.7903848559965
