,battery_energy_density,mission_range,cruise_speed,mission_time,Weight|takeoff,LiftRotor|radius,LiftRotor|Cruise|RPM,LiftRotor|Cruise|CT/sigma,LiftRotor|Cruise|mu,LiftRotor|HoverClimb|T_to_P,LiftRotor|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|LiftRotor|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|f_total_non_hub,Aero|Cruise|f_total,Aero|Cruise|total_drag
0,250,96.56064,241.4016,0.4888888888888889,3064.5083439212244,4.563045977807047,241.19975869497281,0.139999999998312,0.5798865757046933,8.687725907372824,11.638010002060179,10.298718055361395,6.150099754556262e-05,600.0,1306.0502681669543,811.057784967479,196.59879653927425,150.80933650468842,352.73998933605105,264.18997805169073,297.56211670693096,114.79775857370733,115.16648776508414,114.79775857370733,222.0285455883822,0.6302766233350965,1.0782634212112496,2444.923258927313
1,275,96.56064,241.4016,0.4888888888888889,2737.990938257664,4.379452723869894,247.57683911084388,0.13999999999778723,0.5882877838928825,8.798532153346262,11.082369012049867,10.45713145094448,8.550506663255619e-05,600.0,1105.888802178139,710.6030197387863,187.8862209963521,133.6221422393589,311.1872401598658,248.02116241742556,261.830020125679,111.34599779139948,111.76926822171333,111.34599779139948,206.801206007312,0.6302766233350965,1.0458483707341282,2371.423305862235
2,300,96.56064,241.4016,0.4888888888888889,2501.333923043976,4.236570800623872,252.93618188351735,0.13999999999783097,0.5949130998395228,8.886614252463497,10.634590760730923,10.583696078916102,9.138414699817948e-05,600.0,959.6370643124732,638.939184680428,181.45206863342193,121.31516492323632,281.4720940937175,236.2549721079971,236.33841187360918,108.69886910478368,109.17257378735907,108.69886910478368,195.7659611197445,0.6302766233350965,1.0215429371665334,2316.31161545455
3,325,96.56064,241.4016,0.4888888888888889,2321.678309075749,4.121710711674623,257.5214593399827,0.13999999999844986,0.6002902820985564,8.958715827049131,10.265546557005278,10.687723581260943,6.778766979678198e-05,600.0,847.8943169258418,585.2446744077166,176.48609106644818,112.06146000251812,259.1530252657289,227.2881260460417,217.2285137638109,106.59315577249828,107.11358577602103,106.59315577249828,187.38464404061105,0.6302766233350965,1.0025763402964436,2273.305543915659
4,350,96.56064,241.4016,0.4888888888888889,2180.536791154171,4.027105588003662,261.4988199101387,0.13999999999931778,0.6047504680834411,9.01904908937827,9.955905226546893,10.775068390762316,3.0199948848989854e-05,600.0,759.6423492777227,543.5252737159897,172.5268180662508,104.84784554221967,241.77014334273758,220.217955981021,202.36871935064372,104.87203016015329,105.43582358696281,104.87203016015329,180.794879128098,0.6302766233350965,0.9873303930165208,2238.735910581357
5,375,96.56064,241.4016,0.4888888888888889,2066.6590604898693,3.947675677888539,264.98777540725155,0.1399999999998522,0.6085146900385262,9.070418930915137,9.692229781856883,10.84965118190133,6.792211419893914e-05,600.0,688.1294575645659,510.1827585555209,169.28997917277508,99.06510668438526,227.84604285982618,214.49431600307372,190.48161326488847,103.43516094484583,104.03927211057461,103.43516094484583,175.4730116789643,0.6302766233350965,0.9747882641893935,2210.29708767159
6,400,96.56064,241.4016,0.4888888888888889,1972.8284482094666,3.879962974165391,268.0761488072666,0.13999999999873503,0.6117358974392061,9.114763413131898,9.464950709328363,10.914193478493145,7.079916975421987e-05,600.0,628.9837385437058,482.9356788719778,166.5911710268936,94.32627399114085,216.44318769340262,209.76366746276562,180.75806078543542,102.21542750622935,102.85708420635028,102.21542750622935,171.08357688388796,0.6302766233350965,0.9642800261004778,2186.4700383545733
7,425,96.56064,241.4016,0.4888888888888889,1894.164109845078,3.821497368313319,270.8314545669175,0.13999999999910726,0.6145249927273677,9.15348865652022,9.26697109986917,10.970678578277811,6.285977100759576e-05,600.0,579.2382111833712,460.25768478112076,164.3042288569371,90.37191343906488,206.93357264345605,205.7863683419096,172.65696887661673,101.16557719984554,101.8422601563373,101.16557719984554,167.39984303199427,0.6302766233350965,0.9553412749655247,2166.2017438676285
8,450,96.56064,241.4016,0.4888888888888889,1818.4694066918244,3.698842172590133,283.31788047534764,0.13999999999931964,0.6066554747947653,9.061928750490244,9.054259698646211,10.837310815336942,5.371800328585589e-05,600.0,537.1211529336351,432.49792044412936,162.27451394216982,86.58314862855671,200.67134235561568,202.29268163301802,167.7971073892547,103.67085678359574,104.41004052387616,103.67085678359574,164.35907279769233,0.6302766233350965,0.9466223771583788,2146.4319588396297
9,475,96.56064,241.4016,0.4888888888888889,1764.187639435113,3.656419430163496,285.6195656561392,0.14000000001471197,0.6085383448732296,9.088932874207364,8.909089710194092,10.876579753718207,9.760074890967894e-05,600.0,500.91832657446963,418.742295937274,160.6606737949769,83.87622243752368,194.10283515697833,199.52097430898215,162.20058873121556,102.92361904816032,103.69328182319842,102.92361904816032,161.79661948355368,0.6302766233350965,0.9402953013966475,2132.0855436811935
10,500,96.56064,241.4016,0.4888888888888889,1716.8638067958493,3.6187258282264034,287.7098498272607,0.1399999999997754,0.6102114203390173,9.113122286361522,8.77947595225178,10.911802216802815,2.88555195723967e-05,600.0,469.2958114054328,406.8073011738926,159.24281979075752,81.52324615915259,188.39468547078164,197.09950583239953,157.34007753110598,102.26023231723522,103.05842849755841,102.26023231723522,159.56057587784713,0.6302766233350965,0.9347261059666726,2119.4575947288295
11,525,96.56064,241.4016,0.4888888888888889,1675.2230539814639,3.5849915081767656,289.6174784641066,0.14000000022316234,0.6117088411637567,9.1349394132713,8.662993573487775,10.943608267151314,2.650266871237206e-05,600.0,441.43227350526365,396.35126707922046,157.98637580300556,79.45828566824642,183.38633440170264,194.96471421308928,153.07776129102385,101.6666862835505,102.49165220346713,101.6666862835505,157.59132164137912,0.6302766233350965,0.9297832512152384,2108.2498505825006
12,550,96.56064,241.4016,0.4888888888888889,1638.2997058349758,3.554615885967164,291.3659792808185,0.1400000000297315,0.6130565273482463,9.154721206732516,8.5577412892235,10.97247825603196,5.7086596554012754e-05,600.0,416.69441594744893,387.11627279962926,156.86498992744308,77.63158272771012,178.9568102445486,193.0683950913532,149.30990680563386,101.13239408413168,101.98251822859186,101.13239408413168,155.84371156434588,0.6302766233350965,0.925366002698123,2098.2338995379723
13,575,96.56064,241.4016,0.4888888888888889,1605.3477206495438,3.5271310419940867,292.9734205580741,0.13999999999978527,0.6142760076916882,9.17274721098349,8.462206212063348,10.998811657760768,2.5743453927809614e-05,600.0,394.5852005164787,378.9046067675754,155.8581623284445,76.00482483778309,175.01275067596907,191.3732212963895,145.95646971705435,100.64871057912787,101.52250573330788,100.64871057912787,154.28281340194317,0.6302766233350965,0.9213957595377286,2089.231516951775
