,mission_range,cruise_speed,mission_time,Weight|takeoff,Wing|area,Wing|aspect_ratio,LiftRotor|radius,Propeller|radius,Propeller|Cruise|RPM,Aero|Cruise|CL,Propeller|Cruise|CT/sigma,Propeller|Cruise|J,LiftRotor|HoverClimb|T_to_P,Propeller|Cruise|T_to_P,LiftRotor|HoverDescent|T_to_P,LiftRotor|clearance_constraint,Weight|residual,Weight|payload,Weight|battery,Weight|propulsion,Weight|structure,Weight|equipment,Power|segment_1,Power|segment_3,Power|segment_5,DiskLoading|LiftRotor|segment_1,DiskLoading|Propeller|segment_3,DiskLoading|LiftRotor|segment_5,Energy|entire_mission,Aero|Cruise|Cd0,Aero|Cruise|total_drag
0,10,112.50468782097731,0.17777407397479805,1356.7955065291296,29.999999999999996,8.376187472,2.1986445533879078,2.1000000000000005,148.81572463092235,0.8999998646427977,0.070980911,3,8.860991665485427,3.1007620572705283,10.546820431914002,6.641646294269776e-06,1.4446806097155965e-05,600,66.29748895949639,166.16904974931535,460.4816039187317,63.843563006152564,153.12005221876043,29.71048221201939,128.64498028463188,109.46030208562864,65.16888501668362,109.46030208562864,24.79526087085165,0.022638951060287474,902.8773387127361
1,20,113.50611492701583,0.2650908495749713,1360.4422935180244,29.999999999999996,8.194844430133882,2.171341904374961,1.8973502687332127,174.53619230061506,0.8865656331371023,0.078123579,2.8563077789007396,8.759956496465927,3.050616341228643,10.401880910287984,9.939103078160372e-05,0.000307626,600,74.77626394,167.6602996729264,454.00271127960735,64.0205579,155.30240293623314,30.46613314877195,130.78810507938792,112.53198807356212,80.53981731815557,112.53198807356212,27.96632271387906,0.022648531644044022,910.8681975182213
2,30,113.97784118788728,0.3520979450294274,1381.2059981398006,30,8.381333495570333,2.1994143936702075,2.1000000000000005,150.76434019562447,0.8926616704390736,0.070310309,2.9999999999998725,8.798347302733392,3.0613920690394782,10.456866437430318,4.2360933605323225e-07,6.71489634097105e-05,600,82.41057127631667,169.97462948794197,463.78345350557896,65.02914942285484,156.9847098114324,30.59399870446586,132.08603231229753,111.35164165579411,66.25479974147507,111.35164165579411,30.821553657342434,0.022702918444066248,917.9220613060055
3,40,116.74110216420816,0.43152742200583644,1400.373475261646,29.999999999999993,8.513014032383776,2.2190663488762845,2.099999999999989,154.7704421097002,0.8627114916326205,0.066714694,2.993196476062975,8.812976542563472,2.9919138509402945,10.477847553374554,3.669243781345699e-05,2.375625267692867e-05,600,90.59278050335074,172.4369254379327,471.3774345637401,65.96146071798123,158.8990358136495,31.303102862112123,133.65087324740034,110.9061412652832,66.25194330521735,110.9061412652832,33.881699908253175,0.022752882772763102,917.8824870280881
4,50,117.96508027785785,0.5127431335706945,1406.696571400535,30,8.392060983,2.2010205450025757,2.1000000000000005,156.03846597600244,0.848716761,0.066131582,3,8.737142581769712,2.9619918787755153,10.369256267388861,4.793676566805516e-11,1.990615480606852e-05,600,99.00103141761113,174.00932374316253,467.42139691597606,66.26928095519168,161.0019017356597,31.858646690558157,135.66031498561497,113.24121761428125,66.75339157060402,113.24121761428125,37.02638575018656,0.022769315,924.8297637
5,60,119.40188587896307,0.5913935148277255,1435.9771899450107,30,8.708917222706237,2.2480088495238255,2.099999999999997,157.93900248540203,0.8456574011572613,0.064917432,2.999999999999983,8.815934768,2.9274542190969703,10.48209211198081,8.854806239355639e-07,9.084596089015914e-06,600,107.3170678555716,177.19372661376192,483.77300159051475,67.69640795153342,162.88428031588543,32.41820251718937,136.99337637986594,110.81634004994594,67.13379405966575,110.81634004994594,40.136583377983776,0.022845091311643348,930.1000209342584
6,70,120.53471899406303,0.669634425,1435.9845475289223,30,8.462292130509992,2.2115189296704085,2.1000000000000005,159.43745898730194,0.8298407022357026,0.064250396,2.9999999999916067,8.696983628891717,2.9005284833059144,10.31191925497019,4.78214512327213e-05,4.796804624112562e-05,600,116.05628763377426,178.36371304013846,473.8747058460278,67.69676690576433,165.11294131433408,33.00033346296837,139.2548285166992,114.50402119160522,67.71074806714226,114.50402119160522,43.40505157503158,0.022845110287427885,938.0933861529033
7,80,121.00339920211712,0.7500273405977751,1471.5359586847046,29.999999983895645,8.880920401353325,2.273158667184709,2.0999998042528922,160.0572132002801,0.8438106907738989,0.064338787,3.0000038999394083,8.807864998345291,2.889217241219833,10.470514848980464,3.0117500013915333e-06,4.650258691014876e-05,600,124.66719860156503,182.0204715,495.40822887512815,69.43324038972011,167.0706759198918,33.43350757776104,140.54093613438607,111.06153509751918,68.33203731941647,111.06153509751918,46.62553227698532,0.022936425851496727,946.7008141
8,90,124.38968560030753,0.8124215480933711,1477.6574242063148,30,8.730104751855949,2.2511287818527133,1.9203006892989354,179.91014384128803,0.801815238,0.073097348,3.0003936350171636,8.721943289329161,2.802439309091747,10.347541729545375,5.287605527470873e-05,2.33099677320271e-05,600,134.0727770929773,183.8870777953353,489.96009666578954,69.73264461247261,169.41837101992522,34.595165039733025,142.80275091688242,113.71699454400861,82.01888965344428,113.71699454400861,50.143218632773504,0.022952075,950.1720123038003
9,100,124.33333412649573,0.8931784279939916,1505.326851791729,29.999999999999986,8.997019574861815,2.2900157295084416,2.081158957486839,165.94074245329435,0.8175699758402822,0.062945818,3.0001851170935634,8.778969436623246,2.8130113054329664,10.429098925789482,0.000117344,1.1871510546583832e-06,600,142.67567967274735,186.92788150665515,504.63474826376284,71.08745278394667,171.46965400197814,34.83246566838087,144.33910949576844,111.94537927441854,70.57419425650725,111.94537927441854,53.360704197607504,0.023022540082332274,960.2986236206727
